match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyConceded,player_sofascoreId,captain,stat_accurateCross,stat_goals,player_firstName,player_lastName,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_penaltyWon
11368746,home,Celta Vigo,Vicente Guaita,vicente-guaita,V. Guaita,G,13,190,509,M,32023,EUR,537235200,G,25,25,False,23.0,7.0,19.0,3.0,5.0,11.0,2.0,12.0,1.0,8.0,1.0,1.0,2.0,1.0,90.0,34.0,6.4,17.0,0.0002698,0,-0.2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368746,home,Celta Vigo,Óscar Mingueza,oscar-mingueza,Ó. Mingueza,M,3,184,3812,M,859773,EUR,926553600,D,3,3,False,30.0,23.0,3.0,,9.0,13.0,14.0,20.0,2.0,6.0,,,,,85.0,55.0,7.3,12.0,0.0311652,1,,1.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,0.1156,0.0462,2.0,,,,,,,,,,,,,,,,,,,,
11368746,home,Celta Vigo,Carl Starfelt,carl-starfelt,C. Starfelt,D,2,185,781,M,360718,EUR,801964800,D,2,2,False,24.0,20.0,5.0,2.0,19.0,20.0,1.0,4.0,8.0,4.0,,,,,90.0,42.0,7.0,4.0,0.00091256,1,,,,1.0,4.0,3.0,,,1.0,1.0,,1.0,0.0121,,,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
11368746,home,Celta Vigo,Carlos Domínguez,carlos-dominguez,C. Domínguez,D,24,187,207,M,1069703,EUR,981849600,D,28,28,False,16.0,14.0,5.0,3.0,9.0,11.0,5.0,5.0,2.0,,,,,,45.0,20.0,6.7,2.0,0.00509136,0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
11368746,home,Celta Vigo,Mihailo Ristić,mihailo-ristic,M. Ristić,D,21,180,595,M,363774,EUR,815097600,D,21,21,False,19.0,15.0,,,7.0,8.0,8.0,13.0,1.0,4.0,,,,,59.0,37.0,6.9,8.0,0.0102599,2,,,2.0,1.0,2.0,2.0,,,,,2.0,,0.0573,,,1.0,,,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
11368746,home,Celta Vigo,Tadeo Allende,tadeo-allende,T. Allende,M,21,185,6789,M,1108451,EUR,919468800,M,9,9,False,18.0,12.0,1.0,1.0,8.0,11.0,4.0,9.0,,7.0,,,,,77.0,28.0,6.6,10.0,0.0009066,2,,,2.0,2.0,3.0,5.0,1.0,,2.0,,1.0,1.0,0.0217,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,
11368746,home,Celta Vigo,Fran Beltrán,fran-beltran,F. Beltrán,M,8,170,770,M,835484,EUR,918000000,M,8,8,False,46.0,39.0,3.0,2.0,16.0,20.0,23.0,26.0,,11.0,,,,,90.0,59.0,6.4,10.0,0.0235678,0,,,,,5.0,6.0,2.0,,5.0,1.0,1.0,1.0,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,
11368746,home,Celta Vigo,Renato Tapia,renato-tapia,R. Tapia,M,13,185,3151,M,352376,EUR,806889600,M,5,5,False,34.0,23.0,6.0,3.0,16.0,22.0,7.0,12.0,3.0,6.0,,,,,90.0,54.0,6.7,15.0,0.00730865,1,,,,2.0,5.0,3.0,2.0,,1.0,1.0,,,0.0094,,,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
11368746,home,Celta Vigo,Luca De La Torre,luca-de-la-torre,L. D. L. Torre,M,14,178,551,M,846492,EUR,895881600,M,14,14,False,31.0,23.0,,,14.0,15.0,9.0,18.0,1.0,10.0,,,,,90.0,41.0,6.8,11.0,0.00902388,1,,,2.0,,1.0,2.0,,1.0,2.0,,,,0.0518,0.0942,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,
11368746,home,Celta Vigo,Iago Aspas,iago-aspas,I. Aspas,F,10,176,5000,M,19356,EUR,554774400,F,10,10,False,36.0,21.0,3.0,2.0,8.0,13.0,15.0,26.0,,4.0,,,,,90.0,56.0,7.7,24.0,0.298737,2,,,3.0,,6.0,5.0,3.0,1.0,,,4.0,5.0,0.1543,0.0652,4.0,2.0,,1.0,,,1.0,1.0,,,,,i.aspas10,True,2.0,1.0,,,,,
