match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_height,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_aerialLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_wonContest,stat_goals,stat_totalOffside
11689330,home,HHC Hardenberg,Jorick Maats,Jorick Maats,,jorick-maats,J. Maats,G,1,4,M,1155045,EUR,945216000.0,G,24,24,False,23.0,10.0,19.0,6.0,5.0,8.0,5.0,15.0,1.0,1.0,1.0,11.0,2.0,4.0,1.0,90.0,36.0,7.7,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,
11689330,home,HHC Hardenberg,Danny Bouws,Danny,Bouws,danny-bouws,D. Bouws,D,20,1,M,804495,EUR,764726400.0,D,20,20,False,19.0,9.0,6.0,3.0,5.0,11.0,4.0,10.0,,11.0,2.0,7.0,,,,90.0,52.0,7.7,17.0,1,178.0,2.0,5.0,4.0,1.0,1.0,1.0,9.0,7.0,2.0,2.0,,,,,,,,,,,,,
11689330,home,HHC Hardenberg,Pascal Mulder,Pascal Mulder,,pascal-mulder,P. Mulder,D,3,55,M,1155091,EUR,916704000.0,D,6,6,False,36.0,21.0,16.0,6.0,11.0,18.0,10.0,19.0,2.0,5.0,8.0,8.0,,,,90.0,57.0,7.3,16.0,2,193.0,1.0,5.0,,,1.0,1.0,2.0,1.0,,1.0,True,2.0,1.0,1.0,3.0,,,,,,,,
11689330,home,HHC Hardenberg,Thom Olde Weghuis,Thom Olde Weghuis,,thom-olde-weghuis,T. O. Weghuis,D,8,10,M,1548844,EUR,1020556800.0,D,8,8,False,26.0,19.0,4.0,2.0,14.0,17.0,5.0,9.0,1.0,1.0,4.0,2.0,,,,90.0,36.0,7.0,8.0,1,,,6.0,,,,1.0,,,,,,4.0,1.0,1.0,1.0,1.0,,,,,,,
11689330,home,HHC Hardenberg,Ashwin Manuhutu,Ashwin,Manuhutu,ashwin-manuhutu,A. Manuhutu,D,5,2,M,866295,EUR,686361600.0,D,5,5,False,31.0,20.0,8.0,3.0,12.0,15.0,8.0,16.0,,,2.0,9.0,,,,90.0,57.0,7.3,19.0,1,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,
11689330,home,HHC Hardenberg,Steyn Strijker,Steyn Strijker,,steyn-strijker,S. Strijker,M,17,4,M,1154753,EUR,963792000.0,M,17,17,False,22.0,14.0,4.0,2.0,7.0,10.0,8.0,15.0,,2.0,,4.0,,,,90.0,34.0,7.0,13.0,1,,3.0,4.0,2.0,2.0,,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,
11689330,home,HHC Hardenberg,Matías Jones,Matías,Jones,matias-jones,M. Jones,M,17,7,M,156723,EUR,678240000.0,M,30,30,False,28.0,16.0,5.0,2.0,4.0,9.0,13.0,23.0,1.0,4.0,1.0,8.0,,,,87.0,44.0,8.0,20.0,2,175.0,4.0,3.0,,1.0,,,1.0,,3.0,1.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,
11689330,home,HHC Hardenberg,Jesper Drost,,,jesper-drost,J. Drost,M,,7,M,97417,EUR,726710400.0,M,11,11,False,19.0,12.0,3.0,1.0,4.0,4.0,8.0,18.0,,3.0,,10.0,,,,89.0,35.0,7.3,14.0,1,175.0,3.0,6.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,
11689330,home,HHC Hardenberg,Thijmen de Lange,Thijmen de Lange,,thijmen-de-lange,T. d. Lange,M,15,2,M,1548841,EUR,1046995200.0,M,15,15,False,22.0,12.0,4.0,1.0,2.0,3.0,10.0,20.0,,3.0,,9.0,,,,90.0,41.0,6.4,21.0,1,,1.0,8.0,3.0,4.0,,1.0,,,6.0,2.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,
11689330,home,HHC Hardenberg,Thomas Reinders,Thomas Reinders,,thomas-reinders,T. Reinders,M,23,5,M,1411089,EUR,897609600.0,M,23,23,False,8.0,6.0,,,1.0,1.0,6.0,11.0,1.0,7.0,,2.0,,,,87.0,36.0,6.5,18.0,1,,4.0,8.0,,9.0,,1.0,3.0,2.0,6.0,1.0,,,,,1.0,,1.0,,,1.0,2.0,,1.0
