match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_blockedScoringAttempt,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_accurateCross,stat_bigChanceCreated,stat_goalAssist,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_goodHighClaim
11409210,home,Chaves,Hugo Souza,hugo-souza,H. Souza,G,1,199,25668,M,hugosouza,950454,EUR,917740800,G,1,1,False,21.0,15.0,9.0,3.0,14.0,15.0,1.0,6.0,2.0,14.0,2.0,3.0,90.0,39.0,6.3,6.0,0.0,0.0,0.00046178,0,-1.8401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409210,home,Chaves,João Correia,joao-correia,J. Correia,M,77,175,850,M,,804272,EUR,841881600,D,77,77,False,23.0,13.0,6.0,2.0,7.0,12.0,6.0,18.0,1.0,8.0,,,61.0,49.0,6.4,23.0,0.0,0.0,0.00317958,0,,,,True,7.0,6.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11409210,home,Chaves,Bruno Rodrigues,bruno-rodrigues,B. Rodrigues,D,4,192,51,M,,1021100,EUR,991958400,D,4,4,False,39.0,33.0,7.0,4.0,31.0,33.0,2.0,6.0,4.0,6.0,,,90.0,50.0,6.2,6.0,0.0572,0.0,0.001393,1,,,,,,3.0,2.0,,,,1.0,,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,
11409210,home,Chaves,Ygor Nogueira,ygor-nogueira,Y. Nogueira,D,40,187,112,M,,757980,EUR,796262400,D,3,3,False,21.0,17.0,1.0,,17.0,19.0,,2.0,3.0,3.0,,,80.0,35.0,6.5,5.0,0.0843,0.0,0.00013799,1,,,,,,1.0,7.0,,,1.0,2.0,1.0,1.0,1.0,,,3.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
11409210,home,Chaves,Sandro Cruz,cruz-sandro,S. Cruz,D,57,182,281,M,,982146,EUR,989625600,D,33,33,False,43.0,33.0,8.0,3.0,25.0,30.0,8.0,13.0,1.0,8.0,,,90.0,60.0,6.4,11.0,0.0117,0.0,0.0020116,1,,,,,,2.0,9.0,1.0,,3.0,1.0,,2.0,,,1.0,3.0,,3.0,1.0,,1.0,,1.0,,,,,,,,,
11409210,home,Chaves,Bernardo Sousa,bernardo-sousa,B. Sousa,F,77,178,72,M,,1087371,EUR,954115200,M,7,7,False,28.0,21.0,3.0,2.0,5.0,6.0,17.0,28.0,,1.0,,,90.0,43.0,7.0,13.0,0.0189,0.0,0.251676,1,,,,,6.0,1.0,2.0,,1.0,1.0,,,,,5.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,
11409210,home,Chaves,Pedro Pinho,pedro-pinho,P. Pinho,M,8,189,32,M,,1130651,EUR,954979200,M,18,18,False,24.0,17.0,3.0,2.0,9.0,10.0,8.0,14.0,,5.0,,,57.0,33.0,7.0,8.0,0.0811,0.0,0.00632663,2,,Pedro Pinho,,,,3.0,3.0,,,1.0,1.0,,,2.0,,,2.0,,,2.0,3.0,1.0,1.0,,,,,,,,,,
11409210,home,Chaves,Kelechi Nwakali,kelechi-nwakali,K. Nwakali,M,50,181,305,M,,822472,EUR,897004800,M,28,28,False,34.0,29.0,10.0,6.0,17.0,18.0,14.0,18.0,,7.0,,,69.0,44.0,7.2,7.0,0.0,0.0,0.113678,0,,,,,2.0,2.0,4.0,,,2.0,1.0,1.0,2.0,1.0,3.0,,1.0,,1.0,,,1.0,1.0,,2.0,,1.0,,,,,,
11409210,home,Chaves,Issah Abass,abass-issah,I. Abass,M,8,173,216,M,,873419,EUR,906768000,M,11,11,False,8.0,4.0,,,1.0,1.0,4.0,8.0,,2.0,,,61.0,21.0,6.9,10.0,0.312,0.5624,0.488059,2,,,,,1.0,4.0,4.0,,1.0,5.0,,2.0,1.0,1.0,2.0,,,,3.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,
11409210,home,Chaves,Héctor Hernández,hector-hernandez,H. Hernández,F,23,180,2876,M,,352448,EUR,811036800,F,23,23,False,23.0,17.0,2.0,1.0,6.0,8.0,11.0,15.0,,4.0,,,90.0,35.0,8.5,10.0,0.4596,0.4602,0.0118987,4,,,,,,6.0,5.0,,1.0,,,3.0,,2.0,1.0,3.0,4.0,,,2.0,,1.0,1.0,,,,,,2.0,,2.0,1.0,
