match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_unsuccessfulTouch,stat_totalContest,stat_interceptionWon,stat_wasFouled,stat_outfielderBlock,stat_totalTackle,stat_fouls,player_firstName,player_lastName,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,player_sofascoreId,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_expectedGoalsOnTarget,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goalAssist,captain,stat_hitWoodwork,stat_punches,stat_clearanceOffLine
11450168,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196.0,4070,M,39573,EUR,604713600.0,G,34,34,False,24.0,16.0,21.0,13.0,5.0,5.0,11.0,19.0,2.0,10.0,3.0,3.0,1.0,1.0,90.0,34.0,7.8,8.0,0.019609,1.0,0,1.5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450168,home,Beşiktaş JK,Onur Bulut,onur-bulut,O. Bulut,D,6,179.0,562,M,142494,EUR,766454400.0,D,4,4,False,38.0,33.0,5.0,2.0,21.0,23.0,14.0,18.0,5.0,2.0,,,,,90.0,60.0,7.3,11.0,0.0587246,,0,,3.0,2.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11450168,home,Beşiktaş JK,Tayyip Talha Sanuç,tayyip-talha-sanuc,T. T. Sanuç,D,23,188.0,911,M,851909,EUR,945388800.0,D,5,5,False,34.0,27.0,5.0,2.0,21.0,25.0,6.0,9.0,3.0,1.0,,,,,90.0,44.0,6.8,10.0,0.00205125,,0,,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11450168,home,Beşiktaş JK,Bakhtiyar Zaynutdinov,bakhtiyar-zaynutdinov,B. Zaynutdinov,M,19,183.0,3645,M,887382,EUR,891475200.0,D,22,22,False,32.0,30.0,2.0,1.0,25.0,25.0,5.0,7.0,8.0,3.0,,,,,90.0,47.0,7.2,4.0,0.0422566,,0,,,,,2.0,2.0,3.0,2.0,,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11450168,home,Beşiktaş JK,Umut Meraş,umut-meras,U. Meraş,D,77,178.0,154,M,609746,EUR,819417600.0,D,77,77,False,37.0,30.0,3.0,1.0,16.0,18.0,14.0,21.0,2.0,3.0,,,,,90.0,59.0,7.6,14.0,0.00573782,,2,,2.0,,,2.0,1.0,5.0,,1.0,1.0,,3.0,2.0,1.0,,,1.0,2.0,0.0662,,,,,,,,,,,,,,,
11450168,home,Beşiktaş JK,Amir Hadžiahmetović,amir-hadziahmetovic,A. Hadžiahmetović,M,20,179.0,1356,M,795421,EUR,857779200.0,M,19,19,False,6.0,5.0,1.0,1.0,4.0,4.0,1.0,3.0,,3.0,,,,,15.0,11.0,6.8,2.0,0.00033566,,0,,1.0,,,,,2.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
11450168,home,Beşiktaş JK,Milot Rashica,milot-rashica,M. Rashica,M,7,177.0,3712,M,800411,EUR,835920000.0,M,11,11,False,22.0,15.0,3.0,2.0,4.0,7.0,14.0,22.0,1.0,2.0,,,,,75.0,45.0,7.4,19.0,0.137854,2.0,2,,7.0,3.0,,,8.0,3.0,2.0,4.0,1.0,1.0,,1.0,3.0,,,1.0,1.0,0.1897,MRashica,2.0,1.0,1.0,1.0,0.33,,,,,,,,,
11450168,home,Beşiktaş JK,Salih Uçan,salih-ucan,S. Uçan,M,8,182.0,1367,M,135695,EUR,757814400.0,M,8,8,False,35.0,28.0,6.0,5.0,8.0,9.0,21.0,28.0,,4.0,,,,,81.0,49.0,7.8,9.0,0.478692,2.0,2,,2.0,1.0,,,4.0,6.0,,2.0,,,,4.0,1.0,,,2.0,,0.1025,,1.0,1.0,,2.0,,2.0,1.0,1.0,,,,,,
11450168,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184.0,5232,M,862055,EUR,915840000.0,M,83,83,False,20.0,17.0,1.0,1.0,7.0,9.0,10.0,12.0,2.0,6.0,,,,,90.0,38.0,7.1,10.0,0.023354,1.0,3,,1.0,,3.0,,8.0,3.0,4.0,1.0,,,,3.0,2.0,,,,1.0,0.9362,gedson_83,1.0,2.0,1.0,1.0,0.5618,1.0,,,1.0,,,,,
11450168,home,Beşiktaş JK,Semih Kılıçsoy,semih-kilicsoy,S. Kilicsoy,F,9,178.0,11924,M,1142606,EUR,1124064000.0,M,90,90,False,29.0,21.0,3.0,2.0,9.0,10.0,12.0,20.0,,5.0,,,,,81.0,51.0,8.9,17.0,0.0165878,1.0,3,,1.0,,,1.0,4.0,11.0,6.0,6.0,,3.0,,2.0,2.0,,,5.0,1.0,0.2839,semihkilicsoy9,1.0,2.0,1.0,2.0,0.3066,,,,,1.0,,,,
