match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_challengeLost,stat_outfielderBlock,stat_blockedScoringAttempt,stat_expectedGoals,stat_unsuccessfulTouch,stat_totalOffside,player_sofascoreId,stat_totalCross,stat_shotOffTarget,stat_dispossessed,stat_keyPass,captain,stat_penaltyWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_penaltyConceded,stat_clearanceOffLine,stat_goalAssist
11407424,home,Udinese,Marco Silvestri,marco-silvestri,M. Silvestri,G,16,191,324,M,43970,EUR,667872000,G,1,1,False,24.0,14.0,13.0,3.0,12.0,14.0,2.0,10.0,4.0,90.0,26.0,6.2,10.0,0.00101257,0,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407424,home,Udinese,Nehuén Pérez,nehuen-perez,N. Pérez,D,18,184,3369,M,913401,EUR,961804800,D,18,18,False,44.0,37.0,9.0,3.0,23.0,24.0,14.0,20.0,13.0,90.0,61.0,7.2,8.0,0.00685756,0,,,,1.0,2.0,3.0,7.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11407424,home,Udinese,Jaka Bijol,jaka-bijol,J. Bijol,D,15,192,2511,M,886930,EUR,918172800,D,29,29,False,23.0,15.0,2.0,,11.0,12.0,4.0,11.0,4.0,90.0,30.0,6.5,8.0,0.00680494,0,,,,1.0,3.0,6.0,3.0,,,4.0,1.0,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11407424,home,Udinese,Christian Kabasele,christian-kabasele,C. Kabasele,D,27,186,477,M,58351,EUR,667353600,D,27,27,False,28.0,24.0,3.0,1.0,18.0,18.0,6.0,10.0,,90.0,42.0,6.9,5.0,0.00367026,1,,,,,2.0,3.0,7.0,,,3.0,,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.1234,,,,,,,,,,,,,,,,,,,,,
11407424,home,Udinese,João Ferreira,joao-ferreira,J. Ferreira,D,13,185,384,M,976401,EUR,985219200,M,13,13,False,19.0,11.0,2.0,,4.0,4.0,7.0,15.0,4.0,45.0,38.0,6.8,13.0,0.00332732,0,,,,1.0,1.0,3.0,3.0,1.0,,4.0,,2.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11407424,home,Udinese,Lazar Samardžić,lazar-samardzic,L. Samardžić,M,10,183,4807,M,980624,EUR,1014508800,M,24,24,False,45.0,32.0,6.0,2.0,9.0,12.0,23.0,37.0,3.0,90.0,62.0,6.7,20.0,0.0373527,2,,,,2.0,1.0,5.0,5.0,2.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,0.0969,3.0,,lakisamar10,4.0,1.0,,,,,,,,,,,,,,,,
11407424,home,Udinese,Walace,walace,Walace,M,5,188,1455,M,553686,EUR,796953600,M,11,11,False,32.0,27.0,3.0,3.0,12.0,15.0,15.0,18.0,7.0,90.0,43.0,6.6,9.0,0.0141253,0,,,,,1.0,4.0,3.0,1.0,,1.0,,1.0,1.0,1.0,,2.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
11407424,home,Udinese,Roberto Pereyra,roberto-pereyra,R. Pereyra,M,37,184,1199,M,122701,EUR,663206400,M,37,37,False,18.0,15.0,2.0,1.0,10.0,12.0,5.0,7.0,9.0,76.0,30.0,7.0,8.0,0.0172756,0,,,,1.0,,3.0,4.0,1.0,,,,1.0,,3.0,,,,,,2.0,1.0,,1.0,,1.0,1.0,True,1.0,,,,,,,,,,,,
11407424,home,Udinese,Hassane Kamara,hassane-kamara,H. Kamara,M,11,168,1023,M,351434,EUR,762825600,M,12,12,False,21.0,13.0,4.0,1.0,8.0,13.0,5.0,11.0,6.0,89.0,54.0,6.4,19.0,0.00418349,2,,,,1.0,,5.0,2.0,3.0,,5.0,1.0,2.0,1.0,,,1.0,,,0.4872,,,,3.0,,,,,,1.0,2.0,0.9508,,,,,,,,,
11407424,home,Udinese,Florian Thauvin,florian-thauvin,F. Thauvin,F,24,179,8040,M,148824,EUR,728006400,F,26,26,False,28.0,22.0,1.0,,7.0,8.0,17.0,24.0,1.0,90.0,51.0,7.8,17.0,0.440302,3,,,,1.0,2.0,7.0,6.0,4.0,2.0,,,,,2.0,1.0,1.0,,,0.8268,4.0,,,4.0,1.0,2.0,3.0,,,,2.0,1.0144,2.0,2.0,1.0,,,,,,
