match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_fouls,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,captain,stat_shotOffTarget,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented
12421021,home,KV Kortrijk,Patrik Sigurdur Gunnarsson,,,patrik-sigurdur-gunnarsson,P. S. Gunnarsson,G,31,188,108,M,879496,EUR,974246400,G,31,31,False,22.0,15.0,9.0,2.0,0.0,13.0,14.0,2.0,8.0,6.0,1.0,90.0,26.0,6.6,7.0,0.00074581,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421021,home,KV Kortrijk,Haruya Fujii,,,fujii-haruya,H. Fujii,D,13,186,241,M,929608,EUR,977788800,D,24,24,False,79.0,69.0,11.0,5.0,0.0,33.0,37.0,36.0,42.0,2.0,,90.0,93.0,7.4,13.0,0.0384027,1,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0731,,,,,,,,,,,,,,,,,,,,
12421021,home,KV Kortrijk,João Silva,,,joao-silva,J. Silva,D,6,187,281,M,1068519,EUR,916272000,D,44,44,False,69.0,59.0,15.0,6.0,0.0,35.0,37.0,24.0,32.0,5.0,,90.0,77.0,7.1,10.0,0.0109038,1,2.0,1.0,2.0,3.0,,,3.0,,1.0,1.0,,1.0,0.2219,True,1.0,1.0,,,,,,,,,,,,,,,,,
12421021,home,KV Kortrijk,Bram Lagae,Bram,Lagae,bram-lagae,B. Lagae,D,4,183,177,M,1126688,EUR,1074038400,D,26,26,False,69.0,54.0,14.0,7.0,0.0,30.0,39.0,24.0,30.0,2.0,,90.0,85.0,7.1,20.0,0.0163215,0,2.0,,2.0,1.0,,,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12421021,home,KV Kortrijk,Mounaim El Idrissy,,,mounaim-el-idrissy,M. El Idrissy,F,9,181,189,M,960007,EUR,918604800,M,7,7,False,20.0,15.0,2.0,1.0,0.0,5.0,5.0,11.0,18.0,5.0,2.0,61.0,38.0,7.4,11.0,0.0349272,1,2.0,1.0,4.0,7.0,,,,1.0,2.0,2.0,4.0,3.0,0.0271,,,,3.0,1.0,1.0,1.0,1.0,0.2278,,,,,,,,,,,
12421021,home,KV Kortrijk,Massimo Bruno,,,massimo-bruno,M. Bruno,M,17,177,60,M,94298,EUR,748224000,M,17,17,False,34.0,28.0,3.0,2.0,0.0,8.0,9.0,20.0,26.0,6.0,,82.0,59.0,6.9,14.0,0.0941574,5,,,7.0,4.0,2.0,3.0,2.0,,1.0,,2.0,,0.28,,1.0,,1.0,,6.0,3.0,1.0,0.1364,2.0,1.0,,,,,,,,,
12421021,home,KV Kortrijk,Nayel Mehssatou,,,nayel-mehssatou,N. Mehssatou,M,8,172,534,M,1064174,EUR,1018569600,M,6,6,False,45.0,38.0,5.0,2.0,0.0,14.0,14.0,24.0,31.0,2.0,1.0,90.0,58.0,7.1,12.0,0.0428714,1,,1.0,2.0,2.0,,,1.0,,1.0,,4.0,1.0,0.0212,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,
12421021,home,KV Kortrijk,Abdelkahar Kadri,,,abdelkahar-kadri,A. Kadri,M,37,170,2010,M,1007528,EUR,961804800,M,10,10,False,39.0,35.0,4.0,2.0,0.0,16.0,18.0,23.0,34.0,7.0,1.0,89.0,70.0,7.5,19.0,0.137522,1,4.0,,9.0,9.0,1.0,,,,2.0,2.0,3.0,3.0,0.1703,,,1.0,13.0,4.0,7.0,4.0,1.0,0.157,,1.0,,,,,,,,,
12421021,home,KV Kortrijk,Dion De Neve,,,dion-de-neve,D. D. Neve,M,14,180,102,M,923974,EUR,992304000,M,11,11,False,23.0,18.0,4.0,1.0,0.0,6.0,9.0,13.0,20.0,3.0,1.0,90.0,46.0,7.7,13.0,0.252785,2,5.0,,6.0,3.0,,1.0,4.0,,2.0,2.0,3.0,,0.11,,,1.0,6.0,1.0,1.0,1.0,1.0,0.4388,,3.0,1.0,,,,,,,,
12421021,home,KV Kortrijk,Takuro Kaneko,,,kaneko-takuro,T. Kaneko,M,77,178,740,M,980430,EUR,870220800,F,30,30,False,30.0,24.0,2.0,,0.0,5.0,6.0,21.0,29.0,1.0,1.0,81.0,58.0,7.3,14.0,0.231434,2,5.0,1.0,10.0,9.0,,,,1.0,2.0,1.0,1.0,2.0,0.1978,,1.0,,5.0,2.0,7.0,4.0,1.0,0.2697,1.0,4.0,,1.0,,,,,,,
