match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,length,confirmed
10913372,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10913372,,,,,90,3.0,,1,,,card,Qasim Al-Oujami,Foul,False,120745683.0,False,yellowRed,818668.0,Qasim Lajami,,,
10913372,,,,,90,3.0,,1,,,card,Hussain Alsebyani,Time wasting,False,120745684.0,True,yellow,1152012.0,Hussain Al-Sebyani,,,
10913372,,,,,90,1.0,,1,,,substitution,,,,121751960.0,True,regular,,,False,,
10913372,,,,,90,,,1,,,substitution,,,,121751959.0,True,regular,,,False,,
10913372,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,6.0,
10913372,,,,,89,,,2,,,card,Seung-gyu Kim,Time wasting,False,120745675.0,True,yellow,235686.0,Seung-gyu Kim,,,
10913372,,,,,81,,,10,,,substitution,,,,121751910.0,False,regular,,,False,,
10913372,,,,,81,,,10,,,substitution,,,,121751919.0,False,regular,,,False,,
10913372,,,,,73,,,18,,,substitution,,,,121751880.0,True,regular,,,False,,
10913372,,,,,72,,,19,,,substitution,,,,121751879.0,True,regular,,,False,,
10913372,,,,,67,,,24,,,substitution,,,,121751855.0,False,regular,,,False,,
10913372,,,,,67,,,24,,,substitution,,,,121751854.0,False,regular,,,False,,
10913372,,,,,60,,,31,,,card,Santi Mina,Foul,False,120745634.0,True,yellow,306498.0,Santi Mina,,,
10913372,,,,,59,,,32,,,substitution,,,,121751835.0,True,regular,,,False,,
10913372,,,,,56,,,35,,,card,Petros,Argument,False,120745629.0,False,yellow,552678.0,Mohammed Petros,,,
10913372,,1.0,0.0,,52,,,39,,,goal,,,,168783175.0,True,regular,31981.0,Éver Banega,,,
10913372,,,,,51,,,40,,,card,Qasim Al-Oujami,Foul,False,120745622.0,False,yellow,818668.0,Qasim Lajami,,,
10913372,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10913372,,,,,45,5.0,,1,,,varDecision,,,,17206.0,True,cardUpgrade,76227.0,Grzegorz Krychowiak,,,True
10913372,,,,,45,4.0,,1,,,card,Grzegorz Krychowiak,Foul,False,120745565.0,True,yellow,76227.0,Grzegorz Krychowiak,,,
10913372,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,4.0,
10913372,,,,,-5,,,6,,,card,Georgios Donis,Argument,False,120745689.0,False,yellow,,,,,
