match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_interceptionWon,captain,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_savedShotsFromInsideTheBox
11401959,home,Heracles Almelo,Michael Brouwer,michael-brouwer,M. Brouwer,G,25,187.0,75,M,252027,EUR,727574400,G,1,1,False,10.0,8.0,3.0,1.0,7.0,7.0,1.0,3.0,1.0,7.0,1.0,1.0,90.0,20.0,6.6,2.0,0.00012077,0,-0.5453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401959,home,Heracles Almelo,Jannes Wieckhoff,jannes-wieckhoff,J. Wieckhoff,D,3,188.0,36,M,984880,EUR,965174400,D,3,3,False,57.0,53.0,2.0,1.0,16.0,17.0,38.0,45.0,1.0,6.0,,,80.0,79.0,7.1,12.0,0.162136,3,,,,5.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3832,0.178,2.0,,,,,,,,,,,,
11401959,home,Heracles Almelo,Navajo Bakboord,navajo-bakboord,N. Bakboord,D,,177.0,75,M,837264,EUR,917568000,D,19,19,False,78.0,72.0,3.0,,29.0,30.0,43.0,48.0,1.0,2.0,,,90.0,92.0,6.9,8.0,0.0242444,0,,,,,,1.0,1.0,3.0,7.0,1.0,,,,,,1.0,3.0,,,,,1.0,1.0,3.0,1.0,,,,,,,,
11401959,home,Heracles Almelo,Sven Sonnenberg,sven-sonnenberg,S. Sonnenberg,D,4,194.0,16,M,836713,EUR,916704000,D,4,4,False,73.0,69.0,2.0,2.0,36.0,37.0,33.0,36.0,3.0,1.0,,,90.0,81.0,6.8,6.0,0.0108637,1,,,,,,1.0,4.0,3.0,4.0,1.0,,,1.0,,,1.0,,,0.1368,,,1.0,,,,1.0,,,,,,,
11401959,home,Heracles Almelo,Justin Hoogma,justin-hoogma,J. Hoogma,D,4,190.0,87,M,833246,EUR,897523200,D,21,21,False,99.0,91.0,13.0,8.0,25.0,26.0,66.0,74.0,,5.0,,,90.0,110.0,7.2,11.0,0.107947,0,,,,1.0,,1.0,,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,2.0,2.0,,True,,,,,,
11401959,home,Heracles Almelo,Ruben Roosken,ruben-roosken,R. Roosken,D,12,183.0,99,M,988990,EUR,951955200,D,12,12,False,53.0,45.0,1.0,,12.0,12.0,35.0,46.0,,7.0,,,90.0,78.0,7.8,18.0,0.683043,0,,,,5.0,2.0,,1.0,9.0,10.0,1.0,9.0,4.0,,,,1.0,1.0,1.0,,,4.0,2.0,1.0,4.0,2.0,,,1.0,1.0,,,,
11401959,home,Heracles Almelo,Jordy Bruijn,jordy-bruijn,J. Bruijn,M,8,170.0,76,M,825278,EUR,838080000,M,5,5,False,17.0,15.0,2.0,1.0,3.0,3.0,12.0,14.0,,2.0,,,45.0,21.0,6.7,3.0,0.0115261,2,,,,,,,,2.0,,1.0,,,,2.0,,,,,0.1898,0.3927,,1.0,,,,,,,,,,,
11401959,home,Heracles Almelo,Marko Vejinović,marko-vejinovic,M. Vejinović,M,18,186.0,29,M,40947,EUR,634003200,M,18,18,False,100.0,88.0,6.0,5.0,29.0,30.0,60.0,78.0,1.0,7.0,,,80.0,125.0,7.7,23.0,0.0937342,0,,,,8.0,1.0,,2.0,5.0,8.0,2.0,1.0,,,,,,1.0,2.0,,,1.0,,,5.0,4.0,2.0,,,,,,,
11401959,home,Heracles Almelo,Brian De Keersmaecker,brian-de-keersmaecker,B. D. Keersmaeker,M,14,182.0,235,M,981222,EUR,957571200,M,14,14,False,63.0,57.0,7.0,5.0,6.0,8.0,51.0,55.0,1.0,6.0,,,90.0,83.0,7.9,6.0,0.104522,4,,,,,,1.0,1.0,5.0,5.0,,,,1.0,3.0,,,1.0,2.0,0.2204,0.3023,1.0,2.0,,3.0,2.0,3.0,,,,,,,
11401959,home,Heracles Almelo,Emil Hansson,emil-hansson,E. Hansson,M,7,172.0,243,M,794362,EUR,897868800,M,29,29,False,67.0,59.0,3.0,2.0,8.0,11.0,52.0,62.0,,3.0,,,90.0,83.0,7.0,18.0,0.289192,1,,,,6.0,1.0,,,2.0,2.0,1.0,2.0,1.0,,,1.0,3.0,1.0,,0.0437,,1.0,,,,,,,,,,,,
