match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_lastManTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_bigChanceMissed,stat_wasFouled,stat_goalAssist,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_penaltyWon,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_penaltyConceded
12116998,home,Botafogo,Gatito Fernández,gatito-fernandez,R. Fernández,G,25,191,1203,M,840027,EUR,575596800,G,1,1,False,True,23.0,22.0,6.0,5.0,20.0,21.0,2.0,2.0,1.0,3.0,1.0,1.0,90.0,25.0,6.4,1.0,0.00017429,0,-0.4513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116998,home,Botafogo,Mateo Ponte,mateo-ponte,M. Ponte,D,4,183,1429,M,1099163,EUR,1053734400,D,4,4,False,,16.0,13.0,,,5.0,6.0,10.0,15.0,,2.0,,,45.0,31.0,6.9,8.0,0.16314,1,,5.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,0.2238,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116998,home,Botafogo,Lucas Halter,lucas-halter,L. Halter,D,5,187,777,M,905450,EUR,957225600,D,3,3,False,,66.0,64.0,6.0,5.0,41.0,41.0,23.0,25.0,3.0,4.0,,,90.0,71.0,7.0,2.0,0.0071593,1,,,,1.0,1.0,,1.0,1.0,1.0,0.0197,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116998,home,Botafogo,Bastos,bastos,Bastos,D,15,184,3202,M,215956,EUR,670032000,D,15,15,False,,47.0,45.0,5.0,3.0,34.0,35.0,11.0,12.0,7.0,4.0,,,62.0,60.0,7.3,4.0,0.00685337,0,,,,2.0,4.0,,,3.0,3.0,,,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12116998,home,Botafogo,Hugo,hugo,Hugo,D,16,175,534,M,1018915,EUR,1000944000,D,16,16,False,,36.0,32.0,1.0,,18.0,22.0,15.0,15.0,2.0,6.0,,,90.0,56.0,6.7,6.0,0.0185885,1,,1.0,1.0,3.0,5.0,1.0,1.0,2.0,2.0,0.2741,,,2.0,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
12116998,home,Botafogo,Júnior Santos,junior-santos,J. Santos,F,37,188,2187,M,922559,EUR,781833600,M,11,11,False,,22.0,19.0,,,7.0,7.0,12.0,17.0,,2.0,,,72.0,40.0,8.5,11.0,0.608678,1,,2.0,,4.0,6.0,3.0,,2.0,2.0,0.6877,2.0,,1.0,,1.0,4.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7849,,,,,,,,,,,,
12116998,home,Botafogo,Danilo Barbosa,danilo-barbosa,D. Barbosa,M,5,182,801,M,330063,EUR,825465600,M,5,5,False,,49.0,42.0,4.0,2.0,22.0,25.0,20.0,24.0,,7.0,,,90.0,62.0,7.8,9.0,0.0181474,2,,,,8.0,2.0,,,1.0,1.0,0.5672,,,3.0,2.0,,,,,,1.0,,1.0,2.0,,,1.0,1.0,0.7219,1.0,1.0,4.0,1.0,,,,,,,,
12116998,home,Botafogo,Marlon Freitas,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,,80.0,77.0,12.0,11.0,38.0,38.0,39.0,42.0,1.0,3.0,,,90.0,91.0,7.8,4.0,0.0746717,0,,,,5.0,5.0,,,2.0,2.0,,1.0,,3.0,,2.0,,,,,1.0,,2.0,,,,,,,,4.0,1.0,,,,,,,,,
12116998,home,Botafogo,Jeffinho,jeffinho,Jeffinho,M,47,177,1438,M,1016948,EUR,946512000,M,47,47,False,,16.0,11.0,2.0,,3.0,4.0,8.0,12.0,,3.0,,,45.0,24.0,6.4,10.0,0.149547,1,,,,6.0,1.0,1.0,,1.0,,0.077,1.0,,3.0,1.0,,1.0,,,,,,,2.0,,,1.0,,0.059,,,,,,,,,,,,
12116998,home,Botafogo,Jefferson Savarino,jefferson-savarino,J. Savarino,M,10,169,6802,M,874739,EUR,847670400,F,10,10,False,,41.0,38.0,4.0,4.0,16.0,18.0,24.0,28.0,,8.0,,,90.0,61.0,8.0,13.0,0.567496,3,,5.0,2.0,4.0,5.0,1.0,1.0,1.0,,0.112,3.0,,1.0,,2.0,4.0,,,,1.0,,,3.0,1.0,,1.0,1.0,0.1784,1.0,,,,savarino10,,,,,,,
