match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_accurateLongBalls,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_keyPass,stat_wasFouled,stat_accurateCross,stat_wonTackle,captain,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,player_sofascoreId
11369808,home,KAS Eupen,Gabriel Słonina,gabriel-slonina,G. Słonina,G,44,193,5893,M,978787,EUR,1084579200,G,24,24,False,23.0,18.0,5.0,0.0,18.0,21.0,2.0,2.0,9.0,1.0,2.0,1.0,2.0,1.0,1.0,90.0,36.0,6.1,5.0,0.0,0.0,1.141e-05,0,-2.0971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369808,home,KAS Eupen,Gary Magnee,magnee-gary,G. Magnee,M,15,173,149,M,990265,EUR,939686400,D,15,15,False,19.0,16.0,1.0,0.0,7.0,8.0,15.0,2.0,4.0,,,,,,,90.0,49.0,5.6,12.0,0.0782,0.0,0.010667,1,,9.0,4.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11369808,home,KAS Eupen,Rune Paeshuyse,rune-paeshuyse,R. Paeshuyse,D,28,187,35,M,1020435,EUR,1017273600,D,28,28,False,34.0,25.0,6.0,0.0,19.0,24.0,10.0,4.0,,,,,,,,90.0,47.0,6.2,10.0,0.0599,0.0,0.00210178,1,,6.0,,1.0,3.0,3.0,,,,,1.0,1.0,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11369808,home,KAS Eupen,Victor Pálsson,victor-palsson,V. Pálsson,D,26,186,193,M,87507,EUR,672969600,D,4,4,False,44.0,39.0,6.0,0.0,34.0,37.0,7.0,3.0,5.0,,,,,,,90.0,52.0,6.1,6.0,0.0,0.0,0.00157789,0,,5.0,,,,1.0,,,,,1.0,,,,,4.0,,,,1.0,,,1.0,,,,,,,,,,,,
11369808,home,KAS Eupen,Jason Davidson,jason-davidson,J. Davidson,D,2,180,74,M,105350,EUR,678153600,D,3,3,False,50.0,41.0,12.0,0.0,31.0,34.0,16.0,2.0,5.0,,,,,,,90.0,63.0,5.9,13.0,0.0,0.0,0.00622906,0,,10.0,,,1.0,3.0,,2.0,1.0,,1.0,,3.0,,,5.0,,,,,,,2.0,,,,,,,,,,,,
11369808,home,KAS Eupen,Yentl Van Genechten,yentl-van-genechten,Y. V. Genechten,D,2,191,45,M,921951,EUR,966556800,D,2,2,False,21.0,12.0,3.0,0.0,7.0,14.0,8.0,3.0,3.0,,,,,,,85.0,55.0,6.4,16.0,0.2422,0.0,0.00651238,2,,6.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,3.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,
11369808,home,KAS Eupen,Brandon Baiye,baiye-brandon,B. Baiye,M,6,177,82,M,861975,EUR,977875200,M,6,6,False,16.0,14.0,,0.0,11.0,13.0,3.0,3.0,2.0,,,,,,,69.0,24.0,6.4,2.0,0.0,0.0,0.00048029,0,,3.0,,,2.0,4.0,,,,,1.0,2.0,,,,,1.0,,,,2.0,,1.0,,2.0,,,,,,,,,,
11369808,home,KAS Eupen,Boris Lambert,lambert-boris,B. Lambert,M,35,187,94,M,936240,EUR,955324800,M,35,35,False,39.0,29.0,6.0,0.0,22.0,23.0,17.0,2.0,4.0,,,,,,,90.0,57.0,6.4,13.0,0.0623,0.0,0.00588199,1,,7.0,1.0,,3.0,5.0,,,,,1.0,5.0,2.0,,,3.0,,2.0,1.0,,1.0,,,,4.0,True,1.0,,,,,,,,
11369808,home,KAS Eupen,Jerome Deom,deom-jerome,J. Deom,M,24,175,45,M,839883,EUR,924480000,M,14,14,False,17.0,10.0,2.0,0.0,6.0,8.0,10.0,1.0,3.0,,,,,,,63.0,33.0,6.2,12.0,0.0,0.0,0.00335853,0,,4.0,1.0,1.0,7.0,3.0,3.0,1.0,,,2.0,2.0,,,,,,1.0,,,1.0,,1.0,,2.0,,,,,,,,,,
11369808,home,KAS Eupen,Isaac Nuhu,isaac-nuhu,I. Nuhu,M,7,171,193,M,1047318,EUR,1001808000,F,7,7,False,26.0,19.0,1.0,0.0,11.0,11.0,15.0,1.0,5.0,,,,,,,90.0,48.0,6.9,16.0,0.1064,0.4286,0.0120787,3,,8.0,,,5.0,5.0,2.0,2.0,,,1.0,1.0,5.0,,,1.0,,1.0,2.0,,,,4.0,,1.0,,,1.0,1.0,,,,,,
