match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_lastName,player_jerseyNumber,player_height,player_gender,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_aerialLost,stat_dispossessed,stat_wonContest,stat_challengeLost,stat_bigChanceCreated,stat_outfielderBlock,captain,stat_bigChanceMissed,stat_goalAssist,stat_goals,stat_totalOffside
12224396,home,Chicago Fire FC II,Patrick Los,Patrick Los,patrick-los,P. Los,G,9,1807945,EUR,1187308800,G,70,70,False,24.0,19.0,7.0,2.0,18.0,20.0,1.0,4.0,1.0,5.0,1.0,1.0,90.0,28.0,6.4,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12224396,home,Chicago Fire FC II,Omari Glasgow,Omari Glasgow,omari-glasgow,O. Glasgow,M,110,1110508,EUR,1069459200,D,55,55,False,32.0,18.0,8.0,2.0,11.0,14.0,8.0,30.0,4.0,8.0,,,90.0,87.0,7.4,34.0,5,,26,175.0,M,12.0,1.0,8.0,8.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,2.0,,,,,,,,,,,,
12224396,home,Chicago Fire FC II,Jaylen Shannon,Jaylen Shannon,jaylen-shannon,J. Shannon,D,1,1807960,EUR,950140800,D,43,43,False,52.0,42.0,11.0,5.0,28.0,31.0,14.0,21.0,4.0,8.0,,,90.0,62.0,6.7,11.0,1,,43,187.0,M,,,2.0,4.0,,1.0,,,,,,1.0,3.0,2.0,,1.0,,,,,,,,,,,
12224396,home,Chicago Fire FC II,Diego Konincks,Diego Konincks,diego-konincks,D. Konincks,D,27,1479637,EUR,975542400,D,42,42,False,56.0,44.0,11.0,7.0,26.0,31.0,18.0,25.0,5.0,6.0,,,90.0,68.0,7.0,13.0,1,,40,185.0,M,,,2.0,5.0,1.0,1.0,,,,1.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,
12224396,home,Chicago Fire FC II,Lamonth Rochester,Lamonth Rochester,lamonth-rochester,L. Rochester,D,21,1384025,EUR,1055203200,D,54,54,False,36.0,32.0,3.0,1.0,10.0,11.0,24.0,32.0,3.0,2.0,,,90.0,63.0,7.2,11.0,0,,14,184.0,M,7.0,2.0,4.0,2.0,3.0,,,,,,,1.0,,2.0,3.0,,,,2.0,1.0,1.0,1.0,,,,,
12224396,home,Chicago Fire FC II,Harold Osorio,Harold Osorio,osorio-harold,H. Osorio,M,106,1135923,EUR,1061337600,M,45,45,False,48.0,39.0,5.0,4.0,9.0,9.0,32.0,51.0,,9.0,,,90.0,85.0,8.7,27.0,3,,45,179.0,M,12.0,2.0,2.0,11.0,3.0,,3.0,,1.0,3.0,3.0,7.0,6.0,1.0,5.0,,,,2.0,,,,,,,,
12224396,home,Chicago Fire FC II,Javier Casas,,javier-casas,J. Casas,M,23,1023157,EUR,1052870400,M,37,37,False,34.0,27.0,,,19.0,22.0,8.0,12.0,,1.0,,,45.0,39.0,6.3,9.0,0,,,162.0,,,,4.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,
12224396,home,Chicago Fire FC II,David Tchétchao,David Tchétchao,david-tchetchao,D. Tchétchao,F,76,1528525,EUR,1064793600,M,51,51,False,15.0,11.0,,,3.0,3.0,8.0,14.0,1.0,2.0,,,45.0,25.0,6.9,9.0,1,,71,172.0,M,2.0,,3.0,2.0,3.0,,1.0,,,,,2.0,,1.0,1.0,,,,2.0,1.0,,,,,,,
12224396,home,Chicago Fire FC II,David Poreba,David Poreba,david-poreba,D. Poreba,F,124,1157631,EUR,1038700800,M,48,48,False,41.0,34.0,3.0,2.0,13.0,13.0,21.0,29.0,,5.0,,,90.0,53.0,7.0,11.0,3,,48,182.0,M,1.0,,4.0,5.0,,2.0,1.0,,,2.0,2.0,2.0,3.0,1.0,1.0,,1.0,1.0,,1.0,,,True,1.0,,,
12224396,home,Chicago Fire FC II,Christian Koffi,,christian-koffi,C. Koffi,M,29,970940,EUR,967420800,M,50,50,False,36.0,24.0,,,8.0,11.0,16.0,29.0,,4.0,,,90.0,55.0,7.1,20.0,5,,86,173.0,M,4.0,,2.0,3.0,4.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
