match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_dispossessed,stat_totalOffside,captain,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_shotOffTarget,stat_accurateCross,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_bigChanceCreated,stat_onTargetScoringAttempt
11369320,home,Osasuna,Sergio Herrera,sergio-herrera,S. Herrera,G,1,192,995,M,294377,EUR,736646400,G,1,1,False,40.0,22.0,30.0,12.0,11.0,15.0,11.0,25.0,1.0,10.0,1.0,1.0,3.0,1.0,1.0,90.0,47.0,7.1,19.0,0.0,0.0,0.00196751,0,0.5861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369320,home,Osasuna,Rubén Peña,ruben-pena,R. Peña,D,7,170,186,M,255973,EUR,679795200,D,15,15,False,17.0,13.0,2.0,1.0,6.0,8.0,7.0,11.0,1.0,4.0,,,,,,85.0,48.0,7.1,13.0,0.116,0.0,0.00911876,2,,,,2.0,2.0,1.0,4.0,8.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,
11369320,home,Osasuna,Alejandro Catena,alejandro-catena,A. Catena,D,24,194,940,M,900792,EUR,783302400,D,24,24,False,30.0,17.0,8.0,4.0,14.0,19.0,3.0,11.0,8.0,8.0,,,,,,90.0,44.0,6.8,16.0,0.0,0.0,0.00325606,0,,,,,,3.0,3.0,4.0,,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
11369320,home,Osasuna,David García,david-garcia,D. García,D,5,185,306,M,591136,EUR,761184000,D,5,5,False,30.0,19.0,6.0,4.0,14.0,18.0,5.0,12.0,6.0,5.0,,,,,,90.0,39.0,6.9,12.0,0.0,0.0,0.00198549,0,,,,,3.0,3.0,5.0,3.0,1.0,,,,,,,1.0,,,,True,1.0,,,,,,,,,
11369320,home,Osasuna,Juan Cruz,juan-cruz,J. Cruz,D,3,180,216,M,897902,EUR,712281600,D,3,3,False,26.0,17.0,6.0,3.0,8.0,13.0,9.0,14.0,1.0,7.0,,,,,,90.0,50.0,6.6,22.0,0.0,0.0,0.0886142,0,,,,1.0,1.0,,6.0,2.0,1.0,2.0,,,1.0,2.0,,1.0,,,,,2.0,1.0,,,,,,,,
11369320,home,Osasuna,Iker Muñoz,iker-munoz,I. Muñoz,M,8,179,228,M,1119586,EUR,1036454400,M,34,34,False,32.0,15.0,12.0,4.0,7.0,10.0,8.0,22.0,2.0,5.0,,,,,,68.0,43.0,7.0,20.0,0.0,0.0,0.0589839,0,,,,,1.0,4.0,4.0,9.0,,2.0,1.0,,,3.0,3.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,
11369320,home,Osasuna,Lucas Torró,lucas-torro,L. Torró,M,6,190,714,M,187313,EUR,774576000,M,6,6,False,33.0,16.0,2.0,,6.0,9.0,10.0,24.0,4.0,7.0,,,,,,90.0,52.0,7.1,21.0,0.2393,0.0,0.012344,3,,,,,4.0,9.0,6.0,9.0,1.0,,,1.0,2.0,,,4.0,,,,,1.0,,,2.0,,,,,,
11369320,home,Osasuna,Aimar Oroz,aimar-oroz,A. Oroz,M,10,177,1253,M,985329,EUR,1006819200,M,10,10,False,35.0,30.0,5.0,2.0,9.0,11.0,21.0,25.0,,6.0,,,,,,90.0,58.0,6.6,16.0,0.1552,0.0,0.0254846,2,,,,1.0,2.0,2.0,9.0,6.0,,4.0,1.0,2.0,,2.0,2.0,4.0,1.0,3.0,,,1.0,,,,,,,,,
11369320,home,Osasuna,Chimy Ávila,chimy-avila,C. Ávila,F,9,171,2160,M,789381,EUR,760492800,F,9,9,False,21.0,11.0,7.0,3.0,2.0,7.0,10.0,19.0,,3.0,,,,,,85.0,42.0,6.4,19.0,0.7332,0.0,0.143777,4,,,,5.0,5.0,1.0,7.0,4.0,1.0,1.0,,1.0,,,,3.0,3.0,,,,,3.0,,3.0,1.0,2.0,1.0,,,
11369320,home,Osasuna,Ante Budimir,ante-budimir,A. Budimir,F,17,190,8134,M,37318,EUR,680140800,F,17,17,False,10.0,5.0,,,1.0,1.0,4.0,9.0,,3.0,,,,,,85.0,24.0,6.6,13.0,0.0706,0.0866,0.0516493,1,,,,,7.0,2.0,13.0,3.0,,3.0,,,,1.0,,4.0,,,1.0,,3.0,1.0,,,,,,budimir_ante,1.0,1.0
