match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_aerialLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_goalAssist,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_blockedScoringAttempt,stat_bigChanceMissed,player_sofascoreId
11388414,home,RKC Waalwijk,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187,465,M,809408,EUR,806716800,G,1,1,False,True,47.0,29.0,32.0,14.0,26.0,30.0,3.0,17.0,1.0,2.0,2.0,12.0,1.0,1.0,1.0,3.0,1.0,90.0,59.0,6.9,18.0,0.00276728,0,0.2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388414,home,RKC Waalwijk,Jurien Gaari,jurien-gaari,J. Gaari,D,3,181,58,M,884944,EUR,756604800,D,23,23,False,,36.0,26.0,6.0,,19.0,24.0,7.0,12.0,2.0,2.0,2.0,7.0,,,,,,90.0,55.0,6.4,14.0,0.0109127,0,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11388414,home,RKC Waalwijk,Shawn Adewoye,shawn-adewoye,S. Adewoye,D,4,183,156,M,989586,EUR,962236800,D,4,4,False,,22.0,16.0,4.0,1.0,15.0,18.0,1.0,4.0,1.0,3.0,10.0,1.0,1.0,,,,,90.0,41.0,6.6,7.0,0.00056798,0,,3.0,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11388414,home,RKC Waalwijk,Dario Van Den Buijs,dario-van-den-buijs,D. V. D. Buijs,D,33,188,65,M,783468,EUR,810864000,D,3,3,False,,46.0,37.0,13.0,6.0,28.0,31.0,9.0,15.0,1.0,3.0,4.0,2.0,,,,,,90.0,61.0,6.7,12.0,0.0221051,0,,6.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,
11388414,home,RKC Waalwijk,Thierry Lutonda,thierry-lutonda,T. Lutonda,D,5,167,113,M,867246,EUR,972604800,D,5,5,False,,38.0,31.0,5.0,1.0,16.0,21.0,15.0,17.0,,7.0,3.0,8.0,1.0,,,,,90.0,76.0,6.4,17.0,0.0524144,1,,7.0,1.0,,1.0,1.0,,1.0,5.0,2.0,2.0,5.0,1.0,1.0,0.0297,1.0,,,,,,,,,,,,,
11388414,home,RKC Waalwijk,Yassin Oukili,oukili-yassin,Y. Oukili,M,5,195,495,M,1010846,EUR,978480000,M,6,6,False,,26.0,22.0,,,12.0,15.0,10.0,11.0,1.0,7.0,2.0,1.0,1.0,,,,,90.0,44.0,6.9,9.0,0.0233144,0,,6.0,1.0,,1.0,3.0,1.0,1.0,5.0,2.0,4.0,,,,,1.0,1.0,,,,,,,,,,,,
11388414,home,RKC Waalwijk,Godfried Roemeratoe,godfried-roemeratoe,G. Roemeratoe,M,6,178,106,M,825849,EUR,935020800,M,24,24,False,,36.0,27.0,6.0,5.0,17.0,17.0,10.0,19.0,1.0,2.0,1.0,6.0,,,,,,90.0,45.0,6.7,10.0,0.0147961,0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
11388414,home,RKC Waalwijk,Chris Lokesa,lokesa-chris,C. Lokesa,M,5,175,140,M,1126518,EUR,1099785600,M,14,14,False,,13.0,9.0,1.0,,5.0,6.0,4.0,7.0,1.0,3.0,,5.0,1.0,,,,,65.0,26.0,6.5,10.0,0.00181851,2,,7.0,,,,1.0,1.0,3.0,,,1.0,3.0,1.0,,0.0445,,,,,2.0,2.0,0.2205,,,,,,,
11388414,home,RKC Waalwijk,Reuven Niemeijer,reuven-niemeijer,R. Niemeijer,M,10,178,46,M,846202,EUR,796262400,M,27,27,False,,17.0,13.0,,,8.0,10.0,5.0,7.0,1.0,2.0,1.0,3.0,,,,,,87.0,26.0,6.1,10.0,0.00269862,1,,6.0,1.0,,,2.0,,1.0,,,3.0,3.0,1.0,,0.0774,,,,,1.0,,0.3509,,,,,,,
11388414,home,RKC Waalwijk,Mats Seuntjens,mats-seuntjens,M. Seuntjens,M,20,187,138,M,163541,EUR,703468800,M,20,20,False,,27.0,9.0,10.0,1.0,6.0,7.0,4.0,24.0,,2.0,1.0,9.0,1.0,,,,,80.0,40.0,6.6,25.0,0.0766886,1,,2.0,,,,1.0,,,1.0,1.0,3.0,1.0,,,0.062,1.0,,,,1.0,1.0,0.1146,4.0,1.0,,,,,
