match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_errorLeadToAShot,stat_unsuccessfulTouch,captain,stat_blockedScoringAttempt,stat_totalCross,stat_totalContest,stat_keyPass,stat_wonContest,stat_accurateCross,stat_totalOffside,stat_aerialWon,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_punches,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_hitWoodwork
14053651,home,Sparta Rotterdam,Joël Drommel,,,joel-drommel,J. Drommel,G,1,189.0,376,M,610396,EUR,848102400,G,1,1,False,40.0,25.0,28.0,13.0,0.0,15.0,16.0,10.0,24.0,1.0,11.0,1.0,4.0,7.0,90.0,55.0,7.6,15.0,0.0144126,1.2369,0,0.0234,0.03,0.01,-0.34,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053651,home,Sparta Rotterdam,Shurandy Sambo,,,shurandy-sambo,S. Sambo,D,12,174.0,235,M,916926,EUR,998179200,D,2,2,False,23.0,17.0,5.0,3.0,0.0,12.0,15.0,5.0,8.0,5.0,4.0,2.0,,,73.0,43.0,6.1,7.0,0.00541429,,1,,0.04,0.05,-0.35,,4.0,7.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,0.0234,-0.13,,,,,,,,,,,,,,,,,,,,,
14053651,home,Sparta Rotterdam,Marvin Young,Marvin,Young ,marvin-young,M. Young,D,3,182.0,187,M,1648759,EUR,1128211200,D,3,3,False,39.0,33.0,9.0,5.0,0.0,28.0,31.0,5.0,8.0,1.0,4.0,,,,90.0,49.0,5.4,7.0,0.00323827,,0,,0.03,0.1,-0.4,,4.0,6.0,,,5.0,,1.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14053651,home,Sparta Rotterdam,Bruno Martins Indi,,,bruno-martins-indi,B. M. Indi,D,4,185.0,169,M,116947,EUR,697507200,D,4,4,False,38.0,32.0,9.0,6.0,0.0,19.0,20.0,13.0,18.0,,1.0,,,,49.0,42.0,5.6,6.0,0.0354297,,0,,0.3,0.13,-0.29,,,2.0,,,2.0,1.0,1.0,,,2.0,,,,,,True,,,,,,,,,,,,,,,,,
14053651,home,Sparta Rotterdam,Patrick van Aanholt,,,patrick-van-aanholt,P. v. Aanholt,D,14,175.0,555,M,74577,EUR,651888000,D,5,5,False,21.0,15.0,1.0,1.0,0.0,12.0,16.0,3.0,5.0,3.0,3.0,,,,53.0,30.0,6.3,6.0,0.00470083,,1,,-0.13,0.03,-0.36,,,,,,,,2.0,3.0,1.0,,0.0304,-0.08,,,,,1.0,,,,,,,,,,,,,,,,
14053651,home,Sparta Rotterdam,Jens Toornstra,,,jens-toornstra,J. Toornstra,M,18,178.0,203,M,99960,EUR,607651200,M,10,10,False,29.0,19.0,8.0,4.0,0.0,12.0,16.0,7.0,13.0,2.0,4.0,,,,90.0,42.0,6.7,14.0,0.196027,,1,,0.26,0.11,0.16,,,4.0,,1.0,4.0,1.0,,2.0,1.0,,0.0484,-0.22,3.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,,
14053651,home,Sparta Rotterdam,Joshua Kitolano,,,joshua-kitolano,J. Kitolano,M,8,170.0,272,M,913584,EUR,984009600,M,6,6,False,15.0,11.0,,,0.0,5.0,6.0,6.0,9.0,2.0,4.0,,,,89.0,22.0,6.7,6.0,0.456688,,0,,0.45,0.1,-0.07,,1.0,1.0,,,1.0,1.0,,,,,,,,,2.0,,,,2.0,1.0,2.0,,,,,,,,,,,,
14053651,home,Sparta Rotterdam,Pelle Clement,,,pelle-clement,P. Clement,M,6,177.0,70,M,795135,EUR,832464000,M,8,8,False,11.0,10.0,1.0,1.0,0.0,6.0,6.0,4.0,5.0,3.0,2.0,1.0,,,90.0,20.0,6.1,4.0,0.00351977,,0,,0.0,0.03,-0.31,,,5.0,1.0,,3.0,,,,,,,,4.0,,,,,1.0,2.0,,2.0,,,,,,,,,,,,
14053651,home,Sparta Rotterdam,Mitchell van Bergen,,,mitchell-van-bergen,M. v. Bergen,F,7,170.0,248,M,827662,EUR,935712000,F,7,7,False,14.0,10.0,,,0.0,2.0,4.0,8.0,10.0,,1.0,,,,89.0,27.0,6.1,14.0,0.106654,,1,,-0.03,0.1,-0.1,,1.0,8.0,3.0,,,,,,,,0.1578,-0.31,2.0,,1.0,,1.0,4.0,2.0,1.0,,1.0,1.0,,,,,,,,,,
14053651,home,Sparta Rotterdam,Tobias Lauritsen,,,tobias-lauritsen,T. Lauritsen,F,9,192.0,737,M,796943,EUR,872899200,F,9,9,False,23.0,11.0,1.0,1.0,0.0,3.0,5.0,8.0,18.0,15.0,2.0,5.0,,,90.0,39.0,7.2,13.0,0.0701203,,3,,-0.49,0.38,0.24,,9.0,10.0,,1.0,6.0,,,,,,0.2917,-0.61,1.0,,,,,1.0,,,,,,10.0,2.0,0.41,,,,,,,
14053651,home,Sparta Rotterdam,Sayfallah Ltaief,,,sayfallah-ltaief,S. Ltaief,M,47,180.0,1619,M,1032926,EUR,956361600,F,11,11,False,7.0,5.0,,,0.0,2.0,2.0,3.0,5.0,,2.0,,,,53.0,9.0,6.4,3.0,0.0057988,,0,,-0.05,0.05,0.13,,2.0,4.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,
14053651,home,Sparta Rotterdam,Teo Quintero,,,teo-quintero,T. Q. León,D,5,188.0,438,M,966299,EUR,920332800,D,13,13,True,15.0,10.0,7.0,4.0,0.0,4.0,4.0,6.0,11.0,1.0,1.0,,,,37.0,21.0,6.6,5.0,0.118797,,0,,0.25,0.03,-0.22,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
14053651,home,Sparta Rotterdam,Mike Kleijn,,,kleijn-mike,M. Kleijn,D,15,175.0,123,M,1193084,EUR,1107907200,D,15,15,True,8.0,7.0,,,0.0,5.0,6.0,2.0,2.0,4.0,1.0,,,,37.0,22.0,6.5,2.0,0.00505265,,0,,0.01,-0.02,-0.21,,,,,,2.0,,1.0,4.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
