match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateLongBalls,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_totalClearance,stat_outfielderBlock,stat_fouls,captain,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_goals
12528193,home,Bodrum FK,Haqi Osman,haqi-osman,H. Osman,F,9,173.0,59,M,1126525,EUR,1018483200,F,19,19,True,4.0,4.0,1.0,0.0,,,4.0,4.0,1.0,30.0,8.0,6.7,3.0,0.00906186,0,,Haqi Osman,,1.0,,,1.0,1.0,,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Zdravko Dimitrov,zdravko-dimitrov,Z. Dimitrov,M,22,180.0,222,M,871342,EUR,903916800,F,7,7,True,14.0,12.0,,0.0,4.0,4.0,8.0,13.0,2.0,11.0,20.0,7.1,5.0,0.019871,1,,,,,3.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,0.0179,,,,,,,,,,
12528193,home,Bodrum FK,Celal Dumanli,celal-dumanli,C. Dumanli,F,48,189.0,27,M,903334,EUR,767491200,F,48,48,True,1.0,1.0,,0.0,1.0,1.0,,,,11.0,4.0,6.5,2.0,8.43e-06,0,,,,,,,3.0,,,,,,,2.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,
12528193,home,Bodrum FK,Ahmet Aslan,ahmet-aslan,A. Aslan,M,21,179.0,23,M,1134098,EUR,993772800,M,21,21,True,5.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,11.0,6.0,6.5,1.0,0.00042158,0,,Ahmet Aslan,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Bahri Can Tosun,bahri-can-tosun,B. C. Tosun,G,32,185.0,4,M,1164956,EUR,1034467200,G,32,32,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Ege Bilsel,ege-bilsel,E. Bilsel,D,70,175.0,74,M,1011244,EUR,1073174400,F,70,70,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Omar Imeri,omar-imeri,O. Imeri,D,11,175.0,36,M,930651,EUR,945043200,M,11,11,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Ondřej Čelůstka,ondrej-celustka,O. Čelůstka,D,,186.0,47,M,45764,EUR,614131200,D,33,33,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Erkan Degismez,erkan-degismez,E. Degismez,M,,180.0,9,M,130493,EUR,525484800,M,4,4,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Sokratis Dioudis,sokratis-dioudis,S. Dioudis,G,13,189.0,266,M,173933,EUR,728697600,G,1,1,False,41.0,19.0,30.0,0.0,15.0,18.0,4.0,23.0,9.0,90.0,47.0,7.1,22.0,0.00051575,0,0.6216,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,
12528193,away,Gaziantep FK,Ömürcan Artan,omurcan-artan,Ö. Artan,D,2,179.0,17,M,1016384,EUR,933033600,D,27,27,False,28.0,20.0,2.0,0.0,17.0,19.0,4.0,10.0,4.0,90.0,53.0,7.2,15.0,0.0300379,0,,,,,1.0,1.0,5.0,4.0,2.0,,,,4.0,1.0,,1.0,2.0,3.0,1.0,1.0,4.0,,2.0,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Arda Kızıldağ,arda-kizildag,A. Kızıldağ,D,4,187.0,127,M,904228,EUR,908409600,D,4,4,False,28.0,22.0,7.0,0.0,20.0,21.0,2.0,7.0,3.0,90.0,38.0,6.8,6.0,0.00118115,0,,,,2.0,,,1.0,2.0,,,,,1.0,,1.0,,1.0,1.0,,,5.0,,,,,,,,,,,,1.0,,,
12528193,away,Gaziantep FK,Ertuğrul Ersoy,ertugrul-ersoy,E. Ersoy,D,5,185.0,89,M,355004,EUR,855792000,D,5,5,False,33.0,26.0,3.0,0.0,21.0,23.0,5.0,10.0,2.0,90.0,47.0,7.2,8.0,0.00274562,0,,,,,,,1.0,3.0,,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Salem M'Bakata,salem-mbakata,S. M'Bakata,D,22,177.0,65,M,940367,EUR,892944000,D,22,22,False,20.0,12.0,2.0,0.0,9.0,12.0,3.0,10.0,1.0,59.0,40.0,6.7,16.0,0.00369907,0,,,,,2.0,,1.0,5.0,,2.0,1.0,,1.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Cyril Mandouki,cyril-mandouki,C. Mandouki,M,14,180.0,38,M,821461,EUR,682732800,M,14,14,False,19.0,14.0,1.0,0.0,8.0,9.0,6.0,10.0,3.0,90.0,32.0,6.8,8.0,0.0062205,1,,,,,,,3.0,5.0,,,,,1.0,2.0,,,1.0,3.0,2.0,1.0,3.0,,1.0,,1.0,0.0213,1.0,,,,,,,,,
12528193,away,Gaziantep FK,Quentin Daubin,quentin-daubin,Q. Daubin,M,,183.0,31,M,826605,EUR,804729600,M,6,6,False,18.0,13.0,,0.0,7.0,8.0,6.0,10.0,4.0,53.0,22.0,5.7,6.0,0.00229461,0,,,,,,,4.0,4.0,,,,,,1.0,2.0,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177.0,793,M,180511,EUR,647395200,M,44,44,False,36.0,26.0,3.0,0.0,15.0,18.0,12.0,19.0,4.0,59.0,43.0,7.1,11.0,0.034209,1,,,,2.0,1.0,1.0,2.0,5.0,,2.0,2.0,,,1.0,1.0,,2.0,2.0,,,1.0,,,True,1.0,0.0669,,,,,,,,,,
12528193,away,Gaziantep FK,Mustafa Eskihellaç,mustafa-eskihellac,M. Eskihellaç,D,19,175.0,571,M,899069,EUR,862790400,F,7,7,False,16.0,10.0,1.0,0.0,4.0,5.0,6.0,11.0,3.0,82.0,33.0,6.3,15.0,0.00634937,1,,,,,,,7.0,5.0,1.0,7.0,2.0,,,3.0,1.0,1.0,,1.0,1.0,,,,,,,0.0461,1.0,1.0,,,,,,,,
12528193,away,Gaziantep FK,Kenan Kodro,kenan-kodro,K. Kodro,F,19,187.0,435,M,591140,EUR,745718400,F,19,19,False,11.0,8.0,,0.0,4.0,5.0,4.0,6.0,3.0,89.0,26.0,6.7,8.0,0.00569145,0,,,,,,,8.0,8.0,1.0,1.0,1.0,,,3.0,3.0,,6.0,4.0,,,1.0,,1.0,,,,1.0,,,,,,,,,
12528193,away,Gaziantep FK,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,10,182.0,3151,M,984602,EUR,1066262400,F,10,10,False,8.0,8.0,1.0,0.0,2.0,2.0,6.0,6.0,5.0,60.0,21.0,7.0,4.0,0.0032862,1,,,,1.0,,,2.0,5.0,1.0,2.0,1.0,,,2.0,1.0,,,,3.0,3.0,,,,,1.0,0.1242,,,,,,,,,,
12528193,away,Gaziantep FK,Godfrey Bitok Stephen,godfrey-bitok-stephen,G. Bitok Stephen,D,,185.0,51,M,988050,EUR,966902400,D,15,15,True,5.0,2.0,,0.0,1.0,4.0,1.0,1.0,4.0,31.0,10.0,6.5,5.0,0.0197901,0,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,2.0,,,,,,,,,
12528193,away,Gaziantep FK,Deian Sorescu,deian-sorescu,D. Sorescu,M,18,175.0,704,M,797602,EUR,872812800,F,18,18,True,6.0,2.0,1.0,0.0,1.0,3.0,1.0,5.0,2.0,31.0,11.0,6.5,7.0,0.00116353,0,,,,,2.0,,2.0,2.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,
12528193,away,Gaziantep FK,Enric Saborit,enric-saborit,E. Saborit,D,26,186.0,78,M,253303,EUR,704332800,D,13,13,True,7.0,2.0,1.0,0.0,2.0,6.0,,1.0,2.0,30.0,11.0,7.3,7.0,4.208e-05,1,,,,,,,,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,0.0359,,,,1.0,,0.2817,,,,1.0
12528193,away,Gaziantep FK,Furkan Soyalp,furkan-soyalp,F. Soyalp,M,33,175.0,70,M,226992,EUR,802915200,M,8,8,True,,,,1.0,,,1.0,1.0,1.0,8.0,8.0,7.0,1.0,0.0184215,0,,,,,1.0,1.0,3.0,2.0,1.0,,,,,1.0,1.0,1.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,,
12528193,away,Gaziantep FK,İlker Karakaş,ilker-karakas,İ. Karakaş,F,61,187.0,26,M,921406,EUR,916012800,F,23,23,True,,,,0.0,,,,,,1.0,,,,,0,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Mustafa Burak Bozan,bozan-mustafa-burak,M. B. Bozan,G,71,196.0,106,M,934201,EUR,966988800,G,71,71,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Eren Cakir,eren-cakir,E. Çakir,M,87,,15,M,1393995,EUR,1077062400,M,87,87,True,,,,,,,,,,,,,,,0,,Eren Çakir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Mirza Cihan,mirza-cihan,M. Cihan,M,8,175.0,29,M,909289,EUR,972518400,M,17,17,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Eren Erdoğan,eren-erdogan,E. Erdoğan,F,77,175.0,26,M,997699,EUR,990489600,F,30,30,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,away,Gaziantep FK,Ali Mevran Ablak,ali-mevran-ablak,A. M. Ablak,F,16,179.0,11,M,1165418,EUR,1059264000,F,16,16,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
