match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_outfielderBlock,stat_shotOffTarget,stat_wonTackle,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_keeperSaveValue
14025187,home,Chelsea,Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,18379,M,RS1,920546,EUR,879811200,G,1,1,False,55.0,31.0,30.0,7.0,0.0,30.0,36.0,1.0,19.0,1.0,2.0,12.0,2.0,4.0,90.0,68.0,5.6,24.0,0.00031438,2.0,0,-1.2271,0.04,-0.05,-0.25,-0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025187,home,Chelsea,Reece James,reece-james,R. James,D,24,180,49594,M,ReeceJ,885908,EUR,944611200,D,24,24,False,46.0,41.0,2.0,1.0,0.0,19.0,19.0,22.0,27.0,2.0,4.0,1.0,,,90.0,79.0,7.6,16.0,0.303187,1.0,2,,1.0,0.19,-0.6,,,,True,6.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0459,0.5372,0.17,,,,,,,,,,,,,
14025187,home,Chelsea,Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,23,23,False,39.0,36.0,2.0,,0.0,28.0,28.0,8.0,11.0,,,2.0,,,53.0,40.0,5.5,3.0,0.00432667,,0,,0.04,0.03,-0.13,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
14025187,home,Chelsea,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15467,M,,1153079,EUR,1141689600,D,21,21,False,55.0,46.0,4.0,1.0,0.0,36.0,40.0,10.0,15.0,1.0,3.0,2.0,,,79.0,60.0,6.5,10.0,0.00310017,,0,,-0.08,0.04,-0.19,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
14025187,home,Chelsea,Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,3,3,False,38.0,31.0,3.0,1.0,0.0,16.0,20.0,15.0,18.0,,4.0,2.0,,,90.0,56.0,5.9,8.0,0.0138662,1.0,1,,-0.16,0.09,-0.41,,,,,1.0,1.0,2.0,5.0,1.0,1.0,1.0,,,,1.0,,3.0,1.0,2.0,0.0163,,-0.05,,1.0,3.0,,,,,,,,,,
14025187,home,Chelsea,Andrey Santos,santos-andrey,A. Santos,M,17,180,27949,M,andreysantos_5,1105779,EUR,1083542400,M,17,17,False,19.0,16.0,,,0.0,7.0,9.0,9.0,10.0,,2.0,,,,54.0,23.0,6.8,4.0,0.0122631,1.0,0,,0.05,0.05,-0.03,,Andrey Santos,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,
14025187,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,57.0,53.0,1.0,,0.0,32.0,35.0,21.0,22.0,,8.0,4.0,4.0,,90.0,76.0,7.1,7.0,0.0195292,,1,,0.24,-0.33,-0.03,,,,,,,,4.0,,2.0,1.0,,,1.0,1.0,2.0,3.0,,2.0,0.0265,,0.0,1.0,,1.0,1.0,,,,,,,,,
14025187,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,M,8,8,False,51.0,44.0,4.0,2.0,0.0,21.0,23.0,23.0,28.0,1.0,8.0,3.0,4.0,,90.0,72.0,7.4,14.0,0.017981,1.0,4,,0.12,0.17,-0.26,,,,,1.0,,,5.0,2.0,1.0,,,2.0,,,,3.0,2.0,,1.4794,1.5864,0.34,,2.0,1.0,2.0,1.0,1.0,,,,,,,
14025187,home,Chelsea,Estêvão,estevao,Estêvão,M,41,176,195379,M,Estêvão,1597265,EUR,1177372800,F,41,41,False,18.0,16.0,2.0,1.0,0.0,6.0,6.0,10.0,12.0,,6.0,1.0,,,63.0,37.0,6.8,7.0,0.0133159,,3,,0.07,0.2,-0.03,,Estêvão,,,,,2.0,5.0,1.0,5.0,3.0,,,3.0,,1.0,3.0,3.0,,0.1907,,-0.39,,,1.0,,,,,,,,,,
14025187,home,Chelsea,João Pedro,joao-pedro,J. Pedro,F,20,182,97251,M,joaopedro,975079,EUR,1001462400,F,20,20,False,28.0,24.0,2.0,1.0,0.0,9.0,10.0,15.0,18.0,2.0,7.0,3.0,3.0,,90.0,46.0,6.7,13.0,0.028669,2.0,0,,0.12,0.32,0.13,,,,,1.0,,3.0,11.0,,3.0,,,,,,1.0,2.0,2.0,2.0,,,,,,1.0,3.0,,,,,,,,,
