match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalOffside,stat_totalContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_accurateCross,stat_wonContest,stat_shotOffTarget,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyConceded,stat_goodHighClaim,stat_penaltyFaced,stat_hitWoodwork
10438041,home,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12694,M,diogomcosta99,843115,EUR,937699200,G,99,99,False,31.0,17.0,24.0,10.0,12.0,14.0,5.0,17.0,1.0,1.0,11.0,1.0,4.0,5.0,90.0,41.0,8.0,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438041,home,FC Porto,João Mário,joao-mario,J. Mário,D,17,178,3148,M,,902031,EUR,946857600,D,23,23,False,33.0,25.0,3.0,2.0,14.0,15.0,11.0,22.0,3.0,1.0,2.0,,,,90.0,49.0,7.0,13.0,1,,,4.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10438041,home,FC Porto,Pepe,pepe,Pepe,D,,188,6226,M,Pepe,5884,EUR,415065600,D,3,3,False,38.0,31.0,9.0,4.0,23.0,24.0,8.0,14.0,6.0,3.0,7.0,1.0,,,90.0,49.0,6.9,8.0,1,,,,1.0,4.0,5.0,,2.0,2.0,,True,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10438041,home,FC Porto,Iván Marcano,ivan-marcano,I. Marcano,D,,189,542,M,,26056,EUR,551404800,D,5,5,False,23.0,19.0,6.0,5.0,14.0,15.0,5.0,8.0,,5.0,5.0,,,,90.0,29.0,6.8,4.0,0,,,,1.0,,3.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
10438041,home,FC Porto,Zaidu Sanusi,zaidu-sanusi,Z. Sanusi,D,12,182,2630,M,,987510,EUR,866160000,D,12,12,False,23.0,19.0,3.0,2.0,10.0,12.0,9.0,12.0,2.0,2.0,5.0,,,,87.0,46.0,6.7,11.0,1,,,1.0,,,6.0,1.0,2.0,2.0,2.0,,3.0,,,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,
10438041,home,FC Porto,Bruno Costa,bruno-costa,B. Costa,M,,174,140,M,,343619,EUR,861408000,M,28,28,False,19.0,15.0,3.0,3.0,6.0,6.0,11.0,17.0,5.0,,4.0,,,,72.0,36.0,7.1,10.0,2,,,4.0,1.0,,8.0,1.0,3.0,2.0,3.0,,2.0,1.0,,,,3.0,,1.0,2.0,2.0,2.0,1.0,,,,,,,,,
10438041,home,FC Porto,Matheus Uribe,mateus-uribe,M. Uribe,M,8,182,1621,M,,247773,EUR,669513600,M,8,8,False,34.0,29.0,6.0,4.0,13.0,14.0,16.0,21.0,3.0,1.0,4.0,,,,90.0,46.0,7.5,7.0,1,,,1.0,,,4.0,,3.0,3.0,4.0,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,
10438041,home,FC Porto,Otávio,otavio,Otávio,M,25,171,6972,M,otavio,244801,EUR,792288000,M,25,25,False,39.0,34.0,1.0,1.0,14.0,14.0,20.0,25.0,9.0,3.0,14.0,2.0,,,90.0,61.0,7.1,11.0,1,,,,,1.0,8.0,,4.0,,2.0,,2.0,3.0,,1.0,,3.0,,2.0,,,2.0,1.0,,,,,,,,,
10438041,home,FC Porto,Pepê,pepe,Pepê,F,11,175,5029,M,pepe,882664,EUR,856742400,M,11,11,False,18.0,8.0,,,1.0,2.0,7.0,16.0,3.0,,5.0,1.0,,,87.0,36.0,6.3,16.0,0,,,,1.0,,7.0,,2.0,,,,1.0,1.0,,,,4.0,,1.0,1.0,,,,,,,,,,,,
10438041,home,FC Porto,Evanilson,evanilson,Evanilson,F,9,181,7635,M,evanilsonlima99,998490,EUR,939168000,F,30,30,False,15.0,12.0,,,4.0,5.0,8.0,10.0,4.0,,2.0,1.0,,,88.0,27.0,7.2,10.0,1,,,,2.0,2.0,6.0,,1.0,1.0,3.0,,,,1.0,,,1.0,,6.0,,,,,1.0,,,,,,,,
