match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_accurateLongBalls,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_totalClearance,stat_expectedGoals,captain,stat_accurateCross,stat_aerialLost,stat_totalTackle,player_sofascoreId,stat_aerialWon,stat_onTargetScoringAttempt,stat_wonTackle,stat_expectedGoalsOnTarget,stat_goals,player_firstName,player_lastName,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_bigChanceCreated,stat_bigChanceMissed
11407434,home,Sassuolo,Andrea Consigli,andrea-consigli,A. Consigli,G,189.0,262,M,38618,EUR,538704000,G,47,47,False,18.0,11.0,7.0,11.0,12.0,6.0,4.0,1.0,3.0,90.0,24.0,6.8,7.0,9.292e-05,0,-0.4147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407434,home,Sassuolo,Jeremy Toljan,jeremy-toljan,J. Toljan,D,182.0,343,M,149606,EUR,776304000,D,22,22,False,40.0,35.0,2.0,12.0,12.0,31.0,6.0,,,90.0,61.0,7.5,13.0,0.0619027,0,,22,1.0,1.0,23.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11407434,home,Sassuolo,Martin Erlić,martin-erlic,M. Erlić,D,192.0,1953,M,789234,EUR,885600000,D,5,5,False,50.0,46.0,6.0,29.0,31.0,19.0,5.0,,,90.0,60.0,7.1,5.0,0.00513686,1,,6,4.0,,17.0,,,2.0,,1.0,1.0,,,2.0,,1.0,,,1.0,3.0,0.0326,,,,,,,,,,,,,,,,,,,
11407434,home,Sassuolo,Gian Marco Ferrari,gian-marco-ferrari,G. M. Ferrari,D,189.0,224,M,170887,EUR,705888000,D,13,13,False,52.0,43.0,6.0,24.0,24.0,31.0,6.0,,,90.0,66.0,7.0,13.0,0.0388421,2,,,2.0,,20.0,3.0,2.0,2.0,,1.0,,,,1.0,1.0,,,2.0,2.0,,0.1844,True,1.0,1.0,2.0,,,,,,,,,,,,,,,
11407434,home,Sassuolo,Matías Viña,matias-vina,M. Viña,D,180.0,7106,M,875295,EUR,879033600,D,17,17,False,28.0,19.0,5.0,6.0,10.0,20.0,5.0,,,88.0,60.0,6.7,17.0,0.0163958,1,,18,1.0,,14.0,2.0,7.0,7.0,3.0,5.0,2.0,,,,3.0,,1.0,,,2.0,0.0305,,1.0,,4.0,matiasv17,1.0,1.0,1.0,0.3322,,,,,,,,,,
11407434,home,Sassuolo,Daniel Boloca,boloca-daniel,D. Boloca,M,185.0,442,M,882592,EUR,914284800,M,24,24,False,61.0,54.0,8.0,18.0,22.0,39.0,10.0,,,90.0,81.0,8.1,11.0,0.0544941,1,,11,4.0,,36.0,,1.0,7.0,,3.0,2.0,,2.0,1.0,3.0,,,,,1.0,0.0193,,,,4.0,,1.0,1.0,2.0,0.4537,1.0,,,,,,,,,
11407434,home,Sassuolo,Kristian Thorstvedt,kristian-thorstvedt,K. Thorstvedt,M,187.0,1387,M,924973,EUR,921283200,M,42,42,False,26.0,24.0,1.0,5.0,5.0,22.0,3.0,,,59.0,39.0,6.4,8.0,0.037197,0,,42,1.0,,20.0,1.0,5.0,2.0,,2.0,,,,2.0,1.0,,,,,,,,1.0,,2.0,,,,,,,,,3.0,,,,,,
11407434,home,Sassuolo,Domenico Berardi,domenico-berardi,D. Berardi,M,185.0,5071,M,253367,EUR,775699200,M,10,10,False,28.0,18.0,5.0,4.0,5.0,28.0,3.0,,,90.0,47.0,6.9,17.0,0.340938,2,,10,4.0,,15.0,5.0,8.0,3.0,1.0,1.0,,,,,,3.0,4.0,2.0,,1.0,0.1152,,1.0,,,berardi25,,1.0,,0.4718,,,,2.0,1.0,,,,,
11407434,home,Sassuolo,Nedim Bajrami,nedim-bajrami,N. Bajrami,M,179.0,1671,M,825861,EUR,920160000,M,11,11,False,23.0,20.0,,6.0,8.0,16.0,7.0,,,72.0,28.0,7.0,4.0,0.0224659,2,,14,,,14.0,1.0,,,,,,,,,,,,3.0,1.0,,0.1356,,,,,,,1.0,,0.2303,,,,,,,,,,
11407434,home,Sassuolo,Armand Laurienté,armand-lauriente,A. Laurienté,M,177.0,2531,M,932643,EUR,912729600,M,45,45,False,24.0,18.0,2.0,,,25.0,4.0,,,72.0,38.0,6.3,12.0,0.0574996,2,,45,1.0,,19.0,1.0,9.0,2.0,2.0,4.0,1.0,,,,2.0,1.0,3.0,1.0,2.0,,0.1248,,1.0,1.0,,,,,,,,,,1.0,,,,,,
