match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_hitWoodwork,stat_clearanceOffLine
12437833,home,Real Valladolid,Karl Hein,karl-hein,K. Hein,G,13,193.0,4102,M,991591,EUR,1018656000,G,13,13,False,26.0,21.0,7.0,2.0,0.0,21.0,23.0,3.0,2.0,5.0,1.0,1.0,1.0,90.0,35.0,6.5,6.0,7.495e-05,0,-0.6739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437833,home,Real Valladolid,Luis Pérez,luis-perez,L. Pérez,D,2,173.0,199,M,843180,EUR,791856000,D,2,2,False,23.0,17.0,2.0,1.0,0.0,9.0,11.0,20.0,1.0,4.0,,,,90.0,50.0,7.1,16.0,0.218517,0,,True,11.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
12437833,home,Real Valladolid,Abdulay Juma Bah,abdulay-juma-bah,A. J. Bah,D,28,195.0,5965,M,1606792,EUR,1144713600,D,35,35,False,26.0,19.0,5.0,2.0,0.0,17.0,20.0,6.0,5.0,6.0,,,,90.0,42.0,6.9,9.0,0.00063775,2,,,2.0,,,1.0,4.0,7.0,,1.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,2.0,1.0,2.0,0.2332,,,,,,,,,,,,,,,
12437833,home,Real Valladolid,David Torres,david-torres,D. Torres,D,4,182.0,147,M,1214359,EUR,1046822400,D,3,3,False,59.0,53.0,7.0,3.0,0.0,35.0,37.0,22.0,,2.0,,,,90.0,62.0,6.6,6.0,0.00560425,0,,,18.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
12437833,home,Real Valladolid,Lucas Rosa,lucas-rosa,L. Rosa,D,2,177.0,706,M,970860,EUR,954720000,D,22,22,False,23.0,16.0,7.0,2.0,0.0,11.0,11.0,14.0,3.0,3.0,,,,90.0,45.0,6.9,15.0,0.00399277,1,,,5.0,2.0,,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,0.0432,,,1.0,1.0,1.0,1.0,0.0954,,,,,,,,
12437833,home,Real Valladolid,Mario Martín,martin-mario,M. Martín,M,6,177.0,16546,M,1154549,EUR,1078444800,M,12,12,False,27.0,22.0,1.0,,0.0,14.0,15.0,12.0,1.0,3.0,,,,90.0,48.0,6.4,9.0,0.00972541,1,,,8.0,,,1.0,9.0,7.0,,2.0,2.0,1.0,1.0,2.0,,,3.0,2.0,,,3.0,0.1116,,,3.0,2.0,1.0,,0.2448,1.0,,,,,,,
12437833,home,Real Valladolid,Eray Cömert,eray-comert,E. Cömert,D,24,183.0,508,M,814023,EUR,886550400,M,15,15,False,19.0,17.0,2.0,2.0,0.0,10.0,11.0,8.0,,2.0,,,,45.0,29.0,6.9,5.0,0.00252751,1,,,7.0,,,,3.0,3.0,,,1.0,1.0,3.0,3.0,,1.0,,,1.0,2.0,1.0,0.0451,,,,,,,,,,,,,,,
12437833,home,Real Valladolid,Selim Amallah,amallah-selim,S. Amallah,M,21,187.0,6523,M,801211,EUR,848016000,M,21,21,False,15.0,14.0,1.0,1.0,0.0,8.0,8.0,7.0,1.0,4.0,,,,83.0,37.0,7.0,10.0,0.0266882,3,,,6.0,,,,9.0,8.0,,,3.0,2.0,3.0,2.0,,1.0,2.0,2.0,1.0,,2.0,1.1756,,,5.0,2.0,2.0,,0.8497,1.0,selim_amallah,1.0,,,,,
12437833,home,Real Valladolid,Amath Ndiaye,amath-ndiaye,A. Ndiaye,M,11,179.0,448,M,845168,EUR,837475200,F,19,19,False,8.0,5.0,3.0,1.0,0.0,1.0,3.0,5.0,,3.0,,,,68.0,23.0,7.3,6.0,0.0131225,2,,,4.0,,,1.0,1.0,5.0,,1.0,1.0,,3.0,,,,,,1.0,1.0,2.0,0.0752,,,2.0,2.0,1.0,,0.0534,,,,,,,,
12437833,home,Real Valladolid,Juanmi Latasa,juanmi-latasa,J. Latasa,F,9,191.0,1993,M,966679,EUR,985305600,F,14,14,False,9.0,6.0,1.0,1.0,0.0,1.0,2.0,7.0,,2.0,,,,45.0,16.0,6.5,8.0,0.014845,0,,,5.0,,,,1.0,3.0,,,,,5.0,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
12437833,home,Real Valladolid,Darwin Machís,darwin-machis,D. Machís,F,11,174.0,1580,M,252863,EUR,729043200,F,18,18,False,16.0,11.0,2.0,1.0,0.0,5.0,7.0,12.0,1.0,2.0,,,,45.0,21.0,6.5,7.0,0.245026,0,,,7.0,3.0,1.0,,2.0,1.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
