match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_penaltyConceded,stat_fouls,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_wasFouled,stat_totalContest,stat_wonContest,stat_penaltyWon,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_punches,player_sofascoreId
12421194,home,Royal Antwerp FC,Senne Lammens,,,senne-lammens,S. Lammens,G,31,193.0,27447,M,964753,EUR,1026000000,G,91,91,False,29.0,23.0,9.0,3.0,0.0,21.0,23.0,2.0,6.0,1.0,9.0,1.0,6.0,1.0,8.0,1.0,1.0,90.0,46.0,8.5,6.0,0.00214947,0,1.8522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421194,home,Royal Antwerp FC,Semm Renders,,,semm-renders,S. Renders,D,17,180.0,243,M,1546054,EUR,1197849600,D,54,54,False,39.0,35.0,5.0,5.0,0.0,28.0,28.0,7.0,12.0,4.0,3.0,,,,,,,82.0,71.0,6.7,8.0,0.0549855,0,,1.0,2.0,1.0,2.0,5.0,2.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12421194,home,Royal Antwerp FC,Toby Alderweireld,,,toby-alderweireld,T. Alderweireld,D,,186.0,1445,M,44575,EUR,604800000,D,23,23,False,109.0,94.0,19.0,11.0,0.0,73.0,75.0,21.0,35.0,7.0,2.0,,,,,,,90.0,121.0,7.3,17.0,0.0304579,1,,1.0,,2.0,,2.0,1.0,,,1.0,True,1.0,1.0,1.0,0.0623,0.4958,1.0,,,,,,,,,,,,,,,,
12421194,home,Royal Antwerp FC,Zeno Van Den Bosch,,,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191.0,594,M,1103765,EUR,1057449600,D,33,33,False,105.0,101.0,7.0,5.0,0.0,80.0,81.0,21.0,24.0,2.0,4.0,,,,,,,90.0,114.0,6.6,5.0,0.0213213,1,,,,,1.0,,,,,,,1.0,,1.0,0.0168,0.0712,,1.0,1.0,,,,,,,,,,,,,,
12421194,home,Royal Antwerp FC,Olivier Deman,,,deman-olivier,O. Deman,D,2,181.0,445,M,960114,EUR,954979200,D,5,5,False,46.0,41.0,,,0.0,26.0,28.0,16.0,22.0,1.0,2.0,,,,,,,82.0,69.0,6.7,13.0,0.0255449,1,,4.0,3.0,2.0,6.0,4.0,2.0,1.0,1.0,1.0,,1.0,,,0.0359,0.2561,,,,1.0,1.0,2.0,1.0,,,,,,,,,,
12421194,home,Royal Antwerp FC,Denis Odoi,Denis,Odoi,denis-odoi,D. Odoi,M,3,177.0,876,M,58994,EUR,580694400,M,6,6,False,71.0,64.0,7.0,5.0,0.0,38.0,40.0,27.0,34.0,4.0,2.0,,,,,,,90.0,92.0,6.7,16.0,0.0405846,1,,3.0,,5.0,6.0,7.0,1.0,1.0,,1.0,,1.0,,1.0,0.0418,0.0276,,,,1.0,,5.0,1.0,1.0,,,,,,,,,
12421194,home,Royal Antwerp FC,Mahamadou Doumbia,Mahamadou Doumbia,,mahamadou-doumbia,M. Doumbia,M,17,186.0,5407,M,1400846,EUR,1084579200,M,20,20,False,61.0,56.0,5.0,4.0,0.0,26.0,27.0,30.0,34.0,1.0,5.0,,,,,,,90.0,86.0,7.2,13.0,0.055251,1,,,1.0,,8.0,8.0,1.0,2.0,,2.0,,1.0,1.0,,0.7884,0.9853,1.0,,,,1.0,2.0,2.0,8.0,4.0,,,,,,,,
12421194,home,Royal Antwerp FC,Gyrano Kerk,,,gyrano-kerk,G. Kerk,M,7,175.0,505,M,386950,EUR,817862400,M,7,7,False,25.0,20.0,3.0,3.0,1.0,5.0,6.0,16.0,23.0,2.0,5.0,,,,,,,89.0,53.0,7.4,20.0,0.0479197,0,,4.0,,3.0,10.0,9.0,,2.0,2.0,3.0,,,,,,,1.0,,2.0,1.0,1.0,6.0,1.0,4.0,3.0,1.0,2.0,,,,,,
12421194,home,Royal Antwerp FC,Tjaronn Chery,,,tjaronn-chery,T. Chery,M,10,170.0,874,M,35208,EUR,581385600,M,9,9,False,23.0,19.0,,,0.0,8.0,9.0,11.0,14.0,,2.0,,,,,,,66.0,28.0,6.4,6.0,0.0161796,0,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,
12421194,home,Royal Antwerp FC,Jacob Ondrejka,,,ondrejka-jacob,J. Ondrejka,M,17,180.0,1006,M,1004790,EUR,1030924800,M,11,11,False,28.0,21.0,,,1.0,6.0,6.0,17.0,26.0,1.0,3.0,,,,,,,82.0,43.0,7.1,16.0,0.239247,1,,4.0,,1.0,2.0,2.0,,1.0,1.0,5.0,,,,1.0,0.0219,,3.0,,1.0,2.0,,1.0,,,,,,1.0,1.0,,,,
12421194,home,Royal Antwerp FC,Vincent Janssen,,,vincent-janssen,V. Janssen,F,18,184.0,1452,M,339901,EUR,771552000,F,18,18,False,30.0,26.0,4.0,2.0,0.0,9.0,9.0,17.0,22.0,,3.0,,,,,,,90.0,43.0,7.6,11.0,0.040605,3,,1.0,,2.0,5.0,4.0,,,,2.0,,3.0,1.0,,0.2167,1.2225,1.0,,1.0,,,4.0,,2.0,2.0,,1.0,,,1.0,,,
12421194,home,Royal Antwerp FC,Anthony Valencia,,,anthony-valencia,A. Valencia,F,14,175.0,559,M,1020197,EUR,1058659200,F,14,14,True,17.0,15.0,1.0,1.0,0.0,6.0,7.0,9.0,12.0,,3.0,,,,,,,24.0,26.0,6.9,9.0,0.0771176,0,,2.0,1.0,1.0,2.0,3.0,,,,1.0,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,
12421194,home,Royal Antwerp FC,Kobe Corbanie,Kobe Corbanie,,corbanie-kobe,K. Corbanie,D,2,187.0,205,M,1463869,EUR,1115683200,D,2,2,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,8.0,10.0,6.5,2.0,0.00196662,0,,,2.0,,4.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
12421194,home,Royal Antwerp FC,Farouck Adekami,Farouck Adekami,,farouck-adekami,F. Adekami,M,22,,253,M,1920581,EUR,1139788800,M,22,22,True,9.0,8.0,,,0.0,3.0,3.0,5.0,7.0,,1.0,,,,,,,8.0,13.0,7.2,2.0,0.064242,1,,1.0,,,,2.0,,,,,,,,,0.024,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,
12421194,home,Royal Antwerp FC,Jaïro Riedewald,,,jairo-riedewald,J. Riedewald,M,44,186.0,1207,M,285989,EUR,842227200,M,4,4,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,,,8.0,3.0,6.5,,0.00853643,1,,,,,,,,,,,,,,,0.129,,,,,,,,,,,,,,,,1.0,,
12421194,home,Royal Antwerp FC,Rosen Bozhinov,Rosen Bozhinov,,rosen-bozhinov,R. Bozhinov,D,2,195.0,619,M,1152943,EUR,1106438400,D,26,26,True,,,,,0.0,,,,,1.0,,,,,,,,1.0,1.0,,,,0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421194,home,Royal Antwerp FC,Lowie Piselé,Lowie Piselé,,lowie-pisele,L. Piselé,G,,,21,M,1546050,EUR,1253145600,G,61,61,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421194,home,Royal Antwerp FC,Niels Devalckeneer,Niels,Devalckeneer,devalckeneer-niels,N. Devalckeneer,G,81,193.0,72,M,1391493,EUR,1084752000,G,81,81,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421194,home,Royal Antwerp FC,Andreas Verstraeten,Andreas,Verstraeten,andreas-verstraeten,A. Verstraeten,M,21,178.0,127,M,1465835,EUR,1136851200,D,75,75,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421194,home,Royal Antwerp FC,Gerard Vandeplas,Gerard,Vandeplas,vandeplas-gerard,G. Vandeplas,F,79,,85,M,1426634,EUR,1140825600,F,79,79,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421194,away,KVC Westerlo,Andreas Jungdal,,,andreas-jungdal,A. Jungdal,G,99,195.0,289,M,963038,EUR,1014336000,G,99,99,False,19.0,9.0,14.0,4.0,0.0,5.0,7.0,4.0,12.0,1.0,8.0,,3.0,1.0,5.0,,,90.0,31.0,7.1,10.0,0.00101647,0,0.0585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
12421194,away,KVC Westerlo,Bryan Reynolds,,,bryan-reynolds,B. Reynolds,D,22,185.0,426,M,862075,EUR,993686400,D,22,22,False,37.0,32.0,2.0,1.0,0.0,11.0,11.0,23.0,29.0,1.0,7.0,,,,,,,90.0,52.0,7.0,9.0,0.0881565,2,,3.0,1.0,1.0,5.0,4.0,,1.0,1.0,2.0,,,,,0.0441,,3.0,,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,,,,,2.0,,
