match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_outfielderBlock,stat_fouls,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_totalCross,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_accurateCross,captain,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_goodHighClaim,stat_goals
14573014,home,Dynamo Kyiv,Ruslan Neshcheret,ruslan-neshcheret,R. Neshcheret,G,35,190,302,M,976364,EUR,1011657600,G,35,35,False,46.0,33.0,23.0,10.0,0.0,29.0,35.0,4.0,11.0,2.0,14.0,4.0,5.0,1.0,1.0,1.0,90.0,58.0,8.1,13.0,0.00199125,0.8905,0,-0.6803,0.04,-0.01,-0.04,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573014,home,Dynamo Kyiv,Kristian Bilovar,kristian-bilovar,K. Bilovar,D,40,191,63,M,976373,EUR,981331200,D,40,40,False,49.0,42.0,3.0,,0.0,31.0,33.0,11.0,16.0,4.0,3.0,,,,,,90.0,61.0,6.3,7.0,0.00467013,,0,,0.01,0.01,-0.23,,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14573014,home,Dynamo Kyiv,Taras Mykhavko,mykhavko-taras,T. Mykhavko,D,32,185,459,M,1413197,EUR,1117411200,D,32,32,False,14.0,12.0,3.0,1.0,0.0,12.0,12.0,,2.0,4.0,,,,,,,34.0,22.0,6.8,2.0,4.083e-05,,0,,-0.02,0.01,0.27,,,2.0,1.0,2.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14573014,home,Dynamo Kyiv,Aliou Thiare,aliou-thiare,A. Thiare,D,66,197,324,M,1561784,EUR,1071878400,D,66,66,False,46.0,36.0,9.0,1.0,0.0,29.0,30.0,7.0,16.0,7.0,2.0,,,,,,90.0,62.0,6.5,12.0,0.00279397,,0,,0.0,0.05,-0.17,,,2.0,3.0,7.0,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14573014,home,Dynamo Kyiv,Oleksandr Tymchyk,oleksandr-tymchyk,O. Tymchyk,D,18,180,183,M,978286,EUR,853718400,M,18,18,False,28.0,22.0,2.0,2.0,0.0,11.0,14.0,11.0,16.0,4.0,2.0,,,,,,81.0,50.0,6.4,13.0,0.0127276,,0,,-0.07,-0.25,-0.13,,1.0,1.0,6.0,2.0,1.0,,,1.0,,,2.0,,,,,,2.0,3.0,,,,,,,,,,,,,,,
14573014,home,Dynamo Kyiv,Volodymyr Brazhko,volodymyr-brazhko,V. Brazhko,M,6,184,692,M,1000408,EUR,1011744000,M,6,6,False,38.0,35.0,5.0,2.0,0.0,12.0,12.0,23.0,26.0,4.0,6.0,,,,,,90.0,58.0,7.2,7.0,0.264748,,2,,0.42,0.1,-0.07,,2.0,3.0,4.0,6.0,2.0,1.0,,2.0,,,1.0,,,3.0,,,,1.0,1.0,1.0,0.0456,1.0,-0.01,,,,,,,,,,
14573014,home,Dynamo Kyiv,Oleksandr Yatsyk,oleksandr-yatsyk,O. Yatsyk,M,5,182,60,M,1001957,EUR,1041552000,M,5,5,False,24.0,20.0,,,0.0,11.0,13.0,9.0,11.0,5.0,1.0,,,,,,67.0,31.0,6.5,4.0,0.0025239,,1,,-0.07,0.12,-0.02,,,,,,,,,,,,,,,,,,,,,1.0,0.0237,,-0.04,,,,,,,,,,
14573014,home,Dynamo Kyiv,Vladyslav Dubinchak,vladyslav-dubinchak,V. Dubinchak,D,44,173,101,M,859393,EUR,899251200,M,44,44,False,39.0,26.0,6.0,1.0,0.0,11.0,16.0,16.0,27.0,2.0,3.0,,,,,,90.0,72.0,6.1,21.0,0.0963211,,0,,0.11,0.03,-0.1,,4.0,1.0,8.0,2.0,1.0,,,1.0,1.0,1.0,,2.0,,1.0,,,4.0,1.0,,,,,,1.0,,,,,,,,,
14573014,home,Dynamo Kyiv,Andriy Yarmolenko,andriy-yarmolenko,A. Yarmolenko,M,7,190,1932,M,41116,EUR,625104000,F,7,7,False,16.0,12.0,,,0.0,7.0,7.0,5.0,9.0,,1.0,,,,,,67.0,25.0,6.8,6.0,0.00883781,,0,,0.01,-0.01,0.14,,,,1.0,4.0,,2.0,2.0,2.0,,1.0,,,,2.0,,,,,,,,,,,True,,,,,,,,
14573014,home,Dynamo Kyiv,Eduardo Guerrero,eduardo-guerrero,E. Guerrero,F,39,180,492,M,985134,EUR,951091200,F,39,39,False,16.0,13.0,,,0.0,1.0,3.0,12.0,13.0,2.0,6.0,,,,,,90.0,27.0,6.7,10.0,0.01678,,0,,0.04,0.1,0.15,,4.0,1.0,5.0,3.0,,,,1.0,,,,2.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,
