match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_totalCross,stat_accurateCross,stat_duelLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_errorLeadToAShot
11352665,home,Nottingham Forest,Matt Turner,matt-turner,M. Turner,G,30,190,1518,M,833943,EUR,772416000,G,1,1,False,35.0,27.0,13.0,5.0,23.0,25.0,4.0,10.0,1.0,1.0,12.0,3.0,1.0,2.0,90.0,50.0,6.8,8.0,0.00470485,0,-0.7604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352665,home,Nottingham Forest,Serge Aurier,serge-aurier,S. Aurier,D,,176,2934,M,105697,EUR,725155200,D,24,24,False,24.0,22.0,,,12.0,13.0,11.0,13.0,1.0,5.0,1.0,,,,88.0,45.0,6.7,4.0,0.0422953,1,,Serge_aurier,True,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0444,1.0,,,,,,,,,,,,,,,,,,,,,
11352665,home,Nottingham Forest,Willy Boly,willy-boly,W. Boly,D,30,195,1884,M,139310,EUR,665539200,D,30,30,False,60.0,51.0,7.0,3.0,42.0,43.0,9.0,17.0,4.0,6.0,5.0,,,,78.0,73.0,7.1,11.0,0.0159706,1,,,,,,3.0,,,2.0,2.0,1.0,,,2.0,0.0495,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11352665,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,40,40,False,86.0,70.0,13.0,5.0,49.0,55.0,21.0,31.0,5.0,8.0,10.0,,,,90.0,99.0,6.8,18.0,0.00963261,0,,murillosantiago40,,,,5.0,,1.0,,1.0,1.0,,1.0,2.0,,,1.0,,5.0,,Murillo,,1.0,1.0,1.0,1.0,,,,,,,,,,,
11352665,home,Nottingham Forest,Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,338,M,358218,EUR,808790400,D,15,15,False,27.0,21.0,3.0,1.0,12.0,14.0,10.0,16.0,1.0,1.0,4.0,,,,90.0,53.0,6.7,12.0,0.0509161,1,,,,3.0,1.0,6.0,,1.0,4.0,,,,,2.0,0.3416,1.0,,,3.0,2.0,,,2.0,1.0,1.0,,1.0,0.5126,,,,,,,,,
11352665,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3183,M,871765,EUR,898992000,M,16,16,False,50.0,42.0,2.0,1.0,28.0,30.0,14.0,21.0,1.0,6.0,7.0,,,,78.0,64.0,7.5,9.0,0.0219709,2,,,,1.0,,2.0,1.0,,,2.0,2.0,,3.0,,0.0853,,,,1.0,,,,2.0,,,,1.0,0.2479,,,,,,,,,
11352665,home,Nottingham Forest,Orel Mangala,orel-mangala,O. Mangala,M,5,178,1576,M,793988,EUR,890179200,M,5,5,False,58.0,47.0,5.0,2.0,23.0,24.0,24.0,34.0,1.0,4.0,8.0,,,,90.0,70.0,6.7,15.0,0.0185809,0,,,,,,5.0,,,1.0,,,,1.0,2.0,,1.0,,,1.0,3.0,,,,2.0,3.0,2.0,,,,,,,,,,,
11352665,home,Nottingham Forest,Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,10181,M,843754,EUR,881020800,M,6,6,False,35.0,24.0,2.0,2.0,14.0,18.0,10.0,17.0,3.0,7.0,5.0,,,,78.0,49.0,6.7,12.0,0.00248216,2,,ibrahim_sangare,,,,5.0,2.0,,,3.0,1.0,,1.0,2.0,0.4542,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,
11352665,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,F,10,10,False,46.0,29.0,4.0,2.0,12.0,13.0,21.0,41.0,2.0,6.0,6.0,,,,90.0,68.0,7.7,24.0,0.433185,2,,Morgangibbs27,,8.0,4.0,5.0,1.0,,1.0,1.0,1.0,,,1.0,0.1322,4.0,,,,2.0,,,2.0,1.0,4.0,3.0,1.0,0.5556,,,,,,,,,
11352665,home,Nottingham Forest,Chris Wood,chris-wood,C. Wood,F,11,191,7494,M,50480,EUR,692064000,F,11,11,False,26.0,16.0,,,6.0,12.0,10.0,14.0,8.0,10.0,3.0,,,,90.0,42.0,8.8,11.0,0.0316045,7,,wodsy39,,,,7.0,2.0,,,,,,2.0,,1.7493,1.0,,1.0,2.0,1.0,,,7.0,,,,4.0,1.5557,1.0,2.0,1.0,,,,,,
