match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_fouls,player_sofascoreId,stat_aerialLost,stat_outfielderBlock,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_goals,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_goodHighClaim,stat_totalOffside
10411557,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,839,M,256667,EUR,797644800,G,30,30,False,21.0,15.0,17.0,11.0,6.0,7.0,9.0,14.0,1.0,7.0,1.0,3.0,4.0,90.0,30.0,6.3,6.0,0.0,0.0,0.00184085,0,-1.0871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411557,home,Lecce,Valentin Gendrey,,,valentin-gendrey,V. Gendrey,D,15,179,294,M,944899,EUR,961545600,D,17,17,False,22.0,18.0,2.0,1.0,4.0,6.0,15.0,19.0,3.0,5.0,,,,90.0,39.0,6.5,9.0,0.0286,0.0,0.0296599,1,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
10411557,home,Lecce,Federico Baschirotto,,,federico-baschirotto,F. Baschirotto,D,6,187,1366,M,786175,EUR,843177600,D,6,6,False,33.0,28.0,7.0,2.0,22.0,23.0,6.0,10.0,1.0,5.0,,,,90.0,40.0,6.1,5.0,0.057,0.4131,0.00526734,1,,,,1.0,2.0,,,,6.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
10411557,home,Lecce,Samuel Umtiti,,,samuel-umtiti,S. Umtiti,D,,182,3972,M,96547,EUR,753235200,D,93,93,False,30.0,25.0,3.0,,14.0,15.0,11.0,15.0,1.0,4.0,,,,89.0,36.0,6.4,5.0,0.0,0.0,0.00355126,0,,,,1.0,3.0,,,,2.0,2.0,,,,,,,2.0,samumtiti,1.0,1.0,,,,,,,,,
10411557,home,Lecce,Antonino Gallo,,,antonino-gallo,A. Gallo,D,25,183,673,M,945616,EUR,947030400,D,25,25,False,25.0,19.0,3.0,2.0,9.0,11.0,10.0,17.0,3.0,9.0,,,,69.0,44.0,7.0,9.0,0.0553,0.0563,0.00780214,2,,3.0,,2.0,1.0,,,1.0,5.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,
10411557,home,Lecce,Alexis Blin,,,alexis-blin,A. Blin,M,28,184,149,M,318657,EUR,842832000,M,29,29,False,35.0,31.0,2.0,1.0,12.0,14.0,19.0,22.0,4.0,9.0,1.0,,,90.0,47.0,6.5,9.0,0.4458,0.1124,0.012959,2,,1.0,,4.0,1.0,,,,,1.0,,,3.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,
10411557,home,Lecce,Morten Hjulmand,Morten,Hjulmand,hjulmand-morten,M. Hjulmand,M,42,185,4443,M,859917,EUR,930268800,M,42,42,False,49.0,45.0,9.0,7.0,22.0,22.0,24.0,28.0,8.0,8.0,1.0,,,90.0,62.0,7.7,4.0,0.0185,0.0,0.114729,1,,1.0,1.0,,,2.0,2.0,,1.0,1.0,5.0,3.0,,2.0,,,,,,1.0,,1.0,True,,,,,,
10411557,home,Lecce,Rémi Oudin,,,remi-oudin,R. Oudin,M,28,185,292,M,842709,EUR,848275200,M,28,28,False,41.0,33.0,8.0,8.0,12.0,12.0,25.0,38.0,1.0,5.0,1.0,,,90.0,61.0,7.8,14.0,0.2141,0.0858,0.0673513,4,,9.0,4.0,,,,,1.0,,1.0,,,1.0,2.0,,1.0,,,,,,2.0,,1.0,,,,,
10411557,home,Lecce,Gabriel Strefezza,,,gabriel-strefezza,G. Strefezza,M,7,168,2181,M,877201,EUR,861321600,F,27,27,False,30.0,21.0,6.0,3.0,5.0,7.0,18.0,27.0,8.0,5.0,3.0,,,89.0,53.0,8.1,16.0,0.1313,0.0,0.158301,3,,4.0,2.0,,5.0,2.0,1.0,3.0,,,4.0,1.0,2.0,5.0,,,2.0,,1.0,,,,,,1.0,2.0,1.0,,
10411557,home,Lecce,Lorenzo Colombo,,,lorenzo-colombo,L. Colombo,F,29,183,2440,M,930191,EUR,1015545600,F,9,9,False,5.0,4.0,,,,,4.0,5.0,2.0,2.0,,,,45.0,11.0,6.5,4.0,0.0626,0.0,0.0059042,1,,,,2.0,4.0,,,,1.0,,,,2.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,
