match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_wonContest,stat_goals,stat_totalOffside,captain,player_sofascoreId,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_bigChanceCreated,stat_bigChanceMissed
11368669,home,Rayo Vallecano,Stole Dimitrievski,,,stole-dimitrievski,S. Dimitrievski,G,1,188,843,M,97951,EUR,756777600,G,1,1,False,33.0,26.0,13.0,6.0,24.0,27.0,2.0,6.0,2.0,8.0,1.0,1.0,90.0,43.0,6.6,7.0,0.00025933,0,0.1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368669,home,Rayo Vallecano,Iván Balliu,,,ivan-balliu,I. Balliu,D,20,175,688,M,152446,EUR,694224000,D,20,20,False,50.0,39.0,8.0,3.0,20.0,25.0,19.0,28.0,,2.0,,,90.0,87.0,7.0,20.0,0.0216057,0,,1.0,3.0,2.0,3.0,5.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11368669,home,Rayo Vallecano,Abdul Mumin,,,abdul-mumin,A. Mumin,D,16,188,1245,M,846147,EUR,897091200,D,16,16,False,65.0,55.0,14.0,9.0,40.0,42.0,15.0,24.0,3.0,6.0,,,90.0,74.0,7.1,12.0,0.0231568,1,,,1.0,4.0,3.0,6.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,0.0255,,,,,,,,,,,,,,,
11368669,home,Rayo Vallecano,Florian Lejeune,,,florian-lejeune,F. Lejeune,D,24,190,1047,M,88528,EUR,674697600,D,24,24,False,65.0,53.0,9.0,3.0,37.0,40.0,16.0,25.0,4.0,5.0,,,90.0,80.0,7.4,13.0,0.0142907,5,,,,3.0,1.0,7.0,,,1.0,4.0,3.0,,,,1.0,,2.0,,0.1129,2.0,1.0,0.0776,,,,,,,,,,,,
11368669,home,Rayo Vallecano,Josep Chavarría,,,josep-chavarria,J. Chavarría,D,3,174,630,M,1010421,EUR,892166400,D,3,3,False,56.0,46.0,9.0,5.0,26.0,27.0,21.0,36.0,1.0,6.0,,,90.0,82.0,8.2,18.0,0.160749,1,,,7.0,1.0,3.0,9.0,2.0,1.0,1.0,3.0,2.0,,,1.0,1.0,,,4.0,0.0336,1.0,,0.5011,1.0,1.0,1.0,1.0,,,,,,,,
11368669,home,Rayo Vallecano,Jorge de Frutos,,,jorge-de-frutos,J. de Frutos,M,19,173,1878,M,900003,EUR,849312000,M,19,19,False,25.0,17.0,,,1.0,2.0,17.0,25.0,,4.0,,,74.0,42.0,7.0,15.0,0.0804038,0,,,2.0,3.0,5.0,8.0,,3.0,,4.0,3.0,2.0,,2.0,1.0,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,
11368669,home,Rayo Vallecano,Óscar Valentín,,,oscar-valentin,Ó. Valentín,M,23,177,443,M,900008,EUR,777340800,M,23,23,False,25.0,21.0,1.0,,14.0,15.0,7.0,10.0,,1.0,,,45.0,34.0,6.8,4.0,0.00579175,0,,,,2.0,4.0,7.0,,1.0,1.0,4.0,3.0,,4.0,,,,,,,,,,,1.0,,,True,,,,,,,
11368669,home,Rayo Vallecano,Unai López,,,unai-lopez,U. López,M,17,169,518,M,588566,EUR,815011200,M,17,17,False,58.0,51.0,4.0,2.0,24.0,25.0,28.0,37.0,,5.0,,,74.0,71.0,7.1,12.0,0.0366396,1,,,4.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,,,,2.0,2.0,1.0,,,0.0167,1.0,,0.0703,1.0,1.0,,,,,,,,,,
11368669,home,Rayo Vallecano,Isi Palazón,,,isi-palazon,I. Palazón,M,7,169,2151,M,899982,EUR,788486400,M,7,7,False,41.0,25.0,2.0,,5.0,12.0,21.0,32.0,2.0,4.0,,,90.0,61.0,7.5,25.0,0.0662774,3,,,3.0,2.0,2.0,4.0,1.0,1.0,,,,5.0,,1.0,,1.0,,1.0,0.0977,2.0,1.0,0.1719,1.0,1.0,1.0,,,,,,,,,
11368669,home,Rayo Vallecano,Sergio Camello,,,sergio-camello,S. Camello,F,10,177,1019,M,910024,EUR,981763200,F,34,34,False,18.0,11.0,,,4.0,6.0,7.0,12.0,,1.0,,,60.0,23.0,6.4,10.0,0.0066187,2,,,,2.0,4.0,2.0,1.0,,,,,1.0,,,1.0,2.0,,,0.1066,,2.0,,,,,,,,,,,,,
