match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_dispossessed,stat_errorLeadToAShot,captain,stat_accurateCross,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated,stat_goodHighClaim,stat_clearanceOffLine
12764845,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187,235,M,156663,EUR,760492800,G,33,33,False,35.0,21.0,24.0,10.0,0.0,20.0,27.0,1.0,8.0,1.0,1.0,7.0,1.0,1.0,2.0,90.0,41.0,6.7,14.0,0.00054587,0,0.1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764845,home,KAA Gent,Hugo Gambor,,,gambor-hugo,H. Gambor,D,23,186,141,M,1082541,EUR,1041206400,D,12,12,False,50.0,42.0,1.0,,0.0,20.0,23.0,22.0,29.0,,10.0,5.0,5.0,,,90.0,85.0,7.4,15.0,0.0198144,1,,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0313,,,,,,,,,,,,,,,,
12764845,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1373,M,942213,EUR,855100800,D,4,4,False,45.0,40.0,4.0,1.0,1.0,34.0,36.0,6.0,9.0,,4.0,6.0,,,,90.0,67.0,7.4,5.0,0.00131785,1,,,1.0,4.0,,,,13.0,,4.0,2.0,,1.0,0.166,2.0,1.0,1.0,1.0,,,,,,,,,,,,
12764845,home,KAA Gent,Stefan Mitrović,,,stefan-mitrovic,S. Mitrović,D,23,189,433,M,108736,EUR,643334400,D,13,13,False,48.0,42.0,9.0,5.0,0.0,29.0,33.0,13.0,15.0,,2.0,9.0,1.0,,,90.0,57.0,6.9,6.0,0.00306985,0,,,,,,,,3.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,
12764845,home,KAA Gent,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184,269,M,997024,EUR,985651200,D,20,20,False,55.0,45.0,7.0,2.0,0.0,30.0,35.0,15.0,24.0,,3.0,6.0,1.0,,,73.0,74.0,7.2,14.0,0.0160298,3,,4.0,,,1.0,1.0,2.0,2.0,,1.0,1.0,,,0.0654,,,,,1.0,0.0557,,,,,,,,,,
12764845,home,KAA Gent,Omri Gandelman,Omri Gandelman,,omri-gandelman,O. Gandelman,M,16,188,1082,M,1019125,EUR,958435200,M,6,6,False,34.0,29.0,2.0,,1.0,15.0,16.0,14.0,18.0,1.0,1.0,2.0,,,,72.0,40.0,6.8,7.0,0.0244055,0,,,2.0,2.0,,,,1.0,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,
12764845,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189,584,M,1124749,EUR,1091232000,M,16,16,False,80.0,70.0,6.0,4.0,0.0,29.0,33.0,41.0,47.0,,1.0,9.0,,,,90.0,89.0,6.7,11.0,0.0559288,0,,,2.0,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,
12764845,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,161,M,45990,EUR,572832000,M,24,24,False,52.0,44.0,4.0,3.0,0.0,22.0,25.0,25.0,33.0,,7.0,5.0,2.0,,,82.0,82.0,7.8,13.0,0.188535,0,,6.0,,7.0,1.0,1.0,,5.0,4.0,4.0,2.0,1.0,4.0,,2.0,,,5.0,,,,1.0,,True,3.0,,,,,
12764845,home,KAA Gent,Noah Fadiga,,,fadiga-noah,N. Fadiga,M,27,187,700,M,960437,EUR,944179200,F,22,22,False,12.0,10.0,,,0.0,1.0,2.0,10.0,15.0,,1.0,1.0,1.0,,,65.0,30.0,7.1,10.0,0.0258247,2,,5.0,1.0,4.0,1.0,,,,,,,2.0,2.0,0.7312,,,1.0,,2.0,0.3181,,1.0,,,1.0,1.0,1.0,,,
12764845,home,KAA Gent,Andri Guðjohnsen,,,andri-gudjohnsen,A. Guðjohnsen,F,11,188,951,M,982523,EUR,1012262400,F,9,9,False,21.0,15.0,1.0,1.0,0.0,10.0,13.0,5.0,8.0,4.0,4.0,,,,,90.0,33.0,6.9,12.0,0.292891,1,,,7.0,11.0,1.0,,,1.0,,,,2.0,2.0,0.0955,,1.0,,1.0,,,,1.0,,,,,,1.0,,
12764845,home,KAA Gent,Momodou Sonko,Momodou Sonko,,momodou-sonko,M. Sonko,M,11,176,579,M,1135616,EUR,1107129600,F,11,11,False,25.0,19.0,2.0,2.0,0.0,12.0,14.0,7.0,12.0,,5.0,7.0,,,,65.0,42.0,7.0,13.0,0.129742,1,,1.0,,3.0,6.0,4.0,,1.0,,1.0,,3.0,,0.0542,,,,,1.0,0.2491,,1.0,,,,,,,,
12764845,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,M,18,18,True,6.0,5.0,,,0.0,1.0,1.0,4.0,6.0,1.0,3.0,,1.0,,,25.0,15.0,6.8,3.0,0.00275362,0,,1.0,1.0,1.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12764845,home,KAA Gent,Hélio Varela,,,varela-helio,H. Varela,F,29,176,600,M,1094395,EUR,1020384000,F,29,29,True,7.0,7.0,,,0.0,3.0,3.0,4.0,5.0,,1.0,1.0,1.0,,,25.0,13.0,6.5,4.0,0.00280678,0,,1.0,,3.0,,,,,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,
