match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,stat_lastManTackle,stat_errorLeadToAShot,stat_bigChanceMissed,stat_wasFouled,stat_totalCross,stat_unsuccessfulTouch,stat_accurateCross,stat_totalContest,stat_wonContest,stat_hitWoodwork,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_blockedScoringAttempt,stat_goals,stat_totalOffside
12421223,home,Royale Union Saint-Gilloise,Anthony Moris,anthony-moris,A. Moris,G,49,184,297,M,39457,EUR,641347200,G,49,49,False,True,36.0,28.0,16.0,8.0,0.0,20.0,21.0,8.0,15.0,1.0,1.0,6.0,3.0,3.0,1.0,1.0,90.0,42.0,7.2,8.0,0.00571614,0,1.1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421223,home,Royale Union Saint-Gilloise,Ross Sykes,ross-sykes,R. Sykes,D,26,196,234,M,845558,EUR,922406400,D,26,26,False,,69.0,54.0,9.0,4.0,0.0,37.0,40.0,17.0,29.0,1.0,4.0,4.0,,,,,90.0,84.0,7.5,16.0,0.128428,2,,,,4.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0505,0.2527,2.0,,,,,,,,,,,,,,,,,
12421223,home,Royale Union Saint-Gilloise,Fedde Leysen,fedde-leysen,F. Leysen,D,48,191,390,M,1088899,EUR,1057708800,D,48,48,False,,62.0,59.0,8.0,8.0,0.0,43.0,46.0,16.0,16.0,1.0,3.0,10.0,,,,,90.0,83.0,7.4,4.0,0.0184129,3,,Fedde Leysen,,2.0,6.0,1.0,,2.0,1.0,8.0,,1.0,4.0,2.0,,0.1872,0.8739,,1.0,1.0,1.0,,,,,,,,,,,,,,
12421223,home,Royale Union Saint-Gilloise,Koki Machida,koki-machida,K. Machida,D,28,190,1344,M,790977,EUR,872467200,D,28,28,False,,60.0,49.0,7.0,2.0,0.0,19.0,22.0,30.0,38.0,3.0,5.0,5.0,,,,,85.0,84.0,7.2,14.0,0.0349885,1,,,,6.0,11.0,1.0,,1.0,,6.0,,1.0,3.0,2.0,,0.1598,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,
12421223,home,Royale Union Saint-Gilloise,Kevin Mac Allister,kevin-mac-allister,K. Mac Allister,D,5,175,9946,M,895327,EUR,878860800,M,5,5,False,,33.0,27.0,3.0,2.0,0.0,17.0,19.0,10.0,15.0,1.0,4.0,3.0,,,,,77.0,48.0,7.4,9.0,0.09881,1,,,,3.0,5.0,2.0,1.0,1.0,,2.0,,3.0,2.0,2.0,1.0,0.0969,,1.0,,,,,,1.0,2.0,,,,,,,,,,
12421223,home,Royale Union Saint-Gilloise,Noah Sadiki,noah-sadiki,N. Sadiki,M,27,173,15438,M,1171539,EUR,1103241600,M,27,27,False,,46.0,42.0,5.0,3.0,0.0,18.0,19.0,24.0,27.0,,4.0,4.0,,,,,90.0,60.0,6.9,7.0,0.0482647,0,,,,,4.0,3.0,1.0,,,1.0,,1.0,2.0,,1.0,,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,
12421223,home,Royale Union Saint-Gilloise,Mathias Rasmussen,mathias-rasmussen,M. Rasmussen,M,20,180,239,M,834244,EUR,880416000,M,4,4,False,,34.0,23.0,3.0,,0.0,10.0,12.0,18.0,29.0,1.0,4.0,4.0,,,,,77.0,47.0,7.3,14.0,0.271735,1,,,,1.0,3.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,0.034,0.0249,4.0,1.0,,,,,7.0,,5.0,,,,,,,,,
12421223,home,Royale Union Saint-Gilloise,Anan Khalaili,khalaili-anan,A. Khalaili,M,25,183,2317,M,1403362,EUR,1094169600,M,25,25,False,,41.0,28.0,3.0,,0.0,11.0,16.0,18.0,29.0,2.0,9.0,10.0,,,,,90.0,74.0,6.9,26.0,0.340536,1,,,,,10.0,2.0,,1.0,,3.0,1.0,1.0,5.0,2.0,,0.0169,,1.0,,,,,2.0,4.0,4.0,1.0,8.0,3.0,,,,,,,
12421223,home,Royale Union Saint-Gilloise,Mohammed Fuseini,mohammed-fuseini,M. Fuseini,F,7,169,1062,M,1212237,EUR,1021507200,F,77,77,False,,9.0,3.0,,,0.0,,1.0,3.0,9.0,1.0,6.0,1.0,,,,,63.0,19.0,6.3,12.0,0.00311503,1,,Mohammed Fuseini,,,,,,1.0,,,,,,,1.0,0.0396,,1.0,2.0,,,,,1.0,1.0,,2.0,,,,,,,,
12421223,home,Royale Union Saint-Gilloise,Franjo Ivanović,franjo-ivanovic,F. Ivanović,F,9,185,6334,M,1103333,EUR,1064966400,F,9,9,False,,20.0,17.0,1.0,,0.0,2.0,2.0,15.0,19.0,2.0,11.0,2.0,,,,,90.0,43.0,6.6,14.0,0.587803,4,,,,,3.0,1.0,1.0,,4.0,1.0,,,1.0,1.0,3.0,0.3446,0.7043,1.0,2.0,,,2.0,1.0,1.0,5.0,,4.0,1.0,,,,,,,
