match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_fouls,captain,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goalAssist,player_firstName,player_lastName,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves
10382130,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,20.0,13.0,13.0,6.0,8.0,8.0,5.0,12.0,1.0,9.0,1.0,1.0,90.0,26.0,6.9,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382130,home,FC Twente,Joshua Brenet,joshua-brenet,J. Brenet,D,30,181,142,M,296438,EUR,764121600,D,20,20,False,47.0,35.0,5.0,2.0,18.0,19.0,18.0,29.0,,8.0,,,90.0,73.0,7.7,18.0,2,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10382130,home,FC Twente,Mees Hilgers,mees-hilgers,M. Hilgers,D,2,185,8875,M,1014288,EUR,989712000,D,2,2,False,60.0,55.0,5.0,2.0,25.0,27.0,30.0,33.0,2.0,3.0,,,90.0,74.0,7.5,6.0,0,,,4.0,3.0,,,,,,3.0,1.0,1.0,,,,meeshilgerss,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
10382130,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,269,M,196082,EUR,748742400,D,3,3,False,82.0,74.0,5.0,2.0,40.0,41.0,34.0,41.0,5.0,7.0,,,90.0,95.0,6.9,8.0,2,,,4.0,7.0,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,1.0,2.0,True,5.0,1.0,1.0,1.0,,,,,,
10382130,home,FC Twente,Gijs Smal,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,74.0,60.0,9.0,2.0,24.0,27.0,36.0,48.0,2.0,4.0,,,90.0,96.0,7.8,17.0,2,1.0,,2.0,4.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,2.0,,,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,,,,
10382130,home,FC Twente,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8083,M,989882,EUR,896140800,M,8,8,False,59.0,50.0,6.0,3.0,19.0,23.0,31.0,36.0,,4.0,,,90.0,70.0,7.7,10.0,0,,,3.0,6.0,,2.0,1.0,1.0,,3.0,1.0,,1.0,,3.0,rramizz_,,1.0,,2.0,1.0,,1.0,,,,,,,,,
10382130,home,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,423,M,798181,EUR,865209600,M,18,18,False,49.0,42.0,1.0,,10.0,14.0,32.0,35.0,1.0,4.0,,,89.0,62.0,7.0,11.0,4,,,4.0,4.0,,2.0,,,1.0,2.0,2.0,2.0,1.0,,2.0,,1.0,,,1.0,1.0,,1.0,2.0,3.0,,,,,,,
10382130,home,FC Twente,Václav Černý,vaclav-cerny,V. Černý,M,18,182,3495,M,280631,EUR,877046400,M,7,7,False,42.0,33.0,3.0,2.0,14.0,14.0,21.0,35.0,,6.0,,,76.0,59.0,7.2,19.0,1,7.0,2.0,4.0,,1.0,2.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,
10382130,home,FC Twente,Sem Steijn,sem-steijn,S. Steijn,M,14,173,3417,M,944467,EUR,1005523200,M,14,14,False,17.0,14.0,,,2.0,2.0,13.0,17.0,1.0,,,,66.0,26.0,8.5,5.0,4,2.0,1.0,2.0,,,,,,2.0,,,1.0,,,2.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,2.0,,
10382130,home,FC Twente,Virgil Misidjan,virgil-misidjan,V. Misidjan,F,7,173,282,M,148623,EUR,743472000,M,10,10,False,32.0,29.0,2.0,2.0,5.0,6.0,24.0,31.0,,6.0,,,76.0,55.0,6.7,13.0,1,5.0,,6.0,7.0,1.0,4.0,2.0,,,,,2.0,4.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,
