match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_accurateCross,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_punches
11369816,away,Sint-Truidense VV,Joel Chima Fujita,,,joel-chima-fujita,J. C. Fujita,M,16,175,1436,M,1002461,EUR,1013817600,M,8,8,False,33.0,30.0,,,16.0,18.0,14.0,16.0,,4.0,7.0,,,,,64.0,46.0,7.0,6.0,0.0924,0.0,0.0201306,1,,1.0,,,,1.0,,1.0,,1.0,2.0,,,1.0,,1.0,2.0,,,,,,,,,,,,
11369816,away,Sint-Truidense VV,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189,582,M,1124749,EUR,1091232000,M,17,17,False,53.0,42.0,4.0,3.0,26.0,32.0,16.0,21.0,1.0,5.0,10.0,,,,,90.0,71.0,8.1,15.0,0.0821,0.1007,0.0177784,1,,,3.0,2.0,,1.0,,1.0,,3.0,2.0,,1.0,1.0,,,2.0,1.0,,1.0,1.0,,,,,,1.0,1.0,
11369816,away,Sint-Truidense VV,Eric Bocat,,,eric-bocat,E. Bocat,D,17,182,70,M,1017684,EUR,932083200,M,77,77,False,53.0,45.0,4.0,,20.0,22.0,26.0,33.0,,9.0,9.0,,,,,84.0,84.0,7.4,15.0,0.0613,0.0,0.201556,1,,2.0,4.0,,,6.0,3.0,5.0,4.0,2.0,1.0,1.0,,3.0,,1.0,1.0,,,,3.0,,,,1.0,,,,
11369816,away,Sint-Truidense VV,Jarne Steuckers,,,steuckers-jarne,J. Steuckers,M,7,179,987,M,1099462,EUR,1012780800,F,18,18,False,48.0,39.0,8.0,6.0,21.0,24.0,19.0,25.0,,2.0,5.0,,,,,89.0,58.0,6.9,13.0,0.1282,0.0,0.126091,2,,1.0,5.0,1.0,2.0,2.0,,1.0,,,,1.0,,1.0,,1.0,,,,,4.0,1.0,,,1.0,,,,
11369816,away,Sint-Truidense VV,Aboubakary Koita,,,aboubakary-koita,A. Koita,M,11,175,1938,M,890110,EUR,906249600,F,7,7,False,27.0,23.0,3.0,3.0,8.0,10.0,15.0,17.0,,10.0,8.0,,,,,89.0,58.0,8.1,16.0,0.2033,0.4948,0.0506843,5,,,10.0,2.0,,12.0,,2.0,1.0,5.0,3.0,1.0,,5.0,,3.0,,,,,2.0,,,,,,2.0,1.0,
11369816,away,Sint-Truidense VV,Fatih Kaya,,,fatih-kaya,F. Kaya,F,29,183,257,M,930697,EUR,942364800,F,11,11,False,14.0,11.0,,,4.0,7.0,7.0,7.0,,1.0,,,,,,64.0,22.0,6.3,8.0,0.0346,0.0,0.00468642,1,,,5.0,,1.0,3.0,,,,2.0,,,2.0,1.0,,1.0,,,,,1.0,,2.0,,,,,,
11369816,away,Sint-Truidense VV,Stan Van Dessel,,,van-dessel-stan,S. V. Dessel,M,8,162,53,M,990146,EUR,995932800,M,19,19,True,23.0,20.0,3.0,2.0,16.0,16.0,4.0,8.0,,3.0,3.0,,,,,26.0,28.0,6.7,4.0,0.0,0.0,0.0011343,0,,1.0,2.0,1.0,,,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
11369816,away,Sint-Truidense VV,Joselpho Barnes,,,joselpho-barnes,J. Barnes,F,,185,65,M,1100555,EUR,1008115200,F,23,23,True,4.0,3.0,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,26.0,9.0,6.5,2.0,0.0,0.0,0.00013503,0,,,3.0,,,,2.0,,,1.0,,3.0,,,,,,,,,,,1.0,,,,,,
11369816,away,Sint-Truidense VV,Wolke Janssens,,,janssens-wolke,W. Janssens,D,22,185,37,M,794418,EUR,789782400,D,22,22,True,7.0,5.0,,,4.0,5.0,1.0,2.0,1.0,3.0,4.0,,,,,13.0,13.0,7.0,2.0,0.0,0.0,0.00034045,0,,,2.0,,,,2.0,2.0,2.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,,
11369816,away,Sint-Truidense VV,Rihito Yamamoto,,,rihito-yamamoto,R. Yamamoto,M,6,179,455,M,1030211,EUR,1008115200,M,6,6,True,4.0,3.0,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,1.0,4.0,,1.0,0.0,0.0,0.00145456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369816,away,Sint-Truidense VV,Shinji Okazaki,,,shinji-okazaki,S. Okazaki,F,,174,435,M,19303,EUR,513993600,F,30,30,True,2.0,2.0,,,,,2.0,2.0,,,,,,,,1.0,3.0,,1.0,0.0,0.0,0.00129588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369816,away,Sint-Truidense VV,Jo Coppens,,,jo-coppens,J. Coppens,G,12,190,48,M,45854,EUR,661737600,G,12,12,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369816,away,Sint-Truidense VV,Olivier Dumont,Olivier Dumont,,olivier-dumont,O. Dumont,M,14,182,41,M,1127338,EUR,1015372800,M,14,14,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
