match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoals,stat_totalContest,stat_wasFouled,stat_accurateCross,stat_errorLeadToAShot,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyWon,player_sofascoreId,stat_penaltyConceded,stat_penaltyFaced,stat_errorLeadToAGoal,stat_hitWoodwork,stat_totalOffside
12436510,home,Ipswich Town,Christian Walton,,,christian-walton,C. Walton,G,28,196,230,M,198038,EUR,815875200,G,28,28,False,38.0,13.0,34.0,9.0,0.0,6.0,7.0,7.0,31.0,9.0,4.0,2.0,4.0,90.0,51.0,7.8,25.0,0.00135578,1.0,0,1.4777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436510,home,Ipswich Town,Wes Burns,,,wes-burns,W. Burns,M,7,173,187,M,305302,EUR,784684800,D,7,7,False,13.0,7.0,2.0,1.0,0.0,1.0,3.0,6.0,11.0,2.0,,,,86.0,29.0,7.6,9.0,0.00074906,,0,,1.0,5.0,2.0,5.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12436510,home,Ipswich Town,Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,660,M,856719,EUR,920505600,D,26,26,False,22.0,15.0,3.0,2.0,0.0,10.0,12.0,5.0,10.0,5.0,,,,90.0,39.0,7.3,11.0,0.00369106,,1,,,1.0,2.0,2.0,5.0,2.0,,1.0,,3.0,3.0,,1.0,1.0,0.0543,,,,,,,,,,,,,,,,,,,,,
12436510,home,Ipswich Town,Luke Woolfenden,,,luke-woolfenden,L. Woolfenden,D,26,193,197,M,893478,EUR,908928000,D,6,6,False,22.0,19.0,3.0,2.0,0.0,15.0,17.0,4.0,5.0,4.0,,,,90.0,30.0,7.3,3.0,0.00144071,,0,,,1.0,1.0,1.0,3.0,3.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12436510,home,Ipswich Town,Jacob Greaves,,,jacob-greaves,J. Greaves,D,24,193,527,M,990821,EUR,968716800,D,24,24,False,23.0,18.0,2.0,,0.0,15.0,18.0,3.0,5.0,1.0,,,,90.0,34.0,6.8,6.0,0.00085125,,0,,,,5.0,2.0,6.0,6.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12436510,home,Ipswich Town,Leif Davis,,,leif-davis,L. Davis,D,3,182,985,M,963493,EUR,946598400,D,3,3,False,16.0,9.0,,,0.0,6.0,8.0,5.0,10.0,2.0,,,,90.0,27.0,6.9,9.0,0.0720892,,0,,2.0,,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,
12436510,home,Ipswich Town,Omari Hutchinson,,,omari-hutchinson,O. Hutchinson,M,21,174,3680,M,1090963,EUR,1067385600,M,20,20,False,18.0,14.0,,,0.0,8.0,10.0,6.0,8.0,4.0,,,,89.0,35.0,7.4,10.0,0.0838664,2.0,1,,,1.0,,6.0,1.0,,,,,1.0,,3.0,,1.0,0.1283,,,,,1.0,3.0,1.0,1.0,1.0,0.6067,,,,,,,,,,,
12436510,home,Ipswich Town,Sam Morsy,,,sam-morsy,S. Morsy,M,40,175,1814,M,108515,EUR,684460800,M,5,5,False,24.0,17.0,6.0,2.0,0.0,11.0,12.0,6.0,12.0,5.0,,,,90.0,36.0,6.7,8.0,0.00601943,,0,,,2.0,,5.0,4.0,3.0,,2.0,1.0,3.0,,1.0,,4.0,,,1.0,,,1.0,,,,,,True,,,,,,,,,,
12436510,home,Ipswich Town,Jens Cajuste,,,jens-cajuste,J. Cajuste,M,12,188,1162,M,857671,EUR,934243200,M,12,12,False,18.0,10.0,1.0,,0.0,7.0,12.0,3.0,6.0,2.0,,,,77.0,29.0,6.8,9.0,0.00226811,,0,,,,,2.0,5.0,4.0,,,1.0,3.0,1.0,1.0,,1.0,,2.0,,,,1.0,,,,,,,2.0,,,,,,,,,
12436510,home,Ipswich Town,Nathan Broadhead,,,nathan-broadhead,N. Broadhead,M,33,178,415,M,911710,EUR,891734400,M,33,33,False,13.0,9.0,1.0,1.0,0.0,4.0,4.0,5.0,13.0,3.0,,,,77.0,25.0,6.5,10.0,0.0122956,1.0,2,,4.0,3.0,,5.0,2.0,,,,,1.0,,,1.0,,0.4064,2.0,,,,,1.0,,1.0,,0.4302,,1.0,1.0,,,,,,,,
12436510,home,Ipswich Town,Liam Delap,,,liam-delap,L. Delap,F,9,186,24878,M,997087,EUR,1044662400,F,19,19,False,8.0,4.0,1.0,,1.0,2.0,4.0,2.0,4.0,4.0,,,,89.0,32.0,8.4,16.0,0.0791263,1.0,5,,,1.0,3.0,6.0,6.0,,,,,,,6.0,,1.0,0.9934,1.0,3.0,,,,3.0,,4.0,1.0,1.3805,,,,1.0,1.0,,,,,,
12436510,home,Ipswich Town,Kalvin Phillips,,,kalvin-phillips,K. Phillips,M,27,177,9303,M,786028,EUR,817862400,M,8,8,True,3.0,2.0,1.0,1.0,0.0,,,2.0,3.0,,,,,13.0,3.0,6.6,1.0,0.00458586,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalvinphillips,,,,,
12436510,home,Ipswich Town,Sammie Szmodics,,,sammie-szmodics,S. Szmodics,M,19,168,1172,M,354782,EUR,811900800,M,23,23,True,3.0,2.0,1.0,,0.0,1.0,1.0,1.0,2.0,3.0,,,,13.0,4.0,6.3,2.0,0.0001439,,0,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
12436510,home,Ipswich Town,Ben Johnson,,,ben-johnson,B. Johnson,D,18,182,616,M,914412,EUR,948672000,D,18,18,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,11.0,6.0,6.6,1.0,0.00033265,,0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
