match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_totalOffside,stat_goals,stat_hitWoodwork,stat_bigChanceMissed,player_sofascoreId,stat_bigChanceCreated
11068546,home,Alanyaspor,Ahmed Hassan,ahmed-hassan,A. Hassan,F,19,191,1938,M,1143587,EUR,731289600,F,93,93,False,28.0,16.0,3.0,1.0,9.0,12.0,7.0,16.0,5.0,,6.0,1.0,,,,81.0,36.0,7.0,14.0,2.0,1,4.0,3.0,6.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,2.0,,,,,,1.0,,,
11068546,home,Alanyaspor,Arnaud Lusamba,arnaud-lusamba,A. Lusamba,M,11,180,284,M,361342,EUR,852336000,M,97,97,True,1.0,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,16.0,6.0,6.8,1.0,,0,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,
11068546,home,Alanyaspor,Zinedine Ferhat,zinedine-ferhat,Z. Ferhat,M,8,183,1371,M,842400,EUR,730944000,M,10,10,True,4.0,3.0,1.0,,1.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,,,,9.0,11.0,6.7,2.0,,0,,1.0,2.0,1.0,,,,,2.0,2.0,,,,,,1.0,,,,,,1.0,,,,,
11068546,home,Alanyaspor,Efthymis Koulouris,efthymios-koulouris,E. Koulouris,F,9,184,1080,M,386608,EUR,826070400,F,24,24,True,3.0,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,9.0,8.0,6.7,3.0,,0,2.0,,2.0,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,
11068546,home,Alanyaspor,Jure Balkovec,jure-balkovec,J. Balkovec,D,29,185,292,M,171625,EUR,779068800,D,29,29,True,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,8.0,4.0,6.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068546,home,Alanyaspor,Daniel Candeias,daniel-candeias,D. Candeias,M,21,177,77,M,41835,EUR,572745600,M,21,21,True,3.0,3.0,,,1.0,1.0,2.0,3.0,,,,,,,,13.0,7.0,6.5,2.0,,0,1.0,,1.0,,,,,,,,,Daniel,Candeias,1.0,,,,,,,,,,,,,
11068546,home,Alanyaspor,Yusuf Karagöz,yusuf-karagoz,Y. Karagöz,G,99,195,33,M,1133582,EUR,939081600,G,99,99,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Yusuf Karagoz,,,,,,,,,,,,,,,
11068546,home,Alanyaspor,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185,286,M,807291,EUR,885427200,D,27,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068546,home,Alanyaspor,Oğuz Aydın,oguz-aydin,O. Aydın,M,70,183,3374,M,999396,EUR,972604800,F,70,70,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068546,home,Alanyaspor,Idrissa Doumbia,idrissa-doumbia,I. Doumbia,M,,187,465,M,842255,EUR,892512000,M,98,98,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
