match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_wonTackle,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_goalAssist,player_sofascoreId,stat_punches,stat_totalOffside
11067496,home,Goiás,Tadeu,,,tadeu,Tadeu,G,23,184,759,M,552172,EUR,697161600,G,23,23,False,True,9.0,6.0,3.0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,90.0,16.0,6.5,3.0,2.216e-05,1.0,0,0.0568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067496,home,Goiás,Maguinho,,,maguinho,Maguinho,D,26,175,81,M,871209,EUR,694656000,D,2,2,False,,23.0,14.0,2.0,9.0,12.0,13.0,6.0,4.0,9.0,,5.0,,,,90.0,52.0,6.8,18.0,0.00799125,,1,,1.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0475,,,,,,,,,,,,,,,,
11067496,home,Goiás,Lucas Halter,,,lucas-halter,L. Halter,D,5,187,777,M,905450,EUR,957225600,D,3,3,False,,44.0,35.0,6.0,26.0,28.0,17.0,2.0,,3.0,,5.0,,,,90.0,51.0,6.8,10.0,0.00567717,1.0,0,,1.0,9.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
11067496,home,Goiás,Bruno Melo,,,bruno-melo,Bruno Melo,D,26,183,189,M,870851,EUR,720057600,D,19,19,False,,43.0,35.0,10.0,20.0,22.0,22.0,4.0,4.0,4.0,,6.0,,,,90.0,54.0,6.8,9.0,0.107866,1.0,2,,6.0,15.0,1.0,2.0,,,1.0,3.0,,,1.0,2.0,0.0921,,,1.0,1.0,0.0395,,,,,,,,,,,
11067496,home,Goiás,Hugo,,,hugo,Hugo,D,,179,3173,M,1017827,EUR,872812800,D,66,66,False,,30.0,22.0,3.0,12.0,12.0,22.0,1.0,6.0,3.0,2.0,6.0,,,,90.0,55.0,6.7,14.0,0.0659615,1.0,2,,1.0,12.0,4.0,,,,,1.0,2.0,1.0,,3.0,0.0407,,1.0,1.0,1.0,0.0301,2.0,1.0,1.0,,,,,,,,
11067496,home,Goiás,Guilherme Marques,,,guilherme-marques,Guilherme Marques,M,12,174,277,M,109610,EUR,674784000,M,60,60,False,,31.0,25.0,3.0,13.0,14.0,22.0,,2.0,1.0,,3.0,,,,65.0,42.0,6.5,14.0,0.0143702,,1,,2.0,12.0,5.0,2.0,,,1.0,,,2.0,1.0,,0.034,,,,,,,,,,,,,,,,
11067496,home,Goiás,Willian Oliveira,,,willian-oliveira,W. Oliveira,M,29,179,410,M,295167,EUR,737510400,M,12,12,False,,22.0,18.0,1.0,11.0,12.0,10.0,1.0,3.0,1.0,2.0,4.0,,,,65.0,28.0,6.7,5.0,0.202107,2.0,0,,,7.0,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,
11067496,home,Goiás,Everton Morelli,,,everton-morelli,E. Morelli,M,8,185,105,M,928137,EUR,878601600,M,40,40,False,,32.0,24.0,2.0,9.0,11.0,21.0,,4.0,8.0,,6.0,,,,90.0,49.0,6.8,13.0,0.0103389,1.0,1,,,15.0,,1.0,1.0,1.0,1.0,,4.0,2.0,3.0,,0.0147,,4.0,,,,,3.0,,,,,,,,,
11067496,home,Goiás,Julián Palacios,,,julian-palacios,J. Palacios,M,20,172,145,M,1005177,EUR,918086400,M,10,10,False,,18.0,14.0,2.0,2.0,2.0,17.0,,4.0,7.0,,4.0,,,,64.0,34.0,7.1,7.0,0.322519,,1,,,13.0,1.0,3.0,1.0,1.0,1.0,,4.0,1.0,2.0,,0.027,,3.0,,2.0,,1.0,1.0,,,,,,,,,
11067496,home,Goiás,Allano,,,allano,Allano,M,29,182,510,M,796925,EUR,798681600,F,77,77,False,,17.0,14.0,,4.0,5.0,12.0,1.0,4.0,4.0,,4.0,,,,72.0,27.0,6.8,7.0,0.0607973,1.0,1,,,10.0,,,3.0,2.0,,,,1.0,1.0,2.0,0.16,,,1.0,1.0,0.129,,1.0,,,,,,,,,
11067496,home,Goiás,João Magno,,,joao-magno,João Magno,F,19,195,43,M,945307,EUR,855964800,F,45,45,False,,5.0,2.0,,1.0,1.0,4.0,1.0,7.0,1.0,,1.0,,,,45.0,12.0,6.4,6.0,0.00694289,1.0,0,,,1.0,,,2.0,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,
11067496,home,Goiás,Matheus Babi,,,matheus-babi,Matheus Babi,F,17,191,465,M,1007431,EUR,869184000,F,9,9,True,,11.0,9.0,,3.0,3.0,8.0,3.0,4.0,4.0,,5.0,,,,45.0,20.0,7.3,4.0,0.00627086,,4,,,6.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,0.3672,,,3.0,,1.3454,,,1.0,,1.0,1.0,1.0,,,,
11067496,home,Goiás,Dodô,Dodô,,dodo,Dodô,M,10,170,230,M,1018871,EUR,992563200,M,95,95,True,,15.0,13.0,1.0,5.0,5.0,12.0,,3.0,2.0,,4.0,,,,26.0,23.0,6.5,6.0,0.0178469,,0,,,9.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,2.0,,,,,,,,,
11067496,home,Goiás,Raphael Guzzo,,,raphael-guzzo,R. Guzzo,M,14,180,92,M,190151,EUR,789350400,M,5,5,True,,11.0,10.0,2.0,2.0,2.0,13.0,,2.0,,1.0,1.0,,,,25.0,22.0,6.5,8.0,0.0119203,,1,,2.0,8.0,4.0,,,,1.0,1.0,,,,,0.2037,,,,,,,1.0,,,,,,,,,
11067496,home,Goiás,Vinícius,,,vinicius,Vinícius,F,7,180,199,M,124807,EUR,744336000,F,7,7,True,,6.0,3.0,2.0,,,9.0,,2.0,,,,,,,25.0,13.0,6.9,7.0,0.131393,1.0,1,,1.0,4.0,3.0,,1.0,,,,,1.0,,1.0,0.0209,,,,,,1.0,,1.0,,,,,1.0,,,
