match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_wasFouled,stat_blockedScoringAttempt,stat_wonContest,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_challengeLost,captain,stat_bigChanceCreated,stat_goals,stat_goodHighClaim,stat_hitWoodwork
10407229,home,Oud-Heverlee Leuven,Mario González,mario-gonzalez,M. González,F,20,183,212,M,847147,EUR,825206400,F,9,9,False,21.0,13.0,,,5.0,6.0,8.0,15.0,,1.0,,,90.0,29.0,7.2,11.0,2,,,,,,2.0,1.0,5.0,2.0,3.0,1.0,,,,,,,,,,1.0,2.0,,,,,,,1.0,,
10407229,home,Oud-Heverlee Leuven,Dylan Ouedraogo,dylan-ouedraogo,D. Ouedraogo,D,15,185,140,M,899011,EUR,901065600,D,15,15,True,17.0,12.0,,,9.0,12.0,3.0,5.0,,1.0,,,24.0,27.0,6.9,7.0,0,,,,,,1.0,2.0,1.0,3.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,
10407229,home,Oud-Heverlee Leuven,Joren Dom,joren-dom,J. Dom,D,,177,26,M,804233,EUR,628300800,D,6,6,True,7.0,3.0,2.0,,2.0,3.0,1.0,4.0,,,,,9.0,9.0,6.5,4.0,0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10407229,home,Oud-Heverlee Leuven,Raphael Holzhauser,raphael-holzhauser,R. Holzhauser,F,,193,127,M,95375,EUR,729820800,M,10,10,True,3.0,1.0,,,,1.0,1.0,2.0,,2.0,,,9.0,5.0,7.5,2.0,0,,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,
10407229,home,Oud-Heverlee Leuven,Mykola Kukharevych,mykola-kukharevych,M. Kukharevych,F,9,193,1642,M,1029969,EUR,993945600,F,17,17,True,4.0,1.0,,,,2.0,1.0,2.0,,,,,9.0,5.0,6.7,3.0,0,,,,,,1.0,2.0,1.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,
10407229,home,Oud-Heverlee Leuven,Nordin Jackers,nordin-jackers,N. Jackers,G,29,185,420,M,361722,EUR,873417600,G,29,29,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407229,home,Oud-Heverlee Leuven,Pierre-Yves Ngawa,pierre-yves-ngawa,P. Ngawa,D,5,187,33,M,137805,EUR,697593600,D,5,5,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407229,home,Oud-Heverlee Leuven,João Gamboa,joao-gamboa,J. Gamboa,M,5,187,92,M,794318,EUR,841449600,M,21,21,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407229,away,KV Oostende,Guillaume Hubert,guillaume-hubert,G. Hubert,G,28,198,51,M,149794,EUR,758246400,G,28,28,False,25.0,11.0,24.0,10.0,6.0,8.0,5.0,17.0,,4.0,4.0,4.0,90.0,34.0,6.7,14.0,0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,
10407229,away,KV Oostende,Fanos Katelaris,fanos-katelaris,F. Katelaris,D,23,186,70,M,282129,EUR,841017600,D,5,5,False,26.0,22.0,6.0,4.0,8.0,10.0,14.0,16.0,5.0,4.0,,,90.0,37.0,6.7,5.0,1,,,,,,1.0,1.0,2.0,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,
10407229,away,KV Oostende,Anton Tanghe,tanghe-anton,A. Tanghe,D,3,194,71,M,1005175,EUR,917481600,D,33,33,False,31.0,21.0,11.0,3.0,18.0,23.0,3.0,8.0,5.0,7.0,,,90.0,46.0,6.7,10.0,1,,,,,,1.0,,2.0,,,,7.0,,,,,,,,,,,,1.0,,1.0,True,,,,
10407229,away,KV Oostende,Osaze Urhoghide,osaze-urhoghide,O. Urhoghide,D,3,188,129,M,915129,EUR,962668800,D,2,2,False,36.0,25.0,4.0,3.0,22.0,29.0,3.0,7.0,3.0,12.0,,,90.0,50.0,6.7,13.0,0,,,,,,1.0,2.0,4.0,7.0,2.0,,2.0,2.0,2.0,,1.0,,,3.0,,,,,,,,,,,,
10407229,away,KV Oostende,Robbie D'Haese,robbie-dhaese,R. D'Haese,M,,180,35,M,889388,EUR,919900800,M,29,29,False,32.0,16.0,3.0,,3.0,7.0,13.0,26.0,1.0,3.0,,,90.0,51.0,6.3,20.0,1,Robbie,D'Haese,,1.0,,,1.0,4.0,3.0,,,,2.0,2.0,2.0,1.0,,,,,,,,1.0,,3.0,,,,,
10407229,away,KV Oostende,Alfons Amade,alfons-amade,A. Amade,M,14,172,403,M,836701,EUR,942364800,M,23,23,False,23.0,17.0,2.0,,8.0,9.0,9.0,14.0,,2.0,,,90.0,28.0,6.4,7.0,0,,,,,,1.0,,5.0,3.0,,1.0,,2.0,1.0,1.0,3.0,,,,,1.0,,,,,1.0,,,,,
10407229,away,KV Oostende,Kenny Rocha Santos,kenny-rocha-santos,K. R. Santos,M,10,174,107,M,867520,EUR,946857600,M,10,10,False,23.0,18.0,8.0,6.0,7.0,9.0,12.0,17.0,,4.0,,,74.0,31.0,6.9,8.0,0,,,,3.0,1.0,,1.0,2.0,5.0,,1.0,,4.0,4.0,,1.0,,,,,,,,,,,,,,,
10407229,away,KV Oostende,Alessandro Albanese,alessandro-albanese,A. Albanese,M,10,174,55,M,867257,EUR,947635200,M,99,99,False,33.0,24.0,5.0,1.0,14.0,19.0,11.0,18.0,2.0,14.0,,,90.0,63.0,7.3,17.0,2,,,,4.0,1.0,,,4.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,,1.0,,,2.0,,,1.0,,,,,,
10407229,away,KV Oostende,Nick Bätzner,nick-batzner,N. Bätzner,M,9,170,71,M,959635,EUR,953078400,F,34,34,False,19.0,15.0,2.0,2.0,6.0,6.0,10.0,15.0,1.0,2.0,,,59.0,29.0,7.0,7.0,3,,,,2.0,1.0,1.0,,3.0,,,1.0,,,,1.0,,2.0,1.0,,1.0,,,,2.0,,1.0,,,,,1.0
10407229,away,KV Oostende,Fraser Hornby,fraser-hornby,F. Hornby,F,9,195,394,M,914877,EUR,937180800,F,39,39,False,19.0,12.0,,,4.0,5.0,8.0,15.0,1.0,5.0,,,83.0,30.0,7.3,12.0,2,,,,1.0,,6.0,4.0,10.0,4.0,2.0,,,,,2.0,2.0,1.0,,,,,1.0,,1.0,,,,,1.0,,
10407229,away,KV Oostende,Thierry Ambrose,thierry-ambrose,T. Ambrose,F,68,178,425,M,356024,EUR,859507200,F,68,68,False,28.0,15.0,2.0,1.0,3.0,6.0,12.0,23.0,1.0,5.0,,,74.0,48.0,7.0,21.0,3,,,,1.0,,3.0,2.0,9.0,6.0,1.0,4.0,,,,2.0,2.0,3.0,,3.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0
10407229,away,KV Oostende,Tatsuhiro Sakamoto,sakamoto-tatsuhiro,T. Sakamoto,M,7,170,978,M,978927,EUR,845942400,M,18,18,True,11.0,7.0,,,3.0,3.0,5.0,9.0,,2.0,,,31.0,21.0,6.5,6.0,0,,,,1.0,1.0,,,3.0,2.0,2.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,
10407229,away,KV Oostende,Cameron McGeehan,cameron-mcgeehan,C. McGeehan,M,8,180,57,M,149817,EUR,797126400,M,8,8,True,11.0,7.0,,,3.0,3.0,4.0,8.0,,1.0,,,16.0,14.0,6.5,5.0,1,,,,,,2.0,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,
10407229,away,KV Oostende,David Atanga,david-atanga,D. Atanga,F,17,176,143,M,786187,EUR,851472000,F,77,77,True,5.0,2.0,,,,1.0,4.0,6.0,,,,,16.0,11.0,6.7,5.0,1,,,,2.0,2.0,2.0,,3.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,
10407229,away,KV Oostende,Siebe Wylin,wylin-siebe,S. Wylin,D,96,180,59,M,1146792,EUR,1053993600,D,36,36,True,11.0,6.0,1.0,1.0,2.0,2.0,4.0,9.0,,2.0,,,14.0,21.0,6.3,7.0,0,,,,,,,,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,
10407229,away,KV Oostende,Dillon Phillips,dillon-phillips,D. Phillips,G,12,188,49,M,377166,EUR,802828800,G,1,1,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407229,away,KV Oostende,Zech Medley,zech-medley,Z. Medley,D,3,195,94,M,960257,EUR,963100800,D,3,3,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407229,away,KV Oostende,Andy Musaev,andy-musayev,A. Musaev,F,33,182,22,M,1390664,EUR,1054425600,F,20,20,True,,,,,,,,,,,,,,,,,0,Andy,Musaev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
