match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_outfielderBlock,stat_totalOffside,captain,stat_aerialWon,stat_totalContest,stat_fouls,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goodHighClaim,stat_hitWoodwork,stat_accurateCross
10665994,home,Abha,Devis Epassy,,,devis-epassy,D. Epassy,G,1,187,1481,M,362758,EUR,728611200,G,16,16,False,37.0,30.0,16.0,9.0,27.0,29.0,3.0,8.0,2.0,5.0,13.0,2.0,1.0,5.0,2.0,2.0,2.0,90.0,55.0,7.9,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665994,home,Abha,Saeed Al Hamsal,,,saeed-al-hamsal,S. A. Hamsal,D,39,176,21,M,818563,EUR,829785600,D,39,39,False,26.0,22.0,3.0,2.0,12.0,15.0,10.0,12.0,3.0,5.0,4.0,1.0,,,,,,74.0,53.0,6.9,12.0,0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
10665994,home,Abha,Amine Attouchi,,,amine-attouchi,A. Atouchi,D,,186,95,M,866170,EUR,709948800,D,19,19,False,50.0,44.0,10.0,6.0,29.0,30.0,15.0,20.0,3.0,5.0,4.0,1.0,,,,,,90.0,60.0,7.2,7.0,0,,,,,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,
10665994,home,Abha,Abdullah Al-Zoari,,,abdullah-al-zoari,A. Z. Aldossary,D,,178,7,M,118137,EUR,555811200,D,3,3,False,55.0,50.0,8.0,5.0,37.0,38.0,13.0,18.0,6.0,3.0,7.0,1.0,,,,,,90.0,68.0,7.0,7.0,0,1.0,,1.0,,,1.0,1.0,1.0,,,,,True,4.0,1.0,,,,,,,,,,,,
10665994,home,Abha,Sari Amro,,,sari-amro,S. Amro,D,,178,2,,817952,EUR,627091200,D,31,31,False,37.0,29.0,4.0,1.0,13.0,16.0,16.0,24.0,3.0,,4.0,1.0,,,,,,83.0,58.0,6.3,13.0,0,3.0,2.0,7.0,,2.0,2.0,2.0,1.0,,,,,,,,3.0,,,,,,,,,,,
10665994,home,Abha,Zakaria Al-Sudani,,,zakaria-al-sudani,Z. Al-Sudani,M,,183,5,M,328851,EUR,712195200,M,21,21,False,21.0,18.0,,,11.0,12.0,7.0,9.0,3.0,1.0,3.0,,,,,,,70.0,30.0,6.8,5.0,0,,1.0,2.0,,,2.0,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,
10665994,home,Abha,Nawaf Al Sadi,Nawaf Alsadi,,nawaf-alsadi,N. A. Sadi,M,18,172,64,M,1115888,EUR,972086400,M,18,18,False,24.0,12.0,2.0,,5.0,7.0,7.0,18.0,10.0,,5.0,2.0,,,,,,90.0,46.0,7.6,17.0,3,1.0,,3.0,,,,3.0,3.0,1.0,1.0,1.0,,,,8.0,,5.0,1.0,2.0,,,,,,,,
10665994,home,Abha,Saad Bguir,Saad,Bguir,bguir-saad,S. Bguir,M,18,178,637,M,563030,EUR,764294400,M,10,10,False,35.0,26.0,5.0,4.0,5.0,5.0,21.0,37.0,2.0,,1.0,2.0,,,,,,90.0,53.0,7.3,18.0,1,7.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,
10665994,home,Abha,Uroš Matić,,,uros-matic,U. Matić,M,,185,66,M,63273,EUR,643420800,M,8,8,False,33.0,28.0,6.0,5.0,13.0,15.0,15.0,18.0,3.0,,4.0,2.0,,,,,,90.0,46.0,7.0,9.0,3,,,3.0,,2.0,,1.0,1.0,,3.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,
10665994,home,Abha,Saleh Al-Amri,,,saleh-al-amri,S. Al-Amri,M,93,176,147,M,791578,EUR,750556800,M,7,7,False,37.0,31.0,3.0,2.0,10.0,10.0,21.0,30.0,8.0,,2.0,4.0,,,,,,90.0,62.0,8.1,17.0,4,3.0,1.0,5.0,1.0,1.0,,4.0,4.0,6.0,1.0,,,,,1.0,1.0,,2.0,2.0,1.0,,1.0,,,,,
