match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_lastManTackle,stat_expectedGoals,captain,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_totalOffside,stat_bigChanceCreated,stat_goals,stat_goodHighClaim,stat_punches,stat_hitWoodwork,stat_bigChanceMissed
12448331,home,NAC Breda,Daniel Bielica,,,bielica-daniel,D. Bielica,G,99,189,296,M,939460,EUR,925430400,G,99,99,False,34.0,31.0,9.0,6.0,0.0,31.0,31.0,3.0,8.0,4.0,4.0,1.0,1.0,90.0,43.0,7.4,3.0,0.00035473,0,1.0351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448331,home,NAC Breda,Maxime Busi,,,maxime-busi,M. Busi,D,4,182,170,M,943926,EUR,939859200,D,44,44,False,37.0,27.0,7.0,3.0,0.0,12.0,13.0,28.0,10.0,,,,,90.0,60.0,7.0,17.0,0.158068,0,,18.0,4.0,3.0,3.0,2.0,6.0,6.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12448331,home,NAC Breda,Leo Greiml,,,leo-greiml,L. Greiml,D,12,186,224,M,918420,EUR,994118400,D,12,12,False,66.0,53.0,10.0,3.0,0.0,36.0,40.0,26.0,4.0,,,,,90.0,83.0,7.0,14.0,0.0692398,2,,17.0,,,8.0,8.0,10.0,10.0,1.0,,2.0,2.0,1.0,,1.0,,1.0,1.0,6.0,1.0,0.1268,,,,,,,,,,,,,,
12448331,home,NAC Breda,Jan Van den Bergh,,,jan-van-den-bergh,J. Van den Bergh,D,52,189,155,M,929498,EUR,781056000,D,5,5,False,65.0,56.0,12.0,6.0,0.0,38.0,42.0,27.0,4.0,,,,,90.0,84.0,6.7,15.0,0.239544,2,,19.0,4.0,1.0,3.0,3.0,7.0,4.0,3.0,1.0,,,,,,1.0,,1.0,2.0,,0.0832,True,1.0,1.0,1.0,1.0,0.2501,,,,,,,,
12448331,home,NAC Breda,Boy Kemper,Boy,Kemper,boy-kemper,B. Kemper,D,4,185,120,M,858242,EUR,929923200,D,4,4,False,3.0,2.0,1.0,,0.0,1.0,2.0,1.0,1.0,,,,,10.0,6.0,6.5,3.0,0.0014794,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448331,home,NAC Breda,Dominik Janošek,,,dominik-janosek,D. Janošek,M,39,183,161,M,891420,EUR,897696000,M,39,39,False,55.0,50.0,6.0,3.0,0.0,22.0,24.0,39.0,6.0,,,,,81.0,78.0,7.3,17.0,0.131189,2,,30.0,8.0,2.0,,2.0,4.0,5.0,,,2.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,,0.0379,,2.0,2.0,,,,,,,,,,,
12448331,home,NAC Breda,Maximilien Balard,Maximilien,Balard,balard-maximilien,M. Balard,M,16,178,164,M,1096511,EUR,974592000,M,16,16,False,54.0,48.0,2.0,1.0,0.0,14.0,16.0,38.0,7.0,,,,,90.0,69.0,6.9,9.0,0.0243126,0,,34.0,,,1.0,2.0,6.0,7.0,2.0,,4.0,1.0,,1.0,,,,,2.0,,,,3.0,,,,,1.0,,,,,,,
12448331,home,NAC Breda,Adam Kaied,,,adam-kaied,A. Kaied,F,18,177,5317,M,1106666,EUR,1015027200,M,14,14,False,17.0,13.0,,,0.0,5.0,6.0,11.0,3.0,,,,,64.0,37.0,6.4,10.0,0.0213025,4,,8.0,,,2.0,,11.0,6.0,3.0,,3.0,,,,1.0,,1.0,2.0,1.0,,0.2662,,1.0,8.0,3.0,1.0,0.2586,,1.0,,,,,,
12448331,home,NAC Breda,Leo Sauer,Leo Sauer,,sauer-leo,L. Sauer,M,16,184,1911,M,1150938,EUR,1134691200,M,77,77,False,29.0,26.0,1.0,,1.0,2.0,3.0,27.0,4.0,,,,,81.0,50.0,7.2,10.0,0.353609,2,,25.0,1.0,1.0,,3.0,6.0,6.0,1.0,,,,3.0,1.0,1.0,1.0,,1.0,,,0.0872,,1.0,5.0,2.0,1.0,0.0281,,,1.0,,,,,
12448331,home,NAC Breda,Sydney van Hooijdonk,Sydney,van Hooijdonk,sydney-van-hooijdonk,S. v. Hooijdonk,F,20,190,703,M,943595,EUR,949795200,F,29,29,False,18.0,11.0,,,0.0,2.0,4.0,14.0,1.0,,,,,81.0,28.0,7.2,10.0,0.146558,1,,9.0,,,3.0,4.0,5.0,7.0,,,3.0,3.0,1.0,,1.0,3.0,1.0,,,,0.0337,,,1.0,,,,,,,,,,,
