match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_wasFouled,player_firstName,player_lastName,captain,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_ownGoals,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_outfielderBlock,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_punches,stat_errorLeadToAShot
12499786,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,27.0,22.0,10.0,5.0,0.0,21.0,24.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,90.0,30.0,6.3,5.0,0.00062302,1.0,0,-1.6516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499786,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,D,26,26,False,84.0,74.0,7.0,2.0,0.0,39.0,40.0,37.0,49.0,1.0,6.0,,,,89.0,107.0,6.9,14.0,0.191036,2.0,0,,5.0,2.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
12499786,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,D,23,23,False,102.0,97.0,12.0,8.0,0.0,64.0,65.0,33.0,37.0,3.0,8.0,,,,90.0,113.0,7.0,6.0,0.0346838,,0,,,,2.0,5.0,5.0,,,,1.0,2.0,,,True,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,
12499786,home,Borussia Dortmund,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,,799046,EUR,837820800,D,3,3,False,97.0,87.0,6.0,2.0,0.0,66.0,68.0,21.0,29.0,1.0,6.0,,,,90.0,106.0,6.3,13.0,0.250101,,0,,,,,3.0,3.0,1.0,,,,,,,,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
12499786,home,Borussia Dortmund,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29068,M,rbens,577726,EUR,797990400,D,5,5,False,58.0,56.0,2.0,1.0,0.0,24.0,25.0,32.0,35.0,2.0,4.0,,,,85.0,79.0,6.4,7.0,0.0438766,,2,,2.0,,1.0,5.0,2.0,2.0,,,,2.0,,,,,,1.0,,,,2.0,1.0,1.0,0.2026,,,,,,,,,,,
12499786,home,Borussia Dortmund,Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,177,8484,M,marcel7sabitzer,133908,EUR,763862400,M,20,20,False,48.0,44.0,4.0,1.0,0.0,17.0,18.0,28.0,31.0,3.0,3.0,,,,90.0,57.0,6.9,5.0,0.0662523,2.0,0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,
12499786,home,Borussia Dortmund,Pascal Groß,pascal-gross,P. Groß,M,30,181,4705,M,pascalgross65,48480,EUR,676944000,M,13,13,False,47.0,38.0,2.0,,1.0,21.0,24.0,19.0,35.0,,1.0,,,,85.0,64.0,6.8,21.0,0.144624,2.0,0,,12.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,
12499786,home,Borussia Dortmund,Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,177,17028,M,karim_adeyemi,940054,EUR,1011312000,M,27,27,False,24.0,18.0,1.0,1.0,0.0,9.0,12.0,9.0,14.0,,4.0,,,,71.0,39.0,6.2,13.0,0.00537786,,3,,2.0,,,8.0,4.0,5.0,1.0,,,2.0,,,,,,1.0,3.0,1.0,,1.0,2.0,,0.731,,1.0,1.0,0.6511,,,,,,,
12499786,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,10,10,False,36.0,33.0,,,0.0,11.0,11.0,22.0,27.0,,3.0,,,,90.0,50.0,7.2,10.0,0.0441838,2.0,3,,2.0,,1.0,4.0,,2.0,,,1.0,,,,,,,2.0,,,,,2.0,,0.1119,,,1.0,0.2597,1.0,1.0,1.0,,,,
12499786,home,Borussia Dortmund,Jamie Gittens,jamie-bynoe-gittens,J. Gittens,M,11,178,23992,M,jbgittens,1140599,EUR,1091923200,M,43,43,False,23.0,19.0,1.0,1.0,0.0,6.0,6.0,13.0,20.0,,4.0,,,,85.0,50.0,7.7,14.0,0.0313569,,6,,3.0,,1.0,4.0,7.0,5.0,4.0,,,2.0,,,,1.0,1.0,4.0,1.0,,,,1.0,2.0,0.207,,,3.0,0.3088,1.0,,,1.0,,,
