match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_keyPass,stat_wonTackle,stat_wasFouled,stat_lastManTackle,captain,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_penaltyConceded,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_blockedScoringAttempt,stat_penaltyWon,stat_hitWoodwork,player_sofascoreId
12528079,home,Çaykur Rizespor,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1121,M,283847,EUR,821923200,G,30,30,False,34.0,14.0,28.0,8.0,0.0,9.0,10.0,5.0,24.0,1.0,5.0,2.0,1.0,2.0,1.0,90.0,37.0,6.3,20.0,0.00097153,0,-1.1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528079,home,Çaykur Rizespor,Taha Şahin,Taha Sahin,,taha-sahin,T. Şahin,D,37,178,238,M,1394729,EUR,972172800,D,37,37,False,45.0,27.0,9.0,1.0,1.0,9.0,14.0,20.0,38.0,6.0,7.0,,,,,90.0,81.0,6.8,26.0,0.0752949,0,,7.0,2.0,2.0,2.0,6.0,5.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12528079,home,Çaykur Rizespor,Attila Mocsi,,,attila-mocsi,A. Mocsi,D,4,188,454,M,889382,EUR,959558400,D,4,4,False,31.0,25.0,6.0,1.0,0.0,17.0,18.0,8.0,13.0,7.0,3.0,,,,,90.0,46.0,6.6,6.0,0.00263751,0,,,,1.0,1.0,2.0,5.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
12528079,home,Çaykur Rizespor,Samet Akaydın,,,samet-akaydin,S. Akaydın,D,3,190,969,M,863600,EUR,763516800,D,3,3,False,23.0,15.0,6.0,1.0,0.0,10.0,13.0,5.0,10.0,8.0,1.0,,,,,90.0,42.0,6.9,8.0,0.002541,0,,,,3.0,3.0,3.0,6.0,,,,1.0,5.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
12528079,home,Çaykur Rizespor,Casper Højer,,,casper-hojer,C. Højer,D,5,183,148,M,281233,EUR,785289600,D,5,5,False,33.0,22.0,9.0,4.0,0.0,10.0,17.0,12.0,17.0,2.0,10.0,,,,,90.0,52.0,6.9,12.0,0.0281805,2,,1.0,,,,3.0,6.0,,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,,True,2.0,1.0,1.0,1.0,1.0,0.1428,0.2987,,,,,,,,
12528079,home,Çaykur Rizespor,Dal Varešanović,,,dal-varesanovic,D. Varešanović,M,53,177,341,M,979109,EUR,990576000,M,8,8,False,14.0,11.0,2.0,,0.0,5.0,6.0,6.0,8.0,1.0,3.0,,,,,55.0,23.0,6.5,5.0,0.00628911,0,,,,2.0,,4.0,6.0,,1.0,1.0,,,3.0,,,2.0,2.0,,,2.0,,,,,,,2.0,,,,,,,
12528079,home,Çaykur Rizespor,Mithat Pala,,,mithat-pala,M. Pala,D,54,172,57,M,1016393,EUR,966297600,M,54,54,False,19.0,12.0,6.0,3.0,0.0,7.0,10.0,5.0,9.0,1.0,2.0,,,,,80.0,29.0,6.3,9.0,0.00800653,0,,,,1.0,3.0,5.0,5.0,,1.0,,,4.0,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,
12528079,home,Çaykur Rizespor,Abdülkadir Ömür,,,abdulkadir-omur,A. Ömür,M,10,168,642,M,826155,EUR,930268800,M,7,7,False,14.0,12.0,1.0,1.0,0.0,4.0,4.0,8.0,10.0,,1.0,,,,,45.0,23.0,6.6,4.0,0.00622981,0,,,,3.0,1.0,7.0,3.0,2.0,,,,,2.0,,1.0,2.0,,,,2.0,,,,,,,,1.0,,,,,,
12528079,home,Çaykur Rizespor,Ibrahim Olawoyin,,,ibrahim-olawoyin,I. Olawoyin,M,10,178,461,M,1008173,EUR,880934400,M,10,10,False,31.0,16.0,2.0,1.0,1.0,3.0,7.0,13.0,24.0,2.0,3.0,,,,,90.0,44.0,8.3,15.0,0.0129493,2,,,,7.0,3.0,11.0,7.0,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,,,1.0,,2.0,1.0,,0.1559,0.4118,,1.0,,,,,,
12528079,home,Çaykur Rizespor,Babajide David Akintola,,,babajide-david-akintola,D. Babajide,M,11,178,297,M,798676,EUR,821491200,M,28,28,False,15.0,10.0,2.0,1.0,0.0,4.0,4.0,6.0,12.0,,3.0,,,,,89.0,28.0,7.3,8.0,0.0197562,2,,1.0,,5.0,1.0,8.0,5.0,,2.0,2.0,,,2.0,3.0,,,,,,1.0,1.0,1.0,1.0,,0.9457,0.2063,2.0,,1.0,,,,,
12528079,home,Çaykur Rizespor,Ali Sowe,,,ali-sowe,A. Sowe,F,9,186,1037,M,238394,EUR,771552000,F,9,9,False,18.0,16.0,1.0,1.0,1.0,6.0,7.0,10.0,11.0,,2.0,,,,,89.0,30.0,7.9,7.0,0.065313,1,,,,6.0,4.0,9.0,7.0,1.0,,,,,,1.0,2.0,,3.0,,,1.0,,1.0,1.0,,0.3964,0.2094,3.0,,,,,,,
12528079,home,Çaykur Rizespor,Altin Zeqiri,,,zeqiri-altin,A. Zeqiri,M,77,185,141,M,991742,EUR,963878400,M,77,77,True,10.0,7.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,3.0,,,,,45.0,22.0,10.0,5.0,0.0362939,3,,,,,,,4.0,,2.0,2.0,,,,,4.0,,2.0,,,,,3.0,2.0,,0.3324,1.0568,2.0,2.0,,,,,,
12528079,home,Çaykur Rizespor,Husniddin Alikulov,,,alikulov-husniddin,H. Alikulov,D,2,186,2627,M,1121174,EUR,923184000,D,2,2,True,7.0,3.0,2.0,,0.0,2.0,4.0,1.0,3.0,3.0,,,,,,35.0,13.0,6.4,5.0,0.00016053,1,,,,,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,0.0267,,,,,,,,,
