match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_wonTackle,stat_penaltyConceded,stat_challengeLost,stat_blockedScoringAttempt,stat_dispossessed,stat_shotOffTarget,stat_totalOffside,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_goals,stat_hitWoodwork,stat_errorLeadToAShot,stat_goodHighClaim,stat_penaltyWon,player_sofascoreId,stat_penaltyMiss
11451048,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187,289,M,190179,EUR,806803200,G,1,1,False,18.0,7.0,15.0,4.0,5.0,10.0,2.0,8.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,90.0,26.0,7.1,11.0,0.00040113,0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451048,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178,204,M,140735,EUR,684028800,D,18,18,False,19.0,11.0,4.0,1.0,6.0,8.0,7.0,20.0,6.0,,,,,,,70.0,42.0,7.2,19.0,0.284637,0,,True,1.0,9.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451048,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185,293,M,187231,EUR,817862400,D,37,37,False,28.0,21.0,8.0,3.0,19.0,23.0,2.0,5.0,2.0,,,,,,,90.0,35.0,6.4,7.0,0.0258902,0,,,,,,1.0,1.0,,1.0,,,,,2.0,3.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11451048,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185,366,M,803023,EUR,914112000,D,4,4,False,24.0,19.0,6.0,4.0,11.0,14.0,8.0,10.0,1.0,,,,,,,87.0,37.0,7.2,5.0,0.00601358,2,,,,,,2.0,3.0,,,1.0,,,,2.0,3.0,5.0,1.0,1.0,1.0,2.0,0.189,0.3922,,,,,,,,,,,,,,,,,,,
11451048,home,Samsunspor,Soner Gönül,soner-gonul,S. Gönül,D,28,177,50,M,867727,EUR,865987200,D,28,28,False,24.0,12.0,10.0,3.0,7.0,10.0,5.0,15.0,8.0,,,,,,,90.0,47.0,6.4,19.0,0.00342061,0,,,,1.0,,1.0,2.0,,4.0,1.0,1.0,,,1.0,2.0,4.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
11451048,home,Samsunspor,Youssef Aït Bennasser,youssef-ait-bennasser,Y. A. Bennasser,M,15,184,425,M,802850,EUR,836697600,M,6,6,False,13.0,8.0,1.0,,4.0,7.0,4.0,6.0,4.0,,,,,,,35.0,16.0,6.5,6.0,0.00243299,0,,,,,,,2.0,,,2.0,,,,1.0,3.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,
11451048,home,Samsunspor,Taylan Antalyalı,taylan-antalyali,T. Antalyalı,M,14,180,286,M,190197,EUR,789523200,M,48,48,False,26.0,22.0,3.0,3.0,8.0,8.0,14.0,18.0,8.0,,,,,,,90.0,44.0,7.1,6.0,0.0345202,1,,,,,,1.0,7.0,,4.0,3.0,2.0,4.0,,3.0,5.0,,1.0,,,,0.0099,,,,2.0,,2.0,1.0,,,,,,,,,,,,,
11451048,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177,633,M,837012,EUR,928281600,M,21,21,False,34.0,20.0,3.0,,11.0,14.0,9.0,20.0,5.0,,,,,,,90.0,49.0,6.8,15.0,0.00568529,2,,,,,,2.0,7.0,,,4.0,,1.0,1.0,2.0,6.0,3.0,,2.0,1.0,1.0,0.1483,0.7836,,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,
11451048,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180,801,M,352676,EUR,823824000,M,10,10,False,25.0,19.0,4.0,2.0,6.0,8.0,13.0,18.0,4.0,,,,,,,90.0,47.0,5.9,18.0,0.0420681,4,,,,1.0,,,1.0,,,,5.0,,1.0,3.0,13.0,,,4.0,1.0,,0.3492,,,,,,1.0,3.0,4.0,1.0,,2.0,1.0,,,,,,,,
11451048,home,Samsunspor,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174,320,M,202032,EUR,777600000,M,11,11,False,20.0,14.0,3.0,2.0,3.0,3.0,13.0,22.0,8.0,,,,,,,90.0,43.0,8.0,15.0,0.305989,1,,,,5.0,2.0,,5.0,2.0,1.0,3.0,3.0,1.0,5.0,3.0,8.0,,1.0,3.0,,,0.0543,,,,2.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,,,,,,,
