match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wonTackle,stat_interceptionWon,stat_ownGoals,stat_fouls,stat_totalOffside,captain,stat_bigChanceMissed,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_clearanceOffLine,stat_hitWoodwork
11352338,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,1,1,False,52.0,40.0,19.0,8.0,38.0,43.0,2.0,9.0,8.0,3.0,3.0,2.0,2.0,90.0,61.0,6.5,12.0,0.00045249,0,-0.3378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352338,home,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185,9380,M,mattycash622,833956,EUR,870912000,D,2,2,False,50.0,40.0,4.0,1.0,18.0,21.0,22.0,34.0,7.0,,,,,90.0,82.0,6.4,21.0,0.0215058,2,,5.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,0.1155,0.1774,,,,,,,,,,,,,,,,,,,,,,,,
11352338,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3197,M,,827679,EUR,877564800,D,4,4,False,75.0,70.0,3.0,1.0,46.0,48.0,24.0,27.0,5.0,,,,,90.0,81.0,6.6,6.0,0.0103633,0,,,,,,2.0,,1.0,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11352338,home,Aston Villa,Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,7982,M,clement_lenglet,580550,EUR,803347200,D,17,17,False,60.0,54.0,9.0,7.0,42.0,48.0,12.0,12.0,5.0,,,,,90.0,72.0,7.2,6.0,0.0054318,2,,,,2.0,1.0,6.0,,,,3.0,2.0,0.2406,,,,,3.0,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
11352338,home,Aston Villa,Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1206,M,,294593,EUR,739497600,D,15,15,False,40.0,35.0,,,17.0,20.0,18.0,25.0,4.0,,,,,90.0,66.0,6.3,12.0,0.0271972,0,,5.0,2.0,,4.0,4.0,,3.0,,3.0,1.0,,,,,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
11352338,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175,3895,M,,250223,EUR,782438400,M,7,7,False,70.0,61.0,6.0,4.0,11.0,13.0,50.0,59.0,7.0,,,,,90.0,86.0,6.9,15.0,0.0633877,2,,2.0,1.0,1.0,8.0,6.0,2.0,1.0,1.0,,2.0,0.1788,0.0563,,,1.0,,2.0,2.0,,2.0,1.0,,2.0,1.0,,3.0,,True,1.0,,,,,,,
11352338,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3386,M,,826204,EUR,943315200,M,44,44,False,33.0,28.0,1.0,,11.0,12.0,17.0,21.0,2.0,,,,,63.0,41.0,6.1,9.0,0.016782,0,,,3.0,1.0,10.0,3.0,1.0,,,,1.0,,,,,,,3.0,1.0,,1.0,,,1.0,,,5.0,,,,,,,,,,
11352338,home,Aston Villa,Douglas Luiz,douglas-luiz,D. Luiz,M,21,175,11801,M,Douglas_Luiz,867887,EUR,894672000,M,6,6,False,99.0,94.0,4.0,2.0,38.0,38.0,59.0,66.0,5.0,,,,,90.0,111.0,7.4,9.0,0.763784,0,,5.0,,,2.0,,2.0,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,3.0,1.0,,,,,
11352338,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9789,M,youritielemans,331737,EUR,862963200,M,8,8,False,26.0,23.0,2.0,1.0,6.0,7.0,17.0,19.0,4.0,,,,,63.0,35.0,6.8,7.0,0.391385,0,,,,,3.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,
11352338,home,Aston Villa,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7575,M,moussadiaby,855817,EUR,931305600,F,19,19,False,14.0,10.0,,,7.0,9.0,3.0,5.0,1.0,,,,,62.0,19.0,6.3,6.0,0.128651,1,,,2.0,,4.0,1.0,1.0,1.0,1.0,,1.0,0.2919,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
