match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_wonTackle,stat_aerialLost,stat_hitWoodwork,stat_totalCross,stat_accurateCross,stat_totalContest,stat_totalOffside,player_firstName,player_lastName,stat_wonContest,stat_bigChanceCreated,player_sofascoreId,stat_blockedScoringAttempt,stat_goodHighClaim,stat_punches
10381988,home,Feyenoord,Justin Bijlow,bijlow-justin,J. Bijlow,G,16,190,1386,M,556696,EUR,885427200,G,1,1,False,20.0,19.0,4.0,3.0,18.0,18.0,1.0,2.0,10.0,2.0,3.0,90.0,29.0,7.4,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10381988,home,Feyenoord,Lutsharel Geertruida,lutsharel-geertruida,L. Geertruida,D,6,185,2489,M,856739,EUR,963878400,D,3,3,False,97.0,90.0,2.0,,23.0,23.0,67.0,74.0,8.0,,,90.0,109.0,7.6,10.0,1,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
10381988,home,Feyenoord,Gernot Trauner,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,93.0,86.0,8.0,7.0,29.0,31.0,57.0,62.0,11.0,,,90.0,109.0,7.6,9.0,2,3.0,9.0,1.0,,2.0,1.0,,,1.0,True,7.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,
10381988,home,Feyenoord,Jacob Rasmussen,jacob-rasmussen,J. Rasmussen,D,14,190,358,M,842176,EUR,864777600,D,6,6,False,94.0,87.0,3.0,2.0,43.0,46.0,44.0,48.0,6.0,,,90.0,107.0,7.5,9.0,1,1.0,5.0,,,,2.0,1.0,,1.0,,4.0,,,,1.0,4.0,1.0,,1.0,1.0,,,,,,,,,,,,
10381988,home,Feyenoord,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178,655,M,934409,EUR,963705600,D,2,2,False,62.0,60.0,1.0,1.0,25.0,25.0,36.0,40.0,3.0,,,85.0,81.0,6.5,7.0,2,4.0,1.0,1.0,,1.0,1.0,,1.0,,,,2.0,,1.0,1.0,3.0,,,,,3.0,1.0,1.0,1.0,,,,,,,,
10381988,home,Feyenoord,Quinten Timber,quinten-timber,Q. Timber,M,27,177,8611,M,959805,EUR,992736000,M,27,27,False,40.0,32.0,1.0,,8.0,9.0,24.0,31.0,5.0,,,85.0,53.0,6.9,11.0,1,4.0,5.0,1.0,,,1.0,2.0,2.0,,,1.0,,,,,,1.0,,,,,,4.0,,,,2.0,,,,,
10381988,home,Feyenoord,Fredrik Aursnes,fredrik-aursnes,F. Aursnes,M,8,179,4009,M,228364,EUR,818553600,M,8,8,False,93.0,84.0,11.0,9.0,16.0,17.0,69.0,80.0,4.0,,,90.0,104.0,7.9,13.0,1,4.0,2.0,,1.0,,1.0,,1.0,4.0,,2.0,,,,1.0,,,,3.0,,4.0,1.0,,,,,,1.0,,,,
10381988,home,Feyenoord,Javairô Dilrosun,javairo-dilrosun,J. Dilrosun,F,24,175,728,M,803028,EUR,898473600,M,11,11,False,50.0,44.0,5.0,3.0,13.0,14.0,32.0,41.0,4.0,,,90.0,83.0,7.4,20.0,3,5.0,6.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,,1.0,,,,,,5.0,1.0,7.0,,,,3.0,1.0,,,,
10381988,home,Feyenoord,Sebastian Szymański,sebastian-szymanski,S. Szymański,M,17,174,10886,M,847983,EUR,926294400,M,17,17,False,33.0,27.0,4.0,3.0,4.0,4.0,23.0,31.0,3.0,,,63.0,49.0,6.9,15.0,2,6.0,4.0,2.0,,2.0,3.0,,1.0,1.0,,,2.0,3.0,,,,,1.0,,,2.0,,2.0,,,,2.0,,szymanski_11,,,
10381988,home,Feyenoord,Patrik Wålemark,patrik-walemark,P. Wålemark,M,10,184,585,M,1014588,EUR,1003017600,M,23,23,False,19.0,14.0,1.0,,1.0,1.0,14.0,22.0,,,,63.0,28.0,6.6,11.0,0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,1.0,,,4.0,1.0,1.0,,,,,,,,,
