match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,stat_blockedScoringAttempt,stat_shotOffTarget,stat_goodHighClaim,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed
11523752,home,Tranmere Rovers,Joe Murphy,Joe,Murphy,joe-murphy,J. Murphy,G,13,188.0,22,M,1051,EUR,367200000.0,G,13,13,False,34.0,27.0,17.0,10.0,22.0,23.0,5.0,11.0,7.0,1.0,90.0,41.0,6.7,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11523752,home,Tranmere Rovers,Josef Yarney,Josef,Yarney,josef-yarney,J. Yarney,D,24,183.0,15,M,886910,EUR,876268800.0,D,21,21,False,24.0,18.0,2.0,1.0,15.0,16.0,4.0,10.0,4.0,,90.0,56.0,6.6,12.0,0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11523752,home,Tranmere Rovers,Tom Davies,,,tom-davies,T. Davies,D,5,180.0,11,M,582210,EUR,703555200.0,D,5,5,False,46.0,35.0,8.0,6.0,24.0,29.0,11.0,17.0,4.0,,90.0,65.0,7.1,12.0,0,,,1.0,3.0,4.0,4.0,1.0,10.0,2.0,1.0,1.0,1.0,,2.0,,True,2.0,,,,,,,,,,,,,
11523752,home,Tranmere Rovers,Jordan Turnbull,Jordan,Turnbull,jordan-turnbull,J. Turnbull,D,4,185.0,15,M,329433,EUR,783475200.0,D,6,6,False,33.0,26.0,3.0,1.0,22.0,24.0,4.0,9.0,3.0,,90.0,49.0,7.0,10.0,0,,,,2.0,,4.0,,5.0,2.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,
11523752,home,Tranmere Rovers,Dan Pike,,,dan-pike,D. Pike,D,,175.0,8,M,1014214,EUR,1010534400.0,D,24,24,False,22.0,14.0,7.0,2.0,9.0,11.0,5.0,12.0,3.0,,90.0,49.0,6.4,19.0,1,1.0,,,,3.0,4.0,,6.0,,4.0,2.0,3.0,,1.0,,,,,,2.0,1.0,,,,,,,,,
11523752,home,Tranmere Rovers,Kieron Morris,,,kieron-morris,K. Morris,M,28,178.0,9,M,254807,EUR,770601600.0,M,7,7,False,31.0,21.0,2.0,,15.0,20.0,6.0,11.0,7.0,,77.0,54.0,6.4,17.0,1,,,1.0,,7.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,
11523752,home,Tranmere Rovers,Chris Merrie,Chris,Merrie,chris-merrie,C. Merrie,M,6,175.0,4,M,892370,EUR,909964800.0,M,16,16,False,36.0,31.0,3.0,2.0,18.0,21.0,14.0,16.0,9.0,,90.0,53.0,7.4,5.0,1,1.0,1.0,2.0,,3.0,10.0,,2.0,2.0,5.0,3.0,,4.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,
11523752,home,Tranmere Rovers,Regan Hendry,,,regan-hendry,R. Hendry,M,24,176.0,27,M,847122,EUR,885340800.0,M,8,8,False,31.0,27.0,3.0,3.0,17.0,18.0,11.0,16.0,7.0,,84.0,38.0,6.3,8.0,1,3.0,1.0,,,4.0,,2.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,
11523752,home,Tranmere Rovers,Sam Taylor,,,taylor-sam,S. Taylor,F,32,178.0,28,M,1632551,EUR,1072137600.0,F,20,20,False,16.0,14.0,1.0,,7.0,8.0,7.0,8.0,4.0,,76.0,26.0,6.7,7.0,0,,,1.0,,4.0,3.0,,,1.0,2.0,2.0,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,
11523752,home,Tranmere Rovers,Connor Jennings,Connor,Jennings,connor-jennings,C. Jennings,F,18,183.0,32,M,215976,EUR,688694400.0,F,18,18,False,40.0,27.0,3.0,3.0,9.0,12.0,18.0,28.0,3.0,,90.0,57.0,7.4,17.0,1,,,1.0,3.0,5.0,9.0,,3.0,1.0,2.0,,3.0,2.0,3.0,4.0,,,3.0,2.0,,,1.0,,1.0,,,,,,
11523752,home,Tranmere Rovers,Josh Hawkes,,,josh-hawkes,J. Hawkes,M,21,180.0,15,M,871825,EUR,917481600.0,F,11,11,False,16.0,10.0,1.0,,4.0,5.0,6.0,14.0,3.0,,86.0,27.0,6.5,12.0,2,3.0,,,,7.0,2.0,3.0,,,2.0,2.0,1.0,,2.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,
11523752,home,Tranmere Rovers,Charlie Jolley,,,charlie-jolley,C. Jolley,F,9,177.0,6,M,982584,EUR,979344000.0,F,12,12,True,1.0,1.0,,,,,1.0,1.0,,,14.0,4.0,6.5,1.0,1,,,,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,
11523752,home,Tranmere Rovers,Kane Hemmings,,,kane-hemmings,K. Hemmings,F,15,185.0,27,M,148560,EUR,671068800.0,F,10,10,True,6.0,3.0,1.0,,,1.0,3.0,5.0,1.0,,13.0,9.0,6.6,4.0,0,,,1.0,,2.0,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,
11523752,home,Tranmere Rovers,Kristian Dennis,,,kristian-dennis,K. Dennis,F,9,180.0,30,M,32130,EUR,637200000.0,F,14,14,True,4.0,4.0,,,1.0,1.0,3.0,3.0,2.0,,12.0,7.0,6.7,,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11523752,home,Tranmere Rovers,Reece McAlear,,,reece-mcalear,R. McAlear,M,42,185.0,12,M,944183,EUR,1013472000.0,M,23,23,True,8.0,6.0,,,4.0,5.0,2.0,3.0,1.0,,10.0,15.0,7.0,3.0,1,,,,,,3.0,,,,2.0,2.0,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,
11523752,home,Tranmere Rovers,Luke McGee,,,luke-mcgee,L. McGee,G,1,188.0,20,M,769785,EUR,810000000.0,G,1,1,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11523752,home,Tranmere Rovers,Mikey Davies,Mikey Davies,,mikey-davies,M. Davies,D,28,,2,M,1518150,EUR,,D,28,28,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11523752,home,Tranmere Rovers,Brad Walker,,,brad-walker,B. Walker,M,38,186.0,4,M,314378,EUR,798768000.0,M,4,4,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11523752,home,Tranmere Rovers,Paul Lewis,Paul,Lewis,paul-lewis,P. Lewis,M,17,185.0,9,M,334511,EUR,787622400.0,M,22,22,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11523752,home,Tranmere Rovers,Rhys Hughes,,,rhys-hughes,R. Hughes,M,17,,139,M,1005895,EUR,1001030400.0,M,17,17,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11523752,away,Leicester City,Jakub Stolarczyk,,,jakub-stolarczyk,J. Stolarczyk,G,1,194.0,1023,M,997830,EUR,977184000.0,G,41,41,False,49.0,43.0,11.0,5.0,41.0,45.0,2.0,4.0,8.0,3.0,90.0,59.0,7.4,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
11523752,away,Leicester City,James Justin,,,james-justin,J. Justin,D,24,183.0,1172,M,827681,EUR,888192000.0,D,2,2,False,74.0,70.0,1.0,,31.0,32.0,39.0,43.0,2.0,,82.0,87.0,6.9,5.0,0,1.0,,1.0,,4.0,2.0,2.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
11523752,away,Leicester City,Wout Faes,,,wout-faes,W. Faes,D,25,185.0,1764,M,361696,EUR,891561600.0,D,3,3,False,130.0,127.0,6.0,6.0,74.0,76.0,53.0,54.0,8.0,,90.0,139.0,7.4,5.0,1,,,,,3.0,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,2.0,,,,1.0,,,,,,
11523752,away,Leicester City,Callum Doyle,Callum Doyle,,callum-doyle,C. Doyle,D,2,185.0,1051,M,1090508,EUR,1065139200.0,D,5,5,False,95.0,83.0,13.0,6.0,41.0,45.0,42.0,52.0,7.0,,90.0,109.0,7.0,17.0,0,2.0,,3.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,
11523752,away,Leicester City,Harry Winks,,,harry-winks,H. Winks,M,8,178.0,1217,M,545780,EUR,823219200.0,M,8,8,False,51.0,47.0,3.0,2.0,22.0,22.0,25.0,29.0,3.0,,45.0,60.0,6.9,8.0,1,,,,,2.0,2.0,,,,,,1.0,1.0,,,,,1.0,1.0,2.0,,,,1.0,,,,,,
11523752,away,Leicester City,Hamza Choudhury,,,hamza-choudhury,H. Choudhury,M,17,178.0,85684,M,833057,EUR,875664000.0,M,17,17,False,80.0,71.0,3.0,2.0,43.0,46.0,28.0,34.0,5.0,,90.0,104.0,7.5,13.0,0,,,,2.0,2.0,7.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,,,,1.0,1.0,,,,,,,,HChoudhury,,,,
11523752,away,Leicester City,Marc Albrighton,,,marc-albrighton,M. Albrighton,M,,175.0,230,M,47737,EUR,627350400.0,F,11,11,False,26.0,24.0,3.0,3.0,3.0,3.0,23.0,37.0,4.0,,45.0,49.0,7.5,17.0,0,14.0,2.0,,,3.0,5.0,1.0,,,2.0,2.0,1.0,1.0,,1.0,,1.0,4.0,2.0,,,,,,,,,,,
11523752,away,Leicester City,Cesare Casadei,,,cesare-casadei,C. Casadei,M,22,192.0,6525,M,1016788,EUR,1042156800.0,M,7,7,False,56.0,43.0,2.0,2.0,13.0,14.0,30.0,43.0,7.0,,90.0,74.0,7.4,18.0,2,1.0,,,2.0,3.0,6.0,,2.0,2.0,,,2.0,2.0,1.0,1.0,,,2.0,2.0,2.0,,,1.0,1.0,,cesarecasadei,1.0,,,
11523752,away,Leicester City,Kiernan Dewsbury-Hall,,,dewsbury-hall-kiernan,K. Dewsbury-Hall,M,22,178.0,10585,M,861970,EUR,905040000.0,M,22,22,False,25.0,16.0,3.0,,3.0,3.0,13.0,24.0,1.0,,45.0,30.0,6.8,12.0,1,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,kdh_8,,,,
