match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_outfielderBlock,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_unsuccessfulTouch,stat_keyPass,stat_onTargetScoringAttempt,stat_clearanceOffLine,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_bigChanceCreated,captain,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox
11450154,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,26.0,16.0,11.0,3.0,0.0,14.0,16.0,2.0,10.0,2.0,9.0,1.0,2.0,2.0,1.0,1.0,90.0,37.0,6.8,10.0,0.00047874,0,-0.1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450154,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,37.0,33.0,3.0,1.0,0.0,12.0,12.0,21.0,26.0,,5.0,,,,,,90.0,59.0,6.9,8.0,0.0587347,2,,1.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0596,,,,,,,,,,,,,,,,,
11450154,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,2,2,False,68.0,54.0,11.0,4.0,0.0,34.0,38.0,20.0,30.0,2.0,4.0,,,,,,90.0,76.0,6.9,14.0,0.0115107,0,,,2.0,4.0,5.0,2.0,,,,1.0,,,,,,5.0,2.0,,,,,,,,,,,,,,,
11450154,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,46.0,40.0,7.0,4.0,0.0,26.0,28.0,14.0,18.0,5.0,1.0,,,,,,90.0,62.0,7.3,6.0,0.00482295,0,,,,3.0,2.0,,,,,2.0,1.0,1.0,,3.0,,1.0,4.0,,,,,,,,,,,,,,,
11450154,home,Alanyaspor,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185,292,M,171625,EUR,779068800,D,29,29,False,36.0,28.0,5.0,1.0,0.0,13.0,14.0,19.0,28.0,1.0,2.0,,,,,,90.0,63.0,6.7,15.0,0.240905,0,,6.0,,3.0,3.0,1.0,2.0,,,,2.0,,,,,,,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,
11450154,home,Alanyaspor,Leroy Fer,,,leroy-fer,L. Fer,M,8,188,136,M,31821,EUR,631497600,M,8,8,False,57.0,49.0,2.0,1.0,0.0,27.0,27.0,22.0,31.0,4.0,14.0,,,,,,90.0,80.0,8.2,11.0,0.0353242,2,,1.0,,2.0,9.0,1.0,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,0.1013,4.0,1.0,,,1.0,2.0,,1.0,1.0,0.175,,,,,,,
11450154,home,Alanyaspor,João Novais,,,joao-novais,J. Novais,M,7,183,160,M,233370,EUR,742262400,M,10,10,False,45.0,43.0,,,0.0,19.0,19.0,24.0,29.0,1.0,6.0,,,,,,89.0,57.0,6.7,5.0,0.0484644,6,,3.0,,2.0,,1.0,,3.0,2.0,,,,,1.0,0.2459,,,,,,,1.0,1.0,,0.1801,1.0,,,,,,
11450154,home,Alanyaspor,Oğuz Aydın,,,oguz-aydin,O. Aydın,M,70,183,3374,M,999396,EUR,972604800,M,11,11,False,40.0,29.0,5.0,4.0,1.0,7.0,8.0,23.0,42.0,,6.0,,,,,,90.0,75.0,7.7,29.0,0.268355,5,,10.0,3.0,7.0,5.0,,4.0,2.0,1.0,,,,3.0,1.0,1.1181,,,1.0,1.0,2.0,5.0,5.0,2.0,,1.9103,2.0,1.0,,,,,
11450154,home,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,47.0,39.0,1.0,,0.0,14.0,16.0,26.0,32.0,1.0,2.0,,,,,,89.0,68.0,7.6,16.0,0.21953,3,,1.0,,5.0,8.0,,3.0,2.0,,,2.0,1.0,2.0,2.0,0.573,3.0,,1.0,1.0,1.0,3.0,2.0,1.0,,0.0556,1.0,,True,1.0,1.0,,
11450154,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,M,88,88,False,11.0,10.0,1.0,,0.0,3.0,3.0,8.0,10.0,,1.0,,,,,,64.0,19.0,6.7,6.0,0.0746429,0,,2.0,,,,,,,,,,,,,,,,1.0,,,4.0,1.0,,,,,,,,,2.0,
