match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_outfielderBlock,stat_challengeLost,stat_shotOffTarget,stat_errorLeadToAShot,stat_expectedGoals,stat_dispossessed,stat_accurateCross,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_punches
12450957,home,Saint-Étienne,Gautier Larsonneur,,,gautier-larsonneur,G. Larsonneur,G,30,181.0,266,M,810526,EUR,856656000,G,30,30,False,True,19.0,16.0,4.0,2.0,0.0,15.0,16.0,1.0,3.0,1.0,12.0,2.0,3.0,3.0,3.0,90.0,33.0,6.9,3.0,0.00114397,0,-0.1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450957,home,Saint-Étienne,Dennis Appiah,,,dennis-appiah,D. Appiah,D,8,179.0,168,M,123164,EUR,708048000,D,8,8,False,,72.0,53.0,6.0,,0.0,18.0,22.0,35.0,55.0,2.0,3.0,,,,,90.0,105.0,6.4,27.0,0.0367465,0,,5.0,3.0,3.0,7.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
12450957,home,Saint-Étienne,Dylan Batubinsika,,,dylan-batubinsika,D. Batubinsika,D,28,184.0,4399,M,352912,EUR,824342400,D,21,21,False,,100.0,98.0,4.0,2.0,0.0,62.0,62.0,36.0,38.0,7.0,7.0,,,,,90.0,114.0,7.2,3.0,0.0212355,0,,,1.0,3.0,2.0,4.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,
12450957,home,Saint-Étienne,Mickael Nade,,,mickael-nade,M. Nade,D,3,186.0,169,M,865847,EUR,920505600,D,3,3,False,,106.0,98.0,7.0,3.0,0.0,70.0,71.0,28.0,35.0,5.0,6.0,,,,,90.0,117.0,6.8,10.0,0.0263654,1,,,1.0,4.0,2.0,5.0,,,2.0,1.0,1.0,,2.0,,,,,1.0,1.0,2.0,0.022,,,,,,,,,,,
12450957,home,Saint-Étienne,Léo Pétrot,,,leo-petrot,L. Pétrot,D,21,188.0,232,M,827504,EUR,861062400,D,19,19,False,,60.0,48.0,5.0,1.0,0.0,26.0,31.0,22.0,31.0,3.0,4.0,,,,,88.0,83.0,7.0,16.0,0.0229053,0,,2.0,1.0,4.0,2.0,7.0,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
12450957,home,Saint-Étienne,Benjamin Bouchouari,,,benjamin-bouchouari,B. Bouchouari,M,8,165.0,2363,M,1046446,EUR,1005609600,M,6,6,False,,93.0,83.0,,,0.0,15.0,18.0,69.0,76.0,,5.0,,,,,88.0,113.0,7.6,17.0,0.268499,0,,1.0,,2.0,5.0,8.0,2.0,2.0,2.0,1.0,1.0,,3.0,3.0,,,,1.0,,,,4.0,1.0,3.0,,,,,,,,
12450957,home,Saint-Étienne,Lamine Fomba,,,lamine-fomba,L. Fomba,M,11,188.0,111,M,822878,EUR,885772800,M,26,26,False,,67.0,61.0,3.0,1.0,0.0,25.0,25.0,36.0,42.0,1.0,4.0,,,,,71.0,79.0,7.3,9.0,0.0396462,0,,,2.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,,,,,,,,,1.0,1.0,,,,,,,
12450957,home,Saint-Étienne,Louis Mouton,Louis Mouton,,louis-mouton,L. Mouton,M,6,180.0,136,M,1172936,EUR,1023062400,M,14,14,False,,26.0,23.0,1.0,1.0,0.0,9.0,11.0,14.0,15.0,1.0,2.0,,,,,60.0,46.0,6.9,8.0,0.0137651,0,,,,,6.0,7.0,1.0,1.0,,6.0,2.0,,,,1.0,,1.0,,,,,5.0,,,,,,,,,,
12450957,home,Saint-Étienne,Djylian N'Guessan,Djylian,N'Guessan,djylian-nguessan,D. N'Guessan,F,15,,526,,1958607,EUR,1220054400,F,63,63,False,,21.0,18.0,,,0.0,9.0,9.0,9.0,12.0,,,,,,,60.0,32.0,6.3,7.0,0.00362041,1,,,2.0,,4.0,4.0,3.0,1.0,,2.0,1.0,,1.0,1.0,,,,,1.0,,0.2894,,,,,1.0,,,,,,
12450957,home,Saint-Étienne,Lucas Stassin,,,lucas-stassin,L. Stassin,F,9,184.0,2196,M,1126521,EUR,1101686400,F,32,32,False,,31.0,25.0,,,0.0,6.0,7.0,19.0,26.0,,2.0,,,,,90.0,49.0,7.0,14.0,0.0403893,3,,2.0,,2.0,3.0,7.0,3.0,3.0,,1.0,1.0,,3.0,1.0,,,,,,,0.2041,3.0,,,,,3.0,,,,,
12450957,home,Saint-Étienne,Zuriko Davitashvili,,,zuriko-davitashvili,Z. Davitashvili,F,22,175.0,4336,M,921369,EUR,982195200,F,22,22,False,,43.0,37.0,1.0,,0.0,9.0,10.0,31.0,38.0,,,,,,,90.0,71.0,6.6,21.0,0.123118,2,,5.0,,1.0,10.0,5.0,4.0,1.0,,1.0,,,6.0,2.0,1.0,,,2.0,1.0,,0.1439,4.0,3.0,,,,1.0,,,,,
12450957,home,Saint-Étienne,Florian Tardieu,,,florian-tardieu,F. Tardieu,M,10,184.0,201,M,234142,EUR,703900800,M,10,10,True,,60.0,57.0,5.0,5.0,1.0,9.0,9.0,48.0,51.0,2.0,2.0,,,,,30.0,65.0,7.6,3.0,0.11476,0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
12450957,home,Saint-Étienne,Augustine Boakye,Augustine Boakye,,augustine-boakye,A. Boakye,F,20,178.0,540,M,1138352,EUR,973209600,F,20,20,True,,21.0,17.0,,,0.0,2.0,2.0,15.0,19.0,,2.0,,,,,30.0,31.0,7.6,8.0,0.123432,5,,,,1.0,1.0,1.0,,,,,,,3.0,,,1.0,,,1.0,,0.1628,1.0,,,,,2.0,2.0,1.0,0.2863,,
