match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_wasFouled,stat_aerialWon,stat_outfielderBlock,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_challengeLost,stat_dispossessed,captain,stat_hitWoodwork,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_clearanceOffLine
10835917,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,36.0,29.0,14.0,7.0,25.0,25.0,4.0,11.0,12.0,1.0,2.0,2.0,90.0,48.0,6.7,9.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835917,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,773,M,830803,EUR,899164800,D,5,5,False,32.0,26.0,5.0,2.0,18.0,20.0,8.0,12.0,7.0,,,,90.0,37.0,6.5,7.0,,0,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10835917,home,1. FC Union Berlin,Robin Knoche,robin-knoche,R. Knoche,D,31,190,151,M,130433,EUR,706492800,D,31,31,False,70.0,63.0,11.0,7.0,44.0,47.0,19.0,23.0,9.0,,,,90.0,78.0,7.8,7.0,2.0,1,,,,,3.0,,1.0,,,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
10835917,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,994,M,855663,EUR,917049600,D,4,4,False,61.0,47.0,11.0,2.0,36.0,39.0,11.0,22.0,9.0,,,,90.0,74.0,6.8,14.0,,0,,,2.0,3.0,5.0,1.0,1.0,,,1.0,,,,,5.0,1.0,3.0,1.0,,,,,,,,,,,,,,
10835917,home,1. FC Union Berlin,Josip Juranović,josip-juranovic,J. Juranović,D,18,173,3074,M,791642,EUR,808531200,M,18,18,False,24.0,19.0,4.0,1.0,9.0,11.0,12.0,18.0,4.0,,,,90.0,56.0,7.7,12.0,3.0,1,,,,1.0,4.0,,1.0,,1.0,,2.0,1.0,,,3.0,1.0,1.0,,1.0,5.0,2.0,2.0,1.0,2.0,,,,,,,,
10835917,home,1. FC Union Berlin,Paul Seguin,paul-seguin,P. Seguin,M,30,186,138,M,253687,EUR,796435200,M,14,14,False,27.0,20.0,3.0,2.0,10.0,12.0,11.0,19.0,3.0,,,,90.0,41.0,6.7,13.0,1.0,0,,,,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,4.0,1.0,,,,1.0,1.0,,,,,,
10835917,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,961,M,149479,EUR,759628800,M,8,8,False,27.0,17.0,3.0,2.0,10.0,10.0,7.0,18.0,8.0,,,,90.0,40.0,6.7,13.0,,1,,,2.0,6.0,6.0,,1.0,,,2.0,1.0,1.0,,,1.0,1.0,3.0,1.0,,1.0,,,1.0,,,2.0,True,,,,,
10835917,home,1. FC Union Berlin,Janik Haberer,janik-haberer,J. Haberer,M,19,187,177,M,168985,EUR,765244800,M,19,19,False,27.0,25.0,,,13.0,14.0,12.0,13.0,3.0,,,,63.0,36.0,6.5,6.0,1.0,0,,,,3.0,4.0,,1.0,,2.0,,,,,,1.0,2.0,1.0,,,,,,,,1.0,2.0,,,,,,
10835917,home,1. FC Union Berlin,Niko Giesselmann,niko-giesselmann,N. Giesselmann,D,,179,72,M,123915,EUR,685843200,M,23,23,False,48.0,37.0,8.0,4.0,17.0,22.0,20.0,30.0,4.0,,,,87.0,70.0,6.2,19.0,,1,,,1.0,3.0,1.0,1.0,,,1.0,2.0,,,,,1.0,,1.0,,,4.0,,,1.0,,1.0,,,,,,,
10835917,home,1. FC Union Berlin,Sheraldo Becker,sheraldo-becker,S. Becker,F,23,180,1512,M,352544,EUR,792288000,F,27,27,False,17.0,11.0,1.0,1.0,3.0,4.0,9.0,21.0,3.0,,,,84.0,34.0,7.2,18.0,2.0,1,,,,4.0,1.0,,,,3.0,2.0,1.0,,1.0,,1.0,,1.0,,1.0,8.0,1.0,1.0,,1.0,,1.0,,,,,,
10835917,home,1. FC Union Berlin,Jordan Siebatcheu,jordan-siebatcheu,J. Siebatcheu,F,29,190,661,M,788786,EUR,830476800,F,45,45,False,8.0,6.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,,,,63.0,19.0,6.5,7.0,,1,,,3.0,10.0,2.0,,,,3.0,5.0,2.0,,,,2.0,,2.0,,,,,,1.0,,,,,1.0,,,,
10835917,home,1. FC Union Berlin,Aissa Laïdouni,aissa-laidouni,A. Laïdouni,M,93,182,3206,M,828077,EUR,850435200,M,20,20,True,9.0,6.0,1.0,1.0,2.0,3.0,4.0,8.0,3.0,,,,27.0,18.0,6.6,8.0,,0,,,2.0,4.0,4.0,,1.0,1.0,,1.0,,,,,,2.0,1.0,,,2.0,,,,,,2.0,,,laids_93,,,
10835917,home,1. FC Union Berlin,Kevin Behrens,kevin-behrens,K. Behrens,F,91,184,494,M,164171,EUR,665539200,F,17,17,True,7.0,5.0,,,1.0,1.0,4.0,7.0,,,,,27.0,15.0,7.4,4.0,,2,,,2.0,3.0,4.0,,1.0,1.0,,,1.0,,2.0,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,,
10835917,home,1. FC Union Berlin,Jamie Leweling,leweling-jamie,J. Leweling,M,18,184,1958,M,990201,EUR,983145600,F,40,40,True,,,,,,,,,,,,,5.0,1.0,,,,1,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
10835917,home,1. FC Union Berlin,Jérôme Roussillon,jerome-roussillon,J. Roussillon,D,21,175,187,M,146500,EUR,726278400,D,26,26,True,2.0,1.0,1.0,,,,1.0,2.0,2.0,,,,1.0,4.0,,2.0,,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
