match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,player_sofascoreId,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_firstName,player_lastName,stat_goals,stat_lastManTackle,stat_totalContest,stat_bigChanceCreated,stat_fouls,stat_aerialLost,stat_dispossessed,stat_blockedScoringAttempt,stat_shotOffTarget,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,captain,stat_penaltyWon,stat_errorLeadToAGoal,stat_goodHighClaim,stat_penaltyFaced,stat_hitWoodwork,stat_penaltyConceded
14064407,home,Lille,Berke Özer,berke-ozer,B. Özer,G,1,191,3024,M,847494,EUR,959212800,G,1,1,False,27.0,24.0,4.0,1.0,0.0,24.0,24.0,3.0,1.0,3.0,1.0,1.0,90.0,30.0,6.3,3.0,0.00010088,0.1853,0,-0.115,0.0,0.01,-0.21,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064407,home,Lille,Thomas Meunier,thomas-meunier,T. Meunier,D,12,190,2781,M,128587,EUR,684633600,D,12,12,False,46.0,34.0,5.0,3.0,0.0,17.0,21.0,25.0,2.0,3.0,,,90.0,63.0,6.6,16.0,0.20161,,0,,0.21,0.28,-0.3,,17.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064407,home,Lille,Chancel Mbemba,chancel-mbemba,C. Mbemba,D,18,182,34725,M,238612,EUR,776304000,D,18,18,False,55.0,47.0,7.0,2.0,0.0,25.0,26.0,29.0,5.0,4.0,,,90.0,69.0,6.6,9.0,0.00860493,,1,,0.14,0.32,-0.23,,22.0,,,1.0,3.0,2.0,,,,chancel22,1.0,1.0,1.0,1.0,1.0,2.0,0.106,0.2964,-0.03,,,,,,,,,,,,,,,,,,,,,
14064407,home,Lille,Aïssa Mandi,aissa-mandi,A. Mandi,D,23,186,10320,M,122810,EUR,688089600,D,23,23,False,76.0,66.0,14.0,7.0,0.0,39.0,41.0,35.0,4.0,6.0,,,86.0,85.0,8.3,10.0,0.0137592,,1,,0.25,0.26,0.41,,27.0,,,1.0,2.0,1.0,1.0,1.0,1.0,aissamandi23,,,1.0,,,,0.7279,0.9917,0.54,,,1.0,1.0,,,,,,,,,,,,,,,,,
14064407,home,Lille,Romain Perraud,romain-perraud,R. Perraud,D,15,173,596,M,827519,EUR,874886400,D,15,15,False,44.0,37.0,1.0,,1.0,8.0,9.0,35.0,1.0,3.0,,,90.0,70.0,7.1,14.0,0.269367,,1,,0.4,0.14,-0.26,,29.0,2.0,,,5.0,1.0,5.0,3.0,1.0,,2.0,,1.0,,,,0.0262,0.0244,-0.05,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14064407,home,Lille,Félix Correia,felix-correia,F. Correia,M,27,178,1349,M,934498,EUR,980121600,M,27,27,False,39.0,32.0,3.0,3.0,0.0,12.0,12.0,27.0,2.0,7.0,,,90.0,61.0,6.6,19.0,0.270667,,1,,0.42,0.06,-0.12,,20.0,10.0,3.0,,,3.0,,,2.0,,6.0,1.0,,,2.0,,0.0184,,-0.08,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
14064407,home,Lille,Nabil Bentaleb,nabil-bentaleb,N. Bentaleb,M,6,187,8306,M,368120,EUR,785635200,M,6,6,False,46.0,39.0,6.0,2.0,0.0,20.0,20.0,26.0,3.0,9.0,,,73.0,66.0,6.6,14.0,0.0803238,,2,,0.2,0.13,0.22,,19.0,4.0,1.0,3.0,5.0,,,,1.0,nabilbentaleb,10.0,,1.0,1.0,,2.0,0.0283,0.0271,-0.14,,,,,,,,6.0,4.0,,1.0,,,,,,,,,,
14064407,home,Lille,Ayyoub Bouaddi,bouaddi-ayyoub,A. Bouaddi,M,32,185,5410,M,1564180,EUR,1191283200,M,32,32,False,38.0,30.0,1.0,1.0,0.0,13.0,13.0,25.0,2.0,3.0,,,90.0,51.0,6.4,10.0,0.018105,,1,,0.01,0.11,-0.13,,17.0,,,2.0,4.0,1.0,1.0,,1.0,,4.0,1.0,,,2.0,,0.107,,-0.16,Ayyoub Bouaddi,,,,1.0,,2.0,1.0,,1.0,,1.0,,,,,,,,,
14064407,home,Lille,Osame Sahraoui,osame-sahraoui,O. Sahraoui,M,11,170,7380,M,965357,EUR,992217600,M,11,11,False,36.0,31.0,3.0,3.0,0.0,9.0,10.0,26.0,,3.0,,,73.0,56.0,7.3,12.0,0.0844035,,0,,0.04,0.37,-0.05,,22.0,,,,10.0,1.0,1.0,1.0,1.0,osamesahraoui,4.0,,,,4.0,5.0,,,,,,,,5.0,,,1.0,2.0,,,4.0,,,,,,,,,
14064407,home,Lille,Hamza Igamane,hamza-igamane,H. Igamane,F,29,181,17006,M,1140859,EUR,1036195200,F,29,29,False,15.0,10.0,,,0.0,5.0,5.0,10.0,,1.0,,,61.0,35.0,6.5,12.0,0.360762,,4,,0.32,0.15,-0.01,,5.0,2.0,1.0,1.0,4.0,,1.0,,1.0,hamza_igamane,5.0,,1.0,,4.0,,0.3334,0.1594,-0.53,Hamza Igamane,,,,4.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,,,,,,,
