match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_goalAssist,stat_hitWoodwork,stat_penaltyWon,stat_bigChanceCreated,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded,player_sofascoreId,stat_bigChanceMissed
10388422,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,True,26.0,18.0,12.0,5.0,15.0,16.0,3.0,10.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,90.0,33.0,7.4,8.0,0.0,0.0,0.0143079,0,0.6274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388422,home,1. FSV Mainz 05,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,330099,EUR,829526400,D,20,20,False,,70.0,63.0,12.0,9.0,39.0,42.0,25.0,30.0,,3.0,4.0,12.0,,,,,,90.0,89.0,7.5,11.0,0.0,0.0,0.10075,0,,,,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10388422,home,1. FSV Mainz 05,Alexander Hack,alexander-hack,A. Hack,D,42,186,103,M,142208,EUR,747446400,D,42,42,False,,41.0,33.0,12.0,7.0,19.0,21.0,14.0,20.0,1.0,1.0,1.0,2.0,,,,,,63.0,48.0,6.8,9.0,0.0,0.0,0.0108692,0,,,,,,1.0,2.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,
10388422,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,D,19,19,False,,63.0,57.0,10.0,5.0,37.0,37.0,21.0,29.0,,1.0,1.0,9.0,,,,,,90.0,70.0,6.9,9.0,0.0,0.0,0.0394436,0,,,,3.0,1.0,1.0,4.0,,1.0,,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,
10388422,home,1. FSV Mainz 05,Danny da Costa,danny-da-costa,D. Costa,D,21,186,305,M,97926,EUR,742521600,M,21,21,False,,27.0,22.0,5.0,4.0,11.0,13.0,12.0,17.0,1.0,1.0,,3.0,,,,,,69.0,41.0,6.6,11.0,0.0,0.0,0.0712131,0,,,,3.0,1.0,,4.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
10388422,home,1. FSV Mainz 05,Anton Stach,anton-stach,A. Stach,M,18,192,1470,M,889861,EUR,911088000,M,6,6,False,,24.0,21.0,1.0,1.0,10.0,10.0,12.0,16.0,1.0,5.0,1.0,6.0,,,,,,77.0,42.0,7.8,8.0,0.3174,0.4871,0.0389325,3,,,,2.0,1.0,1.0,3.0,,4.0,2.0,,,1.0,1.0,2.0,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,
10388422,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,M,31,31,False,,15.0,9.0,1.0,,3.0,4.0,6.0,11.0,,3.0,,5.0,,,,,,45.0,24.0,7.2,8.0,0.2694,0.6807,0.00684418,2,,,,,,,2.0,,1.0,,,,3.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,
10388422,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,M,7,7,False,,53.0,47.0,5.0,2.0,23.0,25.0,24.0,28.0,,8.0,1.0,9.0,,,,,,90.0,72.0,7.4,10.0,0.1115,0.0,0.0569127,2,,,,,,1.0,6.0,2.0,1.0,1.0,,,5.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,
10388422,home,1. FSV Mainz 05,Aarón Martín,aaron-martin,A. Martín,D,3,180,1160,M,797286,EUR,861667200,M,3,3,False,,52.0,48.0,7.0,5.0,24.0,26.0,26.0,34.0,,1.0,,3.0,,,,,,90.0,77.0,7.4,13.0,0.0511,0.2443,0.0836478,1,,,,8.0,2.0,,4.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,
10388422,home,1. FSV Mainz 05,Karim Onisiwo,karim-onisiwo,K. Onisiwo,F,9,188,465,M,165413,EUR,700790400,F,9,9,False,,15.0,14.0,,,3.0,3.0,12.0,13.0,2.0,7.0,,2.0,,,,,,90.0,41.0,7.5,11.0,0.205,0.194,0.206108,4,,,,1.0,1.0,1.0,10.0,1.0,6.0,,,,,,3.0,5.0,3.0,1.0,,3.0,1.0,1.0,,,,1.0,,,,,,
