match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,captain,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_challengeLost,stat_totalOffside,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyWon,stat_hitWoodwork,stat_goals,stat_accurateCross,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceMissed,stat_lastManTackle,stat_bigChanceCreated,stat_errorLeadToAShot
12504643,home,Fiorentina,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,43,43,False,28.0,22.0,12.0,6.0,0.0,18.0,21.0,4.0,7.0,1.0,8.0,1.0,2.0,1.0,1.0,90.0,38.0,6.4,6.0,0.00050789,0,-0.7085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504643,home,Fiorentina,Michael Kayode,,,michael-kayode,M. Kayode,D,33,179,2419,M,,1137431,EUR,1089417600,D,33,33,False,37.0,26.0,5.0,,0.0,8.0,13.0,18.0,30.0,3.0,4.0,,,,,90.0,60.0,6.6,20.0,0.0114084,0,,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504643,home,Fiorentina,Pietro Comuzzo,Pietro Comuzzo,,comuzzo-pietro,P. Comuzzo,D,15,185,1322,M,,1210848,EUR,1108857600,D,15,15,False,45.0,33.0,12.0,3.0,0.0,23.0,25.0,10.0,20.0,5.0,4.0,,,,,90.0,58.0,6.4,13.0,0.00401372,1,,,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.1456,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12504643,home,Fiorentina,Luca Ranieri,,,luca-ranieri,L. Ranieri,D,6,187,1115,M,,893998,EUR,924825600,D,6,6,False,45.0,41.0,5.0,2.0,0.0,37.0,38.0,4.0,7.0,6.0,6.0,,,,,90.0,62.0,6.2,8.0,0.00157178,1,,,1.0,3.0,3.0,,2.0,,2.0,1.0,,0.0208,,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12504643,home,Fiorentina,Robin Gosens,,,robin-gosens,R. Gosens,D,21,183,3165,M,,377118,EUR,773366400,D,21,21,False,36.0,31.0,3.0,1.0,0.0,16.0,18.0,15.0,19.0,6.0,,,,,,86.0,57.0,6.8,8.0,0.01258,0,,1.0,2.0,5.0,8.0,,1.0,2.0,,3.0,,,,,,,,,4.0,3.0,,2.0,1.0,,,,,,,,,,,,,,
12504643,home,Fiorentina,Danilo Cataldi,,,danilo-cataldi,D. Cataldi,M,32,180,952,M,,317301,EUR,776131200,M,32,32,False,48.0,38.0,4.0,2.0,0.0,18.0,19.0,20.0,29.0,2.0,6.0,,,,,90.0,59.0,7.2,10.0,0.153434,1,,,,2.0,2.0,1.0,,1.0,2.0,,,0.0068,3.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
12504643,home,Fiorentina,Yacine Adli,,,yacine-adli,Y. Adli,M,29,187,3790,M,adliyacine,859024,EUR,964828800,M,29,29,False,33.0,27.0,4.0,2.0,0.0,15.0,15.0,12.0,21.0,,6.0,,,,,62.0,45.0,6.6,12.0,0.00618622,1,,3.0,,1.0,2.0,,3.0,,1.0,,1.0,0.0597,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
12504643,home,Fiorentina,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,,928122,EUR,926380800,M,23,23,False,13.0,11.0,3.0,2.0,0.0,4.0,5.0,7.0,11.0,,4.0,,,,,70.0,28.0,6.5,10.0,0.011259,2,,3.0,,5.0,1.0,3.0,1.0,1.0,,1.0,1.0,0.054,,,2.0,,,,,,,,,2.0,1.0,0.0832,,,,,,,,,,,
12504643,home,Fiorentina,Lucas Beltrán,,,lucas-beltran,L. Beltrán,M,15,177,3780,M,beltranlucass,962029,EUR,985824000,M,9,9,False,16.0,15.0,,,0.0,9.0,10.0,6.0,6.0,,1.0,,,,,62.0,20.0,6.4,2.0,0.0340104,0,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
12504643,home,Fiorentina,Riccardo Sottil,,,riccardo-sottil,R. Sottil,M,23,180,1381,M,,893640,EUR,928368000,M,7,7,False,13.0,11.0,1.0,,0.0,4.0,5.0,7.0,11.0,,4.0,,,,,70.0,30.0,7.0,10.0,0.00723214,2,,3.0,,3.0,5.0,,2.0,3.0,,1.0,1.0,0.1624,,,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,
