match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_lastManTackle,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,captain,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_errorLeadToAShot,stat_penaltyMiss,player_sofascoreId,stat_penaltyWon,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_penaltyConceded
14167901,home,RC Lens,Robin Risser,Robin Risser,robin-risser,R. Risser,G,40,193,833,M,1387161,EUR,1101945600,G,40,40,False,16.0,11.0,7.0,3.0,0.0,9.0,10.0,2.0,6.0,1.0,7.0,1.0,2.0,1.0,1.0,90.0,23.0,7.0,5.0,0.00022087,0.3497,0,-0.0038,0.01,0.01,-0.05,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167901,home,RC Lens,Jonathan Gradit,,jonathan-gradit,J. Gradit,D,24,180,273,M,369650,EUR,722563200,D,24,24,False,34.0,31.0,5.0,3.0,0.0,17.0,17.0,14.0,17.0,4.0,6.0,,,,,90.0,47.0,7.0,3.0,0.00450569,,0,,0.22,0.02,-0.04,,2.0,1.0,3.0,6.0,1.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167901,home,RC Lens,Samson Baidoo,,samson-baidoo,S. Baidoo,D,6,190,1272,M,1099117,EUR,1080691200,D,6,6,False,43.0,41.0,7.0,6.0,0.0,28.0,28.0,13.0,15.0,1.0,4.0,,,,,90.0,53.0,7.8,2.0,0.013101,,4,,0.23,0.06,-0.04,,7.0,5.0,7.0,5.0,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3703,0.8329,0.48,,,,,,,,,,,,,,,,,,,,
14167901,home,RC Lens,Malang Sarr,,malang-sarr,M. Sarr,D,20,182,2159,M,826203,EUR,917049600,D,20,20,False,49.0,43.0,9.0,8.0,0.0,22.0,23.0,21.0,26.0,3.0,6.0,,,,,90.0,62.0,8.0,8.0,0.0860756,,1,,0.32,0.31,0.46,,,3.0,1.0,7.0,,4.0,4.0,,,,,1.0,,,,,,0.0186,,-0.1,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
14167901,home,RC Lens,Ruben Aguilar,,ruben-aguilar,R. Aguilar,M,2,172,407,M,579576,EUR,735782400,M,2,2,False,40.0,32.0,3.0,1.0,0.0,12.0,12.0,20.0,28.0,2.0,3.0,,,,,73.0,64.0,7.0,18.0,0.0930778,,0,,0.3,0.19,0.14,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,10.0,1.0,,,,,,,,,,,,,,,
14167901,home,RC Lens,Mamadou Sangare,Mamadou Sangare,mamadou-sangare,M. Sangare,M,8,181,4819,M,1064697,EUR,1025049600,M,8,8,False,44.0,33.0,5.0,4.0,0.0,12.0,13.0,21.0,31.0,,10.0,,,,,90.0,60.0,7.4,12.0,0.104479,,1,,0.39,0.0,-0.11,,1.0,2.0,4.0,9.0,2.0,5.0,3.0,1.0,,,,,,1.0,,,1.0,0.0658,,-0.1,2.0,,,,,2.0,1.0,,,,,,,,,,,,,
14167901,home,RC Lens,Adrien Thomasson,,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,M,28,28,False,40.0,31.0,3.0,1.0,2.0,11.0,13.0,20.0,27.0,1.0,8.0,,,,,90.0,74.0,7.6,20.0,0.477468,,1,,0.39,0.33,-0.04,,1.0,,6.0,4.0,1.0,3.0,2.0,1.0,3.0,,,,,1.0,,,,0.2435,,-0.24,,,3.0,10.0,5.0,1.0,,True,2.0,2.0,6.0,,,,,,,,,
14167901,home,RC Lens,Matthieu Udol,,matthieu-udol,M. Udol,D,14,178,453,M,787827,EUR,827280000,M,14,14,False,29.0,24.0,2.0,,0.0,8.0,9.0,16.0,20.0,3.0,4.0,,,,,90.0,51.0,7.0,10.0,0.238466,,0,,0.35,0.09,0.2,,1.0,,4.0,2.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,2.0,,1.0,3.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,
14167901,home,RC Lens,Florian Thauvin,,florian-thauvin,F. Thauvin,F,24,179,8040,M,148824,EUR,728006400,F,10,10,False,37.0,27.0,2.0,1.0,0.0,7.0,8.0,20.0,29.0,,4.0,,,,,72.0,62.0,5.9,25.0,0.143763,,2,,-0.04,0.32,-0.15,,1.0,,8.0,6.0,,2.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,,0.8245,0.7623,-0.91,,,2.0,8.0,1.0,5.0,3.0,,4.0,,1.0,1.0,1.0,,,,,,,
14167901,home,RC Lens,Morgan Guilavogui,,morgan-guilavogui,M. Guilavogui,F,29,188,3076,M,990743,EUR,889488000,F,29,29,False,35.0,29.0,,,0.0,5.0,6.0,24.0,29.0,,4.0,,,,,89.0,45.0,7.0,8.0,0.105632,,0,,-0.39,0.0,0.14,,,,1.0,5.0,,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,1.0,,,MorganGuila,1.0,,,,,
