match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wonTackle,player_sofascoreId,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_fouls,stat_keyPass,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_bigChanceMissed,stat_hitWoodwork
10407152,home,RC Sporting Charleroi,Pierre Patron,pierre-patron,P. Patron,G,1,191,34,M,942837,EUR,872035200,G,1,1,False,34.0,21.0,20.0,7.0,15.0,20.0,6.0,14.0,1.0,1.0,10.0,1.0,90.0,40.0,6.4,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407152,home,RC Sporting Charleroi,Jonas Bager,jonas-bager,J. Bager,D,5,182,86,M,541350,EUR,837648000,D,2,2,False,68.0,59.0,4.0,3.0,34.0,38.0,25.0,30.0,1.0,3.0,4.0,1.0,90.0,79.0,7.0,10.0,0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10407152,home,RC Sporting Charleroi,Stelios Andreou,andreou-stelios,S. Andreou,D,5,187,337,M,994282,EUR,1027468800,D,21,21,False,70.0,60.0,7.0,5.0,41.0,45.0,19.0,25.0,,2.0,7.0,,90.0,79.0,6.6,12.0,0,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10407152,home,RC Sporting Charleroi,Joris Kayembe,joris-kayembe-ditu,J. Kayembe,D,18,180,4983,M,354046,EUR,776304000,D,12,12,False,73.0,62.0,10.0,6.0,33.0,35.0,29.0,38.0,,4.0,13.0,1.0,90.0,93.0,7.3,13.0,0,,,1.0,2.0,1.0,6.0,2.0,1.0,2.0,joriskayembe23,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10407152,home,RC Sporting Charleroi,Ken Nkuba,nkuba-ken,K. Nkuba,M,27,180,165,M,961902,EUR,1011571200,M,28,28,False,29.0,25.0,,,14.0,15.0,12.0,16.0,,3.0,1.0,1.0,70.0,55.0,6.9,13.0,1,,,1.0,7.0,1.0,2.0,2.0,2.0,2.0,,4.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10407152,home,RC Sporting Charleroi,Marco Ilaimaharitra,marco-ilaimaharitra,M. Ilaimaharitra,M,23,178,499,M,358198,EUR,806716800,M,26,26,False,33.0,29.0,,,10.0,11.0,19.0,22.0,1.0,3.0,6.0,1.0,63.0,42.0,6.9,6.0,2,,,1.0,3.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,True,1.0,1.0,,,,,,,,
10407152,home,RC Sporting Charleroi,Adem Zorgane,adem-zorgane,A. Zorgane,M,8,184,6542,M,1000472,EUR,947116800,M,6,6,False,85.0,74.0,9.0,7.0,25.0,27.0,49.0,58.0,,,10.0,,90.0,97.0,7.3,15.0,2,,,,4.0,,1.0,,1.0,,AdemZorgane,1.0,1.0,,,,,,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,
10407152,home,RC Sporting Charleroi,Ryota Morioka,ryota-morioka,R. Morioka,M,,180,229,M,109376,EUR,671414400,M,44,44,False,65.0,56.0,12.0,8.0,24.0,27.0,32.0,43.0,1.0,3.0,4.0,,89.0,87.0,8.4,16.0,3,,,1.0,5.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,5.0,,,,3.0,4.0,,,2.0,1.0,1.0,,,,,,
10407152,home,RC Sporting Charleroi,Jackson Tchatchoua,jackson-tchatchoua,J. Tchatchoua,M,38,180,2199,M,1096210,EUR,1000425600,M,38,38,False,45.0,36.0,4.0,2.0,11.0,13.0,26.0,37.0,2.0,3.0,4.0,,90.0,65.0,7.0,17.0,1,,,,1.0,1.0,,,3.0,,,,2.0,1.0,,1.0,5.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,
10407152,home,RC Sporting Charleroi,Isaac Mbenza,isaac-mbenza,I. Mbenza,F,7,188,140,M,789000,EUR,826243200,F,7,7,False,27.0,22.0,3.0,2.0,12.0,12.0,10.0,17.0,,3.0,1.0,,88.0,39.0,6.8,11.0,1,,,,2.0,,,1.0,1.0,1.0,,1.0,3.0,2.0,,,2.0,,,,,1.0,,,,,1.0,,,,,,
