match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonContest,stat_shotOffTarget,captain,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_punches,stat_hitWoodwork
12501563,away,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,839,M,,256667,EUR,797644800,G,30,30,False,38.0,14.0,29.0,5.0,0.0,9.0,11.0,5.0,27.0,3.0,12.0,1.0,2.0,5.0,,,90.0,54.0,7.2,24.0,0.00119918,0,-0.6397,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,
12501563,away,Lecce,Federico Baschirotto,,,federico-baschirotto,F. Baschirotto,D,6,187,1366,M,,786175,EUR,843177600,D,6,6,False,38.0,35.0,3.0,2.0,0.0,22.0,22.0,13.0,17.0,3.0,1.0,,,,,,90.0,47.0,7.4,5.0,0.0980656,2,,1.0,,,2.0,1.0,2.0,,,,,1.0,,,,,0.2322,,1.0,,1.0,,0.3647,1.0,,1.0,True,1.0,,,,
12501563,away,Lecce,Kialonda Gaspar,Kialonda Gaspar,,kialonda-gaspar,K. Gaspar,D,4,193,1228,M,,1090374,EUR,875318400,D,4,4,False,32.0,31.0,3.0,3.0,0.0,25.0,26.0,6.0,6.0,4.0,4.0,,,,,,90.0,51.0,7.3,1.0,0.00127236,2,,,,2.0,3.0,5.0,5.0,2.0,,,1.0,3.0,5.0,2.0,2.0,,0.0531,1.0,,,,,,,,1.0,,,,,,
12501563,away,Lecce,Gaby Jean,Gaby Jean,,gaby-jean,G. Jean,D,18,191,121,M,,1392819,EUR,950918400,D,19,19,False,3.0,3.0,,,0.0,3.0,3.0,,,1.0,,,,,,,11.0,4.0,5.9,,1.16e-05,0,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
12501563,away,Lecce,Danilo Veiga,,,danilo-veiga,D. Veiga,D,17,183,380,M,,1002045,EUR,1032912000,M,17,17,False,18.0,11.0,3.0,,0.0,4.0,6.0,7.0,12.0,1.0,1.0,,,,,,77.0,39.0,6.5,10.0,0.0145023,1,,,,1.0,1.0,5.0,6.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,0.072,,1.0,3.0,,,,,1.0,,,,,,,
12501563,away,Lecce,Lassana Coulibaly,,,coulibaly-lassana,L. Coulibaly,M,29,183,2761,M,,804621,EUR,829094400,M,29,29,False,31.0,23.0,4.0,1.0,0.0,13.0,16.0,10.0,15.0,1.0,3.0,,,,,,90.0,44.0,6.4,11.0,0.00725327,0,,,,2.0,1.0,5.0,5.0,2.0,3.0,1.0,,,,1.0,1.0,,,2.0,,1.0,,1.0,,1.0,1.0,,,,,,,
12501563,away,Lecce,Balthazar Pierret,,,balthazar-pierret,B. Pierret,M,4,186,216,M,,1014651,EUR,958348800,M,75,75,False,41.0,33.0,5.0,3.0,0.0,14.0,18.0,19.0,23.0,,2.0,,,,,,90.0,55.0,6.8,14.0,0.0250025,1,,,,1.0,4.0,5.0,9.0,2.0,1.0,,1.0,,,2.0,,,0.0584,,2.0,5.0,,,,1.0,3.0,,,,,,,
12501563,away,Lecce,Antonino Gallo,,,antonino-gallo,A. Gallo,D,25,183,673,M,,945616,EUR,947030400,M,25,25,False,8.0,7.0,,,0.0,3.0,3.0,4.0,6.0,4.0,1.0,,,,,,45.0,21.0,6.5,2.0,0.00432684,0,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
12501563,away,Lecce,Santiago Pierotti,,,santiago-pierotti,S. Pierotti,F,50,189,760,M,,984998,EUR,986256000,F,50,50,False,8.0,6.0,,,0.0,1.0,2.0,5.0,6.0,,2.0,,,,,,56.0,20.0,6.4,10.0,0.00744594,1,,,,3.0,,4.0,1.0,,6.0,,1.0,,,,,,0.0435,,1.0,1.0,,,,,1.0,,,,,,,
12501563,away,Lecce,Tete Morente,,,tete-morente,T. Morente,F,15,180,435,M,,605374,EUR,849657600,F,7,7,False,35.0,28.0,4.0,2.0,0.0,7.0,10.0,21.0,26.0,1.0,6.0,,,,,,90.0,49.0,6.5,9.0,0.0500128,2,,1.0,,3.0,1.0,8.0,3.0,2.0,,,2.0,,,1.0,2.0,,0.1016,2.0,,1.0,,,,,,,,,,,,
