match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_totalContest,stat_wonContest,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_outfielderBlock,stat_errorLeadToAGoal,captain,stat_aerialLost,stat_dispossessed,stat_goals,stat_accurateCross,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,player_sofascoreId,stat_punches,stat_clearanceOffLine,stat_penaltyWon,stat_bigChanceMissed,stat_penaltyMiss,stat_hitWoodwork
11450184,home,İstanbulspor,Alp Arda,,,alp-arda,A. Arda,G,59,192.0,35,M,999485,EUR,802483200,G,59,59,False,30.0,15.0,16.0,2.0,14.0,21.0,1.0,9.0,1.0,1.0,1.0,3.0,12.0,1.0,1.0,1.0,5.0,1.0,1.0,9.0,2.0,2.0,90.0,52.0,7.3,15.0,0.00127679,0,-0.6118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450184,home,İstanbulspor,Demeaco Duhaney,,,duhaney-demeaco,D. Duhaney,D,21,180.0,24,M,851095,EUR,908236800,D,21,21,False,39.0,34.0,,,20.0,22.0,14.0,19.0,,,1.0,3.0,5.0,,,,,,,,,,90.0,59.0,6.5,10.0,0.0167089,2,,2.0,1.0,1.0,2.0,1.0,1.0,0.0832,0.0813,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11450184,home,İstanbulspor,Okan Erdoğan,,,okan-erdogan,O. Erdoğan,D,3,185.0,54,M,881213,EUR,907027200,D,23,23,False,59.0,49.0,8.0,3.0,41.0,45.0,8.0,15.0,,1.0,8.0,3.0,11.0,,,,,,,,,,90.0,77.0,6.8,12.0,0.00396386,0,,1.0,,,1.0,1.0,,,,,1.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
11450184,home,İstanbulspor,Mehmet Yeşil,,,mehmet-yesil,M. Yeşil,D,21,188.0,48,M,840639,EUR,896572800,D,4,4,False,25.0,19.0,4.0,1.0,13.0,15.0,6.0,10.0,1.0,1.0,3.0,6.0,2.0,,,,,,,,,,60.0,37.0,5.5,7.0,0.00503327,0,,,,,2.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
11450184,home,İstanbulspor,Ali Yaşar,,,ali-yasar,A. Yaşar,D,66,180.0,31,M,190815,EUR,794620800,D,66,66,False,24.0,17.0,3.0,1.0,13.0,17.0,4.0,7.0,,3.0,3.0,,8.0,,,,,,,,,,52.0,35.0,5.8,10.0,0.00191734,0,,,,,1.0,1.0,,,,,,,,,2.0,1.0,,1.0,,,True,2.0,1.0,,,,,,,,,,,,
11450184,home,İstanbulspor,Muammer Sarıkaya,,,muammer-sarikaya,M. Sarıkaya,M,24,179.0,36,M,816571,EUR,886982400,M,24,24,False,52.0,43.0,3.0,2.0,24.0,28.0,19.0,24.0,1.0,6.0,7.0,,6.0,,4.0,,,,,,,,90.0,67.0,6.9,16.0,0.0484138,1,,,,1.0,,2.0,,0.2059,0.748,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,5.0,,,,,1.0,1.0,,,,,,,,,,,
11450184,home,İstanbulspor,Modestas Vorobjovas,,,modestas-vorobjovas,M. Vorobjovas,M,6,177.0,70,M,319751,EUR,820281600,M,6,6,False,47.0,41.0,5.0,5.0,27.0,29.0,14.0,18.0,2.0,5.0,2.0,,5.0,,,,,,,,,,90.0,55.0,6.4,7.0,0.0151099,0,,,,,2.0,,,,,,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
11450184,home,İstanbulspor,Florian Loshaj,,,florian-loshaj,F. Loshaj,M,10,174.0,152,M,831407,EUR,839894400,M,34,34,False,30.0,20.0,3.0,1.0,9.0,12.0,12.0,20.0,,10.0,5.0,1.0,,,5.0,,,,,,,,90.0,50.0,6.5,15.0,0.114276,4,,2.0,2.0,2.0,,2.0,,0.1805,0.39,2.0,1.0,4.0,1.0,,2.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,
11450184,home,İstanbulspor,Alassane Ndao,,,ndao-alassane,A. Ndao,M,,176.0,333,M,1016033,EUR,851040000,F,18,18,False,19.0,16.0,,,9.0,9.0,7.0,14.0,,3.0,1.0,,1.0,,,,,,,,,,60.0,30.0,6.6,9.0,0.0115387,2,,4.0,,1.0,2.0,,,0.1057,0.3196,1.0,,3.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,
11450184,home,İstanbulspor,Valon Ethemi,,,valon-ethemi,V. Ethemi,M,27,179.0,121,M,904945,EUR,875836800,F,27,27,False,18.0,13.0,,,8.0,10.0,5.0,10.0,1.0,7.0,5.0,,2.0,,,,,,,,,,76.0,32.0,6.5,13.0,0.0161566,1,,2.0,,,,1.0,,0.0203,,1.0,,5.0,2.0,,1.0,1.0,,2.0,,,,3.0,1.0,,,1.0,,,,,,,,,
