match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,captain,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_totalCross,stat_blockedScoringAttempt,player_sofascoreId,stat_accurateCross,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_punches,stat_clearanceOffLine,stat_ownGoals
12117325,home,Grêmio,Agustín Marchesín,agustin-marchesin,A. Marchesín,G,1,188,1568,M,47339,EUR,574473600,G,1,1,False,19.0,9.0,15.0,5.0,0.0,5.0,8.0,4.0,11.0,4.0,1.0,1.0,1.0,90.0,25.0,6.3,11.0,0.00096543,0,-0.6807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117325,home,Grêmio,João Pedro,joao-pedro,J. Pedro,D,18,179,1116,M,605528,EUR,848016000,D,18,18,False,29.0,27.0,,,1.0,8.0,8.0,19.0,21.0,2.0,,,,88.0,42.0,7.5,3.0,0.312336,0,,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
12117325,home,Grêmio,Pedro Geromel,pedro-geromel,P. Geromel,D,3,190,681,M,13338,EUR,496108800,D,3,3,False,24.0,20.0,4.0,,0.0,15.0,16.0,5.0,8.0,4.0,,,,90.0,40.0,7.3,4.0,0.00185174,1,,,2.0,1.0,6.0,,,,,7.0,,,,,True,1.0,1.0,3.0,4.0,3.0,1.0,0.0115,,,,,,,,,,,,,,
12117325,home,Grêmio,Jemerson,jemerson,Jemerson,D,21,184,1651,M,328519,EUR,714614400,D,28,28,False,26.0,22.0,3.0,2.0,0.0,17.0,18.0,5.0,8.0,2.0,,,,90.0,35.0,7.2,5.0,0.00143059,2,,3.0,3.0,4.0,6.0,,,,,1.0,1.0,,,,,,,1.0,2.0,2.0,,0.0755,1.0,2.0,1.0,0.1736,,,,,,,,,,
12117325,home,Grêmio,Reinaldo,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,D,6,6,False,27.0,17.0,8.0,2.0,0.0,7.0,8.0,10.0,21.0,6.0,,,,90.0,45.0,6.2,19.0,0.012288,1,,,,7.0,2.0,2.0,4.0,2.0,,1.0,,1.0,,,,,,,,,3.0,0.0164,,,1.0,,2.0,1.0,,,,,,,,
12117325,home,Grêmio,Mathias Villasanti,mathias-villasanti,M. Villasanti,M,20,178,2843,M,1139775,EUR,854064000,M,20,20,False,48.0,44.0,5.0,3.0,0.0,23.0,24.0,21.0,24.0,7.0,,,,90.0,66.0,7.5,6.0,0.0341799,0,,1.0,,6.0,9.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,3.0,7.0,5.0,3.0,,1.0,,1.0,,,,,,,,,,,
12117325,home,Grêmio,Dodi,dodi,Dodi,M,17,169,1040,M,870804,EUR,829699200,M,17,17,False,16.0,15.0,1.0,1.0,0.0,6.0,6.0,9.0,10.0,3.0,,,,76.0,23.0,6.6,2.0,0.0087318,0,,1.0,,3.0,2.0,1.0,,,,,,,,,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,
12117325,home,Grêmio,Yeferson Soteldo,yeferson-soteldo,Y. Soteldo,M,7,160,11184,M,789960,EUR,867628800,M,7,7,False,35.0,31.0,,,0.0,6.0,6.0,26.0,31.0,3.0,,,,88.0,55.0,7.3,11.0,0.287557,4,,,,4.0,4.0,2.0,5.0,3.0,,,1.0,2.0,,,,,,2.0,,,,0.3801,,1.0,1.0,0.7904,2.0,3.0,yefersonsoteldo1006,1.0,,,,,,
12117325,home,Grêmio,Franco Cristaldo,franco-cristaldo,F. Cristaldo,M,10,175,2295,M,558820,EUR,840067200,M,10,10,False,30.0,23.0,1.0,1.0,0.0,7.0,9.0,21.0,31.0,4.0,,,,65.0,49.0,8.0,17.0,0.545522,2,,1.0,1.0,5.0,1.0,2.0,,,1.0,1.0,,5.0,,,,,,,,,1.0,0.219,1.0,1.0,3.0,0.5284,10.0,1.0,,5.0,1.0,1.0,,,,
12117325,home,Grêmio,Alexander Aravena,alexander-aravena,A. Aravena,M,16,174,2831,M,1000502,EUR,1031270400,M,16,16,False,9.0,8.0,,,0.0,3.0,3.0,5.0,7.0,2.0,,,,76.0,19.0,6.2,5.0,0.0094261,3,,1.0,1.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,0.8088,1.0,3.0,1.0,0.4714,1.0,,,,,,2.0,,,
