match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_clearanceOffLine,stat_accurateCross,player_firstName,player_lastName,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_lastManTackle
12437867,home,Rayo Vallecano,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186.0,1488,M,358910,EUR,830822400,G,13,13,False,39.0,30.0,14.0,5.0,0.0,26.0,26.0,4.0,13.0,1.0,9.0,2.0,3.0,1.0,90.0,49.0,7.0,9.0,0.00564925,0,0.1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437867,home,Rayo Vallecano,Andrei Rațiu,andrei-ratiu,A. Rațiu,D,2,183.0,8158,M,965031,EUR,898300800,D,2,2,False,54.0,41.0,4.0,1.0,0.0,18.0,22.0,23.0,36.0,5.0,4.0,,,,90.0,91.0,8.2,22.0,0.773826,2,,Sonic,4.0,1.0,5.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0953,0.8878,2.0,,,,,,,,,,,,,,,
12437867,home,Rayo Vallecano,Florian Lejeune,florian-lejeune,F. Lejeune,D,24,190.0,1047,M,88528,EUR,674697600,D,24,24,False,74.0,64.0,12.0,5.0,0.0,48.0,48.0,16.0,26.0,4.0,5.0,,,,90.0,88.0,7.7,10.0,0.00806412,3,,,,4.0,4.0,5.0,,,,,1.0,,1.0,1.0,,,0.1289,0.1009,,1.0,2.0,1.0,3.0,1.0,3.0,,,,,,,,,
12437867,home,Rayo Vallecano,Abdul Mumin,abdul-mumin,A. Mumin,D,16,188.0,1245,M,846147,EUR,897091200,D,16,16,False,21.0,17.0,3.0,1.0,0.0,15.0,16.0,2.0,5.0,1.0,,,,,35.0,23.0,7.1,4.0,0.00064257,0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
12437867,home,Rayo Vallecano,Josep Chavarría,josep-chavarria,J. Chavarría,D,3,174.0,630,M,1010421,EUR,892166400,D,3,3,False,41.0,36.0,4.0,3.0,0.0,18.0,18.0,18.0,24.0,3.0,2.0,,,,90.0,66.0,7.0,10.0,0.0472765,0,,,1.0,,2.0,3.0,1.0,,,,,,2.0,2.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
12437867,home,Rayo Vallecano,Pedro Díaz,pedro-diaz,P. Díaz,M,4,180.0,572,M,900669,EUR,897004800,M,4,4,False,46.0,38.0,8.0,4.0,0.0,19.0,21.0,22.0,29.0,,10.0,,,,70.0,58.0,7.1,12.0,0.221282,1,,,4.0,,4.0,2.0,3.0,1.0,,,,,2.0,1.0,2.0,,0.0189,,3.0,,1.0,,,,,,3.0,,,,,,,
12437867,home,Rayo Vallecano,Pathé Ismaël Ciss,ismaila-ciss,P. I. Ciss,M,6,183.0,4735,M,913679,EUR,763776000,M,6,6,False,52.0,43.0,5.0,4.0,0.0,21.0,23.0,22.0,29.0,5.0,10.0,,,,90.0,72.0,7.4,12.0,0.0177773,2,,,,3.0,3.0,8.0,1.0,2.0,1.0,,,,3.0,2.0,1.0,1.0,0.1195,,1.0,,2.0,,,2.0,,,,,,1.0,,,,
12437867,home,Rayo Vallecano,Adrián Embarba,adrian-embarba,A. Embarba,M,23,173.0,477,M,346516,EUR,705196800,M,21,21,False,25.0,18.0,,,0.0,3.0,5.0,17.0,26.0,,1.0,,,,70.0,42.0,7.1,14.0,0.344876,3,,,6.0,,4.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.1098,,2.0,,1.0,,,1.0,1.0,,2.0,,,,1.0,2.0,,
12437867,home,Rayo Vallecano,Óscar Trejo,oscar-trejo,Ó. Trejo,M,8,177.0,550,M,21949,EUR,578016000,M,8,8,False,35.0,32.0,1.0,1.0,0.0,12.0,12.0,20.0,23.0,,4.0,,,,70.0,56.0,6.4,10.0,0.0419132,0,,,,,9.0,4.0,1.0,2.0,4.0,,,,1.0,,2.0,2.0,,,,1.0,,,,1.0,2.0,,,,,1.0,,,,
12437867,home,Rayo Vallecano,Álvaro García,alvaro-garcia,Á. García,M,18,168.0,1132,M,345111,EUR,720144000,M,18,18,False,27.0,19.0,3.0,1.0,1.0,5.0,6.0,15.0,25.0,1.0,2.0,,,,90.0,48.0,7.3,18.0,0.589115,3,,,4.0,,2.0,1.0,,2.0,,1.0,2.0,,1.0,1.0,5.0,,0.6869,1.2986,3.0,,,,,,,,1.0,,,,1.0,1.0,True,
