match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_totalContest,stat_wonContest,stat_goalAssist,stat_aerialLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_goals,captain,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt
10408506,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,20.0,8.0,19.0,7.0,1.0,1.0,7.0,19.0,1.0,11.0,3.0,6.0,1.0,90.0,36.0,7.1,13.0,0.0,0.0,0.00150508,0,-0.6903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408506,home,Cádiz,Luis Hernández,luis-hernandez,L. Hernández,D,,182,89,M,260097,EUR,608515200,D,23,23,False,39.0,32.0,4.0,2.0,21.0,24.0,11.0,16.0,3.0,5.0,,,,90.0,57.0,6.5,12.0,0.0,0.0,0.00556542,0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408506,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,False,38.0,36.0,4.0,4.0,28.0,28.0,8.0,10.0,4.0,3.0,,,,90.0,52.0,7.3,2.0,0.0865,0.0,0.00317836,1,,,7.0,,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10408506,home,Cádiz,Mamadou Mbaye,mamadou-mbaye,M. Mbaye,D,15,188,162,M,921621,EUR,898992000,D,5,5,False,13.0,9.0,5.0,2.0,6.0,8.0,3.0,5.0,3.0,,,,,30.0,17.0,6.7,4.0,0.0,0.0,0.0104967,0,,,2.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10408506,home,Cádiz,Alfonso Espino,alfonso-espino,A. Espino,D,22,172,656,M,542634,EUR,694569600,D,22,22,False,31.0,20.0,5.0,1.0,6.0,11.0,14.0,21.0,2.0,7.0,,,,90.0,53.0,7.1,18.0,0.045,0.1413,0.219974,1,,1.0,1.0,1.0,,,1.0,5.0,,,,,3.0,,,2.0,2.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,
10408506,home,Cádiz,Théo Bongonda,theo-bongonda,T. Bongonda,M,77,177,22829,M,344953,EUR,816825600,M,10,10,False,15.0,14.0,1.0,1.0,5.0,5.0,9.0,11.0,,3.0,,,,74.0,27.0,7.4,5.0,0.192,0.563,0.0173674,1,,1.0,4.0,,1.0,,,3.0,,,,1.0,1.0,4.0,2.0,,,,1.0,1.0,1.0,,,theo_bongonda,1.0,,,,,,,,
10408506,home,Cádiz,Álex Fernández,alex-fernandez,Á. Fernández,M,8,183,168,M,148588,EUR,719107200,M,8,8,False,40.0,36.0,3.0,2.0,14.0,14.0,23.0,30.0,1.0,6.0,,,,90.0,54.0,7.6,9.0,0.206,0.3761,0.0685921,2,,4.0,4.0,,1.0,,2.0,1.0,,,,1.0,,,,,,1.0,2.0,1.0,1.0,,,,1.0,True,1.0,,,,,,
10408506,home,Cádiz,Fede San Emeterio,fede-san-emeterio,F. S. E. Diaz,M,6,174,81,M,376382,EUR,858470400,M,24,24,False,27.0,22.0,2.0,1.0,9.0,10.0,13.0,17.0,1.0,1.0,,,,68.0,34.0,6.7,5.0,0.0,0.0,0.00504423,0,,,2.0,,,,1.0,4.0,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
10408506,home,Cádiz,Brian Ocampo,brian-ocampo,B. Ocampo,M,10,173,942,M,941405,EUR,930268800,M,14,14,False,23.0,20.0,1.0,,6.0,6.0,14.0,20.0,,5.0,,,,68.0,37.0,6.7,9.0,0.0821,0.0,0.064215,1,,3.0,5.0,,,,,8.0,1.0,1.0,,3.0,3.0,5.0,2.0,,1.0,,,,1.0,,,,,,,1.0,,,,,
10408506,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,F,7,7,False,26.0,21.0,,,8.0,8.0,13.0,18.0,1.0,6.0,,,,90.0,47.0,6.9,12.0,0.4567,1.2904,0.0132652,2,,,7.0,1.0,3.0,,2.0,6.0,,,,1.0,,2.0,1.0,,2.0,3.0,2.0,3.0,,,,,1.0,,,,1.0,,,,
