match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_shotOffTarget,stat_dispossessed,stat_fouls,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_punches
12449869,home,Sparta Rotterdam,Rayvien Rosario,rosario-rayvien,R. Rosario,F,,181,51,M,1442072,EUR,1081641600,F,21,21,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449869,away,Heracles Almelo,Fabian de Keijzer,fabian-de-keijzer,F. d. Keijzer,G,1,193,109,M,856743,EUR,957916800,G,1,1,False,,31.0,12.0,24.0,5.0,0.0,7.0,8.0,5.0,23.0,7.0,2.0,,1.0,90.0,37.0,6.9,19.0,0.00074458,0,0.2027,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0
12449869,away,Heracles Almelo,Mimeirhel Benita,mimeirhel-benita,M. Benita,D,2,176,216,M,1130308,EUR,1069027200,D,2,2,False,,16.0,10.0,5.0,2.0,0.0,4.0,6.0,6.0,10.0,2.0,,,,90.0,35.0,6.9,12.0,0.0183582,0,,Mimeirhel Benita,,,,2.0,1.0,3.0,3.0,,,1.0,2.0,2.0,1.0,,,,,,3.0,,,,,1.0,,,,
12449869,away,Heracles Almelo,Damon Mirani,damon-mirani,D. Mirani,D,4,182,56,M,318575,EUR,831945600,D,4,4,False,,32.0,26.0,5.0,2.0,0.0,17.0,20.0,9.0,12.0,3.0,,,,90.0,40.0,7.0,6.0,0.00440953,2,,,,,,3.0,3.0,4.0,4.0,,,,1.0,,,,0.1619,,,,5.0,,2.0,,1.0,,,,,
12449869,away,Heracles Almelo,Ivan Mesík,ivan-mesik,I. Mesík,D,24,187,163,M,918484,EUR,991353600,D,24,24,False,,34.0,26.0,5.0,2.0,0.0,24.0,27.0,2.0,7.0,1.0,,,,90.0,50.0,7.2,9.0,0.00110189,0,,,,,,,1.0,2.0,3.0,,,2.0,,,1.0,2.0,,,,1.0,8.0,1.0,,,1.0,,,,,
12449869,away,Heracles Almelo,Lorenzo Milani,lorenzo-milani,L. Milani,D,20,178,32,M,1084492,EUR,990489600,D,22,22,False,,5.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,,,,25.0,13.0,6.6,4.0,0.00062198,0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,
12449869,away,Heracles Almelo,Juho Talvitie,juho-talvitie,J. Talvitie,M,32,183,251,M,1149147,EUR,1111708800,M,23,23,False,,13.0,9.0,,,0.0,4.0,5.0,5.0,8.0,3.0,,,,83.0,26.0,6.9,8.0,0.00583801,1,,Juho Talvitie,,,,,,5.0,4.0,,1.0,,1.0,1.0,1.0,1.0,0.0674,0.1439,,2.0,,,,1.0,,4.0,2.0,,,
12449869,away,Heracles Almelo,Brian De Keersmaecker,brian-de-keersmaecker,B. D. Keersmaeker,M,14,182,235,M,981222,EUR,957571200,M,14,14,False,True,23.0,15.0,5.0,1.0,0.0,7.0,10.0,8.0,14.0,7.0,,,,90.0,40.0,7.4,11.0,0.197983,0,,,,1.0,,,2.0,2.0,8.0,,,1.0,2.0,2.0,2.0,2.0,,,2.0,1.0,2.0,1.0,,,1.0,2.0,2.0,,,
12449869,away,Heracles Almelo,Daniel van Kaam,daniel-van-kaam,D. v. Kaam,M,8,175,86,M,876257,EUR,961718400,M,26,26,False,,29.0,24.0,4.0,4.0,0.0,8.0,9.0,18.0,26.0,3.0,,,,83.0,40.0,7.0,10.0,0.102946,0,,,,6.0,2.0,,1.0,1.0,2.0,,,,,,,1.0,,,3.0,,2.0,,,1.0,,,,,,
12449869,away,Heracles Almelo,Bryan Limbombe,bryan-limbombe,B. Limbombe,M,7,172,160,M,996988,EUR,989798400,M,7,7,False,,10.0,4.0,1.0,1.0,0.0,2.0,3.0,2.0,7.0,4.0,,,,90.0,20.0,6.7,9.0,0.00226141,2,,,,,,,1.0,3.0,4.0,,,,,,1.0,2.0,0.0245,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,
12449869,away,Heracles Almelo,Mario Engels,mario-engels,M. Engels,M,8,183,72,M,132674,EUR,751248000,F,8,8,False,,8.0,5.0,,,0.0,,1.0,5.0,7.0,2.0,,,,90.0,16.0,6.8,5.0,0.0343134,2,,,,,,,,4.0,1.0,,1.0,,,,,,0.1383,0.0893,1.0,,,,,2.0,2.0,1.0,1.0,1.0,,
12449869,away,Heracles Almelo,Shiloh 't Zand,shiloh-t-zand,S. '. Zand,M,25,177,309,M,1196520,EUR,1050278400,F,10,10,False,,21.0,16.0,,,0.0,2.0,3.0,14.0,18.0,2.0,,,,65.0,31.0,7.1,5.0,0.0270951,3,,,,,,1.0,1.0,3.0,7.0,,,,1.0,,,3.0,0.1479,,,,,,2.0,,2.0,2.0,2.0,1.0,,
12449869,away,Heracles Almelo,Jannes Wieckhoff,jannes-wieckhoff,J. Wieckhoff,D,3,188,36,M,984880,EUR,965174400,D,3,3,True,,19.0,14.0,5.0,2.0,0.0,8.0,9.0,6.0,10.0,6.0,,,,65.0,33.0,6.6,9.0,0.00783498,0,,,,,,,1.0,3.0,2.0,,,,,,,1.0,,,,2.0,2.0,,,,1.0,,,,,
12449869,away,Heracles Almelo,Sem Scheperman,scheperman-sem,S. Scheperman,M,32,188,82,M,1189738,EUR,1024790400,M,32,32,True,,4.0,3.0,1.0,,0.0,2.0,3.0,1.0,1.0,1.0,,,,25.0,8.0,6.4,1.0,0.00027057,0,,,,,,1.0,,3.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,
12449869,away,Heracles Almelo,Thomas Bruns,thomas-bruns,T. Bruns,M,10,177,36,M,146401,EUR,694742400,M,17,17,True,,2.0,,,,0.0,,,,5.0,,,,,14.0,5.0,6.6,5.0,,0,,,,3.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12449869,away,Heracles Almelo,Giandro Sambo,giandro-sambo,G. Sambo,F,28,181,33,M,1469027,EUR,1156723200,D,28,28,True,,1.0,,,,0.0,,,,1.0,1.0,,,,14.0,3.0,6.6,1.0,,0,,Giandro Sambo,,,,,1.0,2.0,3.0,,,,1.0,1.0,,1.0,,,,,,,,,2.0,,,,,
12449869,away,Heracles Almelo,Robin Mantel,robin-mantel,R. Mantel,G,30,195,29,M,943230,EUR,974246400,G,30,30,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449869,away,Heracles Almelo,Timo Jansink,jansink-timo,T. Jansink,G,16,197,38,M,1189737,EUR,1047772800,G,16,16,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449869,away,Heracles Almelo,Jop Tijink,jop-tijink,J. Tijink,D,27,188,33,M,1862924,EUR,1107043200,D,27,27,True,,,,,,,,,,,,,,,,,,,,0,,Jop Tijink,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449869,away,Heracles Almelo,Jordy Bruijn,jordy-bruijn,J. Bruijn,M,8,170,76,M,825278,EUR,838080000,M,5,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449869,away,Heracles Almelo,Tiago Codinha,tiago-codinha,T. Codinha,M,38,184,25,M,1801349,EUR,1121817600,M,39,39,True,,,,,,,,,,,,,,,,,,,,0,,Tiago Codinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449869,away,Heracles Almelo,Antonio Satriano,satriano-antonio,A. Satriano,F,45,185,74,M,996813,EUR,1067472000,F,31,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
