match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_wasFouled,stat_keyPass,stat_blockedScoringAttempt,stat_dispossessed,stat_shotOffTarget,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_bigChanceCreated,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves
12514197,home,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,True,33.0,17.0,23.0,7.0,0.0,13.0,18.0,4.0,15.0,1.0,9.0,1.0,1.0,90.0,39.0,5.6,16.0,0.00113814,0,-2.5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514197,home,Santa Clara,Sidney Lima,Sidney,,sidney-lima,S. Lima,D,23,182,139,M,1131145,EUR,853459200,D,23,23,False,,64.0,53.0,8.0,2.0,0.0,28.0,29.0,26.0,37.0,3.0,7.0,,,90.0,76.0,6.5,13.0,0.0278474,0,,2.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12514197,home,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,False,,55.0,43.0,6.0,1.0,0.0,28.0,34.0,15.0,21.0,2.0,9.0,,,79.0,62.0,6.4,12.0,0.00581107,1,,,,1.0,3.0,2.0,5.0,1.0,,2.0,1.0,,,1.0,1.0,0.0731,0.6548,,,,,,,,,,,,,,,
12514197,home,Santa Clara,Frederico Venâncio,,,frederico-venancio,F. Venâncio,D,21,186,71,M,254815,EUR,728784000,D,21,21,False,,17.0,14.0,2.0,1.0,0.0,8.0,8.0,6.0,9.0,2.0,,,,31.0,20.0,6.1,3.0,0.0009968,0,,,,,1.0,3.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
12514197,home,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,M,2,2,False,,30.0,19.0,7.0,1.0,0.0,8.0,13.0,12.0,23.0,3.0,4.0,,,69.0,57.0,6.2,20.0,0.032,0,,6.0,1.0,,,4.0,3.0,1.0,,1.0,1.0,2.0,1.0,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,
12514197,home,Santa Clara,Pedro Ferreira,,,ferreira-pedro,P. Ferreira,M,8,183,121,M,851277,EUR,883958400,M,8,8,False,,26.0,22.0,7.0,5.0,1.0,11.0,13.0,12.0,16.0,1.0,8.0,,,69.0,45.0,7.7,7.0,0.0593709,1,,3.0,1.0,1.0,1.0,3.0,11.0,1.0,,8.0,6.0,1.0,1.0,1.0,,0.0529,0.0775,1.0,1.0,1.0,1.0,,,,,,,,,,,
12514197,home,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,6,6,False,,51.0,44.0,4.0,4.0,0.0,22.0,23.0,22.0,28.0,1.0,4.0,,,79.0,63.0,7.0,8.0,0.0105288,1,,,,2.0,,5.0,7.0,,,3.0,1.0,,2.0,,1.0,0.0833,,4.0,3.0,1.0,,1.0,,,,,,,,,,
12514197,home,Santa Clara,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172,198,M,1016898,EUR,977356800,M,3,3,False,,52.0,43.0,4.0,,0.0,28.0,31.0,18.0,26.0,1.0,10.0,,,90.0,83.0,6.6,20.0,0.0900742,1,,5.0,3.0,2.0,1.0,10.0,7.0,1.0,,2.0,2.0,3.0,2.0,,2.0,0.0176,,2.0,1.0,3.0,2.0,,4.0,1.0,,,,,,,,
12514197,home,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,F,70,70,False,,15.0,11.0,,,0.0,2.0,2.0,9.0,17.0,,2.0,,,90.0,37.0,6.9,14.0,0.00644256,3,,4.0,,2.0,1.0,9.0,5.0,1.0,,2.0,1.0,,1.0,1.0,,0.1962,0.4604,4.0,,2.0,,1.0,2.0,1.0,1.0,,,,,,,
12514197,home,Santa Clara,Alisson Safira,,,allison-safira,A. Safira,F,25,178,356,M,870927,EUR,795398400,F,9,9,False,,14.0,8.0,,,0.0,3.0,3.0,5.0,11.0,1.0,,,,90.0,25.0,6.5,12.0,0.0274453,3,,,,9.0,5.0,14.0,6.0,,,1.0,,4.0,3.0,,,0.861,,,,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,
12514197,home,Santa Clara,Gabriel Silva,Gabriel Silva,,gabriel-silva,Gabriel Silva,F,10,177,795,M,1046794,EUR,1016755200,F,11,11,False,,19.0,11.0,5.0,2.0,0.0,2.0,2.0,10.0,21.0,1.0,1.0,,,90.0,46.0,7.3,24.0,0.75759,2,,4.0,1.0,1.0,3.0,6.0,5.0,,,1.0,1.0,7.0,,1.0,1.0,0.499,0.2706,2.0,,2.0,2.0,1.0,3.0,,1.0,,,,,,,
12514197,home,Santa Clara,Gustavo Klismahn,Klismahn,,gustavo-klismahn,G. Klismahn,M,77,179,89,M,1162051,EUR,943315200,M,77,77,True,,27.0,21.0,1.0,1.0,1.0,8.0,9.0,15.0,24.0,,3.0,,,59.0,47.0,7.9,12.0,0.352671,0,,6.0,2.0,2.0,2.0,5.0,8.0,1.0,,3.0,3.0,,,,1.0,,,1.0,1.0,2.0,2.0,,2.0,,,,,,2.0,,,
12514197,home,Santa Clara,Lucas Soares,,,lucas-soares,L. Soares,M,42,176,85,M,991358,EUR,894240000,D,42,42,True,,7.0,5.0,2.0,1.0,0.0,2.0,2.0,3.0,6.0,1.0,1.0,,,21.0,13.0,6.7,3.0,0.00087525,0,,1.0,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,
12514197,home,Santa Clara,Ricardinho,,,ricardinho,Ricardinho,M,21,178,116,M,1094399,EUR,902361600,M,10,10,True,,5.0,4.0,,,0.0,1.0,1.0,5.0,6.0,,2.0,,,21.0,16.0,6.0,7.0,0.118698,1,,2.0,2.0,1.0,,5.0,,,,,,2.0,1.0,1.0,,0.2354,0.1508,2.0,,,,,1.0,,,1.0,,,,,,
