match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_ownGoals,stat_unsuccessfulTouch,stat_wasFouled,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside
12499822,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,51.0,41.0,16.0,6.0,0.0,35.0,36.0,6.0,15.0,12.0,4.0,4.0,90.0,60.0,6.8,10.0,0.00309225,0,-0.3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499822,home,TSG Hoffenheim,Pavel Kadeřábek,pavel-kaderabek,P. Kadeřábek,M,3,182,266,M,109296,EUR,704160000,D,3,3,False,,36.0,31.0,3.0,1.0,0.0,24.0,26.0,8.0,17.0,1.0,,,90.0,65.0,6.8,13.0,0.0828962,1,,,,7.0,1.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,0.0642,1.0,,,,,,,,,,,,,,
12499822,home,TSG Hoffenheim,Arthur Chaves,arthur-chaves,A. Chaves,D,34,187,470,M,1122806,EUR,980726400,D,35,35,False,,70.0,62.0,9.0,5.0,0.0,53.0,58.0,9.0,12.0,3.0,,,90.0,85.0,6.6,10.0,0.00665365,2,,Arthur Chaves,,,,2.0,3.0,3.0,,,,1.0,5.0,1.0,1.0,,2.0,0.0881,,1.0,1.0,1.0,1.0,,,,,,,,,,
12499822,home,TSG Hoffenheim,Stanley N'Soki,stanley-nsoki,S. N'Soki,D,34,184,416,M,904991,EUR,923616000,D,34,34,False,,74.0,66.0,6.0,4.0,0.0,54.0,56.0,12.0,18.0,7.0,,,90.0,91.0,6.5,11.0,0.00858646,0,,,,,,3.0,3.0,7.0,,,,,4.0,3.0,2.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,
12499822,home,TSG Hoffenheim,Alexander Prass,alexander-prass,A. Prass,M,22,180,665,M,978062,EUR,990835200,D,22,22,False,,53.0,40.0,4.0,2.0,1.0,26.0,33.0,14.0,21.0,3.0,,,86.0,69.0,7.0,17.0,0.375605,0,,,,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,,2.0,,,,1.0,,2.0,1.0,,,,,2.0,1.0,2.0,,,,,,
12499822,home,TSG Hoffenheim,Anton Stach,anton-stach,A. Stach,M,18,192,1470,M,889861,EUR,911088000,M,16,16,False,,58.0,49.0,4.0,3.0,1.0,32.0,35.0,18.0,24.0,9.0,,,90.0,80.0,7.7,11.0,0.139318,1,,,,1.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,,,0.017,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,
12499822,home,TSG Hoffenheim,Tom Bischof,tom-bischof,T. Bischof,M,20,176,6361,M,1129935,EUR,1119916800,M,7,7,False,,62.0,60.0,5.0,4.0,0.0,32.0,32.0,30.0,34.0,4.0,,,81.0,79.0,8.0,5.0,0.158601,2,,,,4.0,2.0,2.0,5.0,8.0,1.0,3.0,3.0,1.0,,2.0,2.0,,2.0,0.1049,3.0,1.0,1.0,,,,,1.0,,1.0,1.0,0.0984,,,
12499822,home,TSG Hoffenheim,Adam Hložek,adam-hlozek,A. Hložek,F,23,186,3087,M,963801,EUR,1027555200,M,23,23,False,,31.0,24.0,3.0,2.0,0.0,14.0,14.0,10.0,17.0,7.0,,,90.0,52.0,8.3,14.0,0.0282635,7,,,,,,1.0,8.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,3.0,0.4806,1.0,,2.0,2.0,,,3.0,2.0,,4.0,2.0,1.8552,ahlozek,,
12499822,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,M,27,27,False,,31.0,25.0,1.0,1.0,0.0,14.0,15.0,12.0,17.0,4.0,,,81.0,38.0,6.6,9.0,0.026818,0,,,,1.0,1.0,,2.0,2.0,,,,,,,1.0,1.0,2.0,,,2.0,,,,,2.0,1.0,,,,,andrejkramaric,,
12499822,home,TSG Hoffenheim,Marius Bülter,marius-bulter,M. Bülter,F,30,188,454,M,378340,EUR,733363200,M,21,21,False,,25.0,15.0,1.0,,0.0,1.0,3.0,17.0,27.0,4.0,,,90.0,43.0,7.2,17.0,0.957574,1,,,,5.0,3.0,,2.0,4.0,,3.0,2.0,1.0,,,,,,0.1236,4.0,,1.0,,,,3.0,2.0,1.0,,,,,,
12499822,home,TSG Hoffenheim,Haris Tabaković,haris-tabakovic,H. Tabaković,F,15,196,2741,M,259803,EUR,772070400,F,26,26,False,,10.0,7.0,1.0,1.0,0.0,,1.0,7.0,9.0,,,,61.0,18.0,6.2,6.0,0.0139348,5,,,,,,2.0,3.0,2.0,,1.0,,3.0,,,,,1.0,1.0256,1.0,1.0,,1.0,,,2.0,,,1.0,,0.4545,,2.0,1.0
12499822,home,TSG Hoffenheim,Mergim Berisha,mergim-berisha,M. Berisha,F,20,186,561,M,770083,EUR,894844800,F,10,10,True,,4.0,2.0,,,0.0,,1.0,2.0,3.0,1.0,,,29.0,8.0,6.6,2.0,0.00079502,0,,,,,,,3.0,1.0,,,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,
