match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_outfielderBlock,stat_fouls,captain,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wasFouled,stat_lastManTackle,stat_unsuccessfulTouch,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAShot,stat_goodHighClaim
14025103,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,47.0,38.0,15.0,6.0,0.0,35.0,36.0,3.0,11.0,2.0,9.0,1.0,1.0,1.0,1.0,90.0,54.0,7.5,9.0,0.00067702,0.3955,0,0.5561,0.06,0.0,0.22,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025103,home,Liverpool,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,72138,M,DomSzobo,869856,EUR,972432000,D,8,8,False,52.0,47.0,9.0,5.0,0.0,30.0,30.0,17.0,22.0,6.0,5.0,,,,,90.0,81.0,8.3,11.0,0.0165011,,1,,0.03,0.07,0.17,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.034,0.1848,1.0,0.56,,,,,,,,,,,,,,,,,
14025103,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,44.0,44.0,2.0,2.0,0.0,34.0,34.0,10.0,10.0,2.0,2.0,,,,,79.0,54.0,7.1,1.0,0.00242917,,0,,0.0,0.05,0.39,,,,1.0,3.0,2.0,,,,,1.0,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,
14025103,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,81.0,73.0,14.0,9.0,0.0,56.0,60.0,17.0,21.0,4.0,2.0,,,,,90.0,92.0,7.9,9.0,0.0150042,,0,,0.23,0.31,0.61,,,,,1.0,2.0,,,,1.0,,,,,,,,,,3.0,,True,1.0,1.0,1.0,1.0,,,,,,,
14025103,home,Liverpool,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,6,6,False,29.0,24.0,3.0,,0.0,17.0,19.0,7.0,10.0,5.0,2.0,,,,,90.0,55.0,7.8,9.0,0.00364267,,0,,0.11,0.02,0.97,,2.0,,2.0,2.0,7.0,,,,,3.0,2.0,,,,,Milos,Kerkez,2.0,1.0,,,,,,2.0,1.0,1.0,,,,,
14025103,home,Liverpool,Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,31083,M,ryanjiro,904897,EUR,1021507200,M,38,38,False,57.0,47.0,7.0,1.0,0.0,35.0,39.0,12.0,18.0,,7.0,,,,,90.0,67.0,6.7,13.0,0.00586247,,1,,-0.08,0.13,0.17,,,,,1.0,4.0,,,,1.0,1.0,1.0,0.0246,,1.0,-0.13,,,,,1.0,,,2.0,2.0,1.0,,3.0,1.0,,,,
14025103,home,Liverpool,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,25.0,21.0,1.0,1.0,0.0,7.0,8.0,14.0,17.0,,7.0,,,,,61.0,37.0,6.7,9.0,0.049815,,1,,0.33,0.02,0.14,,,,,4.0,,,,,2.0,,,0.0535,,2.0,0.0,,,1.0,,1.0,,,3.0,,,,2.0,,1.0,,,
14025103,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,M,11,11,False,20.0,12.0,3.0,,0.0,4.0,6.0,8.0,14.0,,2.0,,,,,90.0,32.0,6.3,15.0,0.0263424,,1,,0.02,0.06,-0.01,,2.0,,1.0,4.0,2.0,,,,,,,0.052,,,-0.16,,,2.0,,,,1.0,1.0,,1.0,,3.0,,1.0,,,
14025103,home,Liverpool,Florian Wirtz,florian-wirtz,F. Wirtz,F,7,175,149387,M,FWirtz,1019322,EUR,1051920000,M,7,7,False,28.0,20.0,4.0,1.0,0.0,6.0,8.0,14.0,20.0,1.0,4.0,,,,,89.0,46.0,7.3,11.0,0.0635379,,2,,0.25,0.44,0.13,,1.0,,,2.0,5.0,1.0,1.0,,1.0,2.0,2.0,0.1818,0.0729,1.0,-0.5,,,1.0,,,,,3.0,3.0,,,1.0,,1.0,,,
14025103,home,Liverpool,Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,51371,M,CodyGakpo,862967,EUR,926035200,M,18,18,False,18.0,14.0,1.0,1.0,0.0,8.0,8.0,6.0,10.0,,2.0,,,,,90.0,32.0,7.0,7.0,0.0114951,,2,,-0.34,0.36,0.23,,,,2.0,3.0,7.0,,1.0,,1.0,1.0,,0.0544,0.0157,1.0,-0.33,,,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,,2.0,1.0,,1.0,,
