match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalCross,stat_totalOffside,captain,player_sofascoreId,stat_dispossessed,stat_errorLeadToAShot,stat_bigChanceMissed,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_goodHighClaim
13981594,home,Atalanta,Gianluca Scamacca,gianluca-scamacca,G. Scamacca,F,9,195.0,6692,M,807301,EUR,915148800,F,9,9,False,17.0,13.0,,,0.0,5.0,5.0,8.0,12.0,2.0,3.0,,1.0,,,,,72.0,31.0,5.9,12.0,0.0219833,31.077155829745,6.0,-3.675,7.455,,3,,0.11,0.08,-0.02,,,,1.0,10.0,,2.0,1.0,,2.0,,,,3.0,0.1611,,,,,-0.55,,,,4.0,,1.0,,scamacca,4.0,,,1.0,,,,
13981594,home,Atalanta,Honest Ahanor,honest-ahanor,H. Ahanor,D,69,184.0,1976,M,1634980,EUR,1203724800,D,69,69,True,27.0,24.0,1.0,1.0,0.0,11.0,12.0,13.0,15.0,1.0,8.0,3.0,1.0,1.0,,,,64.0,41.0,7.4,3.0,0.00794208,25.01698654773,2.0,-1.155,1.575,,1,,0.14,0.28,0.22,,,,1.0,3.0,1.0,1.0,1.0,,1.0,,5.0,2.0,,0.0433,,19.647230873586,1.0,,-0.36,,1.0,,1.0,,,,,,,,,,,,
13981594,home,Atalanta,Isak Hien,hien-isak,I. Hien,D,4,191.0,2306,M,1157713,EUR,916185600,D,4,4,True,6.0,5.0,,,0.0,4.0,4.0,1.0,2.0,,4.0,2.0,,1.0,,,,31.0,16.0,6.8,3.0,0.0003405,,,,,,0,,0.0,,0.2,,,,,3.0,,,,,,,3.0,2.0,1.0,,,,,,,,,1.0,2.0,,,,,1.0,,,,,,,
13981594,home,Atalanta,Yunus Musah,yunus-musah,Y. Musah,M,6,178.0,4211,M,983815,EUR,1038528000,M,6,6,True,14.0,12.0,2.0,2.0,0.0,6.0,6.0,6.0,8.0,,,,2.0,,,,,30.0,16.0,6.6,2.0,0.0135664,33.468139380827,6.0,-8.82,1.785,,0,,0.04,0.05,0.14,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,yunusmusah8,,,,,,,,
13981594,home,Atalanta,Daniel Maldini,daniel-maldini,D. Maldini,F,27,187.0,4629,M,970928,EUR,1002758400,F,70,70,True,8.0,5.0,1.0,,0.0,,,5.0,8.0,1.0,1.0,,1.0,,,,,18.0,14.0,6.7,6.0,0.206604,31.536154388192,3.0,18.06,14.805,,0,,0.3,0.12,0.13,,,,1.0,2.0,,,,,,,,,2.0,,,17.348831689771,1.0,1.0,,,,,,1.0,,,dani.malda,1.0,,,,1.0,1.0,,
13981594,home,Atalanta,Nikola Krstović,nikola-krstovic,N. Krstović,F,90,185.0,4445,M,839156,EUR,954892800,F,90,90,True,7.0,6.0,,,0.0,,,6.0,7.0,1.0,4.0,,2.0,,,,,18.0,14.0,6.5,2.0,0.00617423,33.401031142144,4.0,17.85,14.7,,2,,-0.04,0.18,0.0,,,,1.0,4.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,0.4432,0.0837,14.74020841101,1.0,,-0.55,,,,3.0,,,,,,,1.0,1.0,,,,
13981594,home,Atalanta,Marco Sportiello,marco-sportiello,M. Sportiello,G,57,192.0,1322,M,176301,EUR,705456000,G,57,57,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981594,home,Atalanta,Francesco Rossi,francesco-rossi,F. Rossi,G,31,193.0,299,M,80074,EUR,672710400,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981594,home,Atalanta,Mario Pašalić,mario-pasalic,M. Pašalić,M,20,189.0,7385,M,190437,EUR,792288000,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pasalicmario,,,,,,,,
13981594,home,Atalanta,Lazar Samardžić,lazar-samardzic,L. Samardžić,M,10,183.0,4807,M,980624,EUR,1014508800,M,10,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lakisamar10,,,,,,,,
13981594,home,Atalanta,Marco Brescianini,marco-brescianini,M. Brescianini,M,4,188.0,1111,M,928800,EUR,948326400,M,44,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
