match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_ownGoals,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_accurateCross,captain,stat_keyPass,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
12624958,home,Al Wehda,Abdullah Hussein Alowayshir,abdullah-hussein-al-owisher,A. H. Alowayshir,G,1,184.0,43,M,976548,EUR,674092800,G,1,1,False,26.0,21.0,8.0,3.0,0.0,20.0,21.0,1.0,5.0,1.0,1.0,2.0,7.0,1.0,1.0,3.0,4.0,1.0,90.0,39.0,6.3,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624958,home,Al Wehda,Saeed Almuwallad,saeed-al-muwallad,S. Almuwallad,D,2,184.0,20,M,872205,EUR,668476800,D,2,2,False,35.0,29.0,3.0,1.0,0.0,19.0,21.0,10.0,17.0,,1.0,1.0,3.0,,,,,,78.0,49.0,6.3,11.0,0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624958,home,Al Wehda,Abdullah Al-Hafith,abdullah-al-hafith,A. Al-Hafith,D,17,188.0,29,M,160901,EUR,725241600,D,17,17,False,102.0,91.0,11.0,5.0,0.0,51.0,53.0,40.0,49.0,1.0,6.0,1.0,3.0,,,,,,90.0,115.0,6.8,12.0,0,,3.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
12624958,home,Al Wehda,Jawad El Yamiq,jawad-el-yamiq,J. E. Yamiq,D,18,190.0,4432,M,877103,EUR,699321600,D,5,5,False,79.0,69.0,14.0,10.0,0.0,50.0,51.0,19.0,28.0,,3.0,2.0,7.0,,,,,,89.0,90.0,6.8,12.0,2,,1.0,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12624958,home,Al Wehda,Meshal Alaeli,meshal-alaeli,M. Alaeli,D,2,,31,M,1495868,EUR,1087430400,D,13,13,False,40.0,33.0,4.0,,0.0,13.0,16.0,20.0,31.0,1.0,3.0,4.0,5.0,,,,,,90.0,76.0,6.1,15.0,0,7.0,2.0,2.0,,8.0,6.0,1.0,,3.0,,1.0,,,,,,,Meshal Alaeli,,,,,,,,,,,,,
12624958,home,Al Wehda,Alexandru Crețu,alexandru-cretu,A. Crețu,M,4,189.0,120,M,229678,EUR,704073600,M,6,6,False,73.0,61.0,5.0,1.0,0.0,27.0,32.0,35.0,42.0,,2.0,1.0,5.0,,,,,,90.0,83.0,6.1,15.0,0,1.0,1.0,1.0,,5.0,,1.0,,,,3.0,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,
12624958,home,Al Wehda,Waleed Bakshween,waleed-bakshween,W. Bakshween,M,,176.0,23,M,911303,EUR,626832000,M,4,4,False,34.0,31.0,2.0,1.0,0.0,16.0,16.0,15.0,18.0,1.0,3.0,1.0,2.0,,,,,,57.0,40.0,6.7,3.0,0,,,,,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,True,1.0,,,,,,,,,
12624958,home,Al Wehda,Youssef Amyn,amyn-youssef,Y. Amyn,M,20,175.0,3727,M,1106352,EUR,1061424000,M,11,11,False,20.0,14.0,1.0,,0.0,6.0,7.0,8.0,16.0,,6.0,,3.0,,,,,,77.0,31.0,6.8,10.0,0,3.0,1.0,1.0,,,,,,,3.0,,2.0,2.0,,,,1.0,,,,,,yaminio10,,,,,,,,
12624958,home,Al Wehda,Mourad Khodari,murad-khadhari,M. Khodari,F,77,171.0,66,M,1517639,EUR,1047427200,M,77,77,False,19.0,12.0,4.0,,0.0,6.0,9.0,6.0,10.0,,,,3.0,,,,,,57.0,23.0,6.3,8.0,1,,,,1.0,3.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
12624958,home,Al Wehda,Craig Goodwin,craig-goodwin,C. Goodwin,M,11,183.0,692,M,220113,EUR,692841600,M,23,23,False,33.0,24.0,4.0,1.0,1.0,4.0,4.0,22.0,35.0,,1.0,,7.0,,,,,,90.0,50.0,8.6,18.0,2,6.0,,,,3.0,,2.0,,,1.0,,1.0,,,1.0,,2.0,,,2.0,,5.0,,2.0,1.0,1.0,,,,,
12624958,home,Al Wehda,Odion Ighalo,odion-ighalo,O. Ighalo,F,,183.0,2180,M,29774,EUR,613958400,F,9,9,False,21.0,17.0,1.0,1.0,0.0,6.0,6.0,11.0,15.0,2.0,7.0,,,,,,,,90.0,33.0,7.4,5.0,3,,,,2.0,5.0,,,,,4.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,
12624958,home,Al Wehda,Mohamed Al Makahasi,mohamed-al-makahasi,M. Makaazi,M,23,177.0,475,M,970835,EUR,791942400,M,35,35,True,42.0,38.0,2.0,1.0,0.0,23.0,23.0,15.0,19.0,,1.0,,4.0,,,,,,33.0,48.0,6.7,6.0,0,,,,1.0,5.0,1.0,1.0,,2.0,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,
12624958,home,Al Wehda,Yahya Naji,yahya-naji,Y. Naji,F,80,170.0,27,M,984587,EUR,920332800,F,80,80,True,10.0,9.0,,,0.0,1.0,1.0,8.0,10.0,,2.0,,2.0,,,,,,33.0,16.0,6.8,4.0,1,1.0,,,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,
12624958,home,Al Wehda,Saad Bguir,bguir-saad,S. Bguir,M,18,178.0,637,M,563030,EUR,764294400,M,18,18,True,8.0,7.0,,,0.0,2.0,2.0,5.0,8.0,,,,,,,,,,13.0,10.0,6.6,3.0,0,2.0,,,,,,,,,,,,,,,,,Saad,Bguir,,,,,,,,,,,,
12624958,home,Al Wehda,Ahmed Bandar Derwish,ahmed-bandar-derwish,A. B. Derwish,D,14,171.0,9,M,1185167,EUR,1002153600,D,14,14,True,9.0,5.0,1.0,,0.0,1.0,1.0,4.0,8.0,,2.0,1.0,,,,,,,12.0,20.0,6.4,7.0,0,,,,,1.0,,,,,2.0,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,
12624958,home,Al Wehda,Hussain Ahmed Al Issa,hussain-ahmed-al-issa,H. A. A. Issa,M,20,173.0,18,M,989764,EUR,978048000,M,28,28,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,2.0,,2.0,,,,,,1.0,8.0,,,1,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
12624958,home,Al Wehda,Ahmed Al Rashidi,ahmed-al-rashidi,A. A. Rashidi,G,47,180.0,5,M,1549265,EUR,1026864000,G,47,47,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Ahmed Al Rashidi,,,,,,,,,,,,,
12624958,home,Al Wehda,Ali Makki,ali-makki,A. Makki,D,5,174.0,20,M,1399144,EUR,924566400,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Ali Makki,,,,,,,,,,,,,
12624958,home,Al Wehda,Ali Al-Salem,ali-al-salem,A. Al-Salem,D,2,181.0,21,M,990189,EUR,903052800,D,49,49,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624958,home,Al Wehda,Saad Al Qahtani,saad-al-qahtani,S. A. Qahtani,D,55,174.0,4,M,1940720,EUR,1103587200,D,19,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,Saad Al Qahtani,,,,,,,,,,,,,
12624958,away,Al-Okhdood,Paulo Vítor,paulo-vitor,P. Vítor,G,1,195.0,133,M,861003,EUR,596073600,G,28,28,False,22.0,7.0,19.0,4.0,0.0,3.0,4.0,4.0,18.0,,,1.0,15.0,,1.0,3.0,5.0,,90.0,38.0,7.2,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
12624958,away,Al-Okhdood,Awdh Faraj,awdh-faraj,A. Faraj,D,,172.0,16,M,791404,EUR,584928000,D,27,27,False,39.0,23.0,6.0,2.0,0.0,18.0,27.0,5.0,12.0,,2.0,,12.0,,,,,,90.0,60.0,6.8,21.0,0,,2.0,1.0,,,,,1.0,3.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,
