match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,confirmed,injury,length
11453221,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11453221,,,,,90,13.0,,1,,,card,Naif Assery,Argument,False,121357416.0,True,yellow,1394760.0,Naif Assery,,,
11453221,,,,,90,13.0,,1,,,card,Odion Ighalo,Argument,False,121357417.0,False,yellow,29774.0,Odion Ighalo,,,
11453221,,,,,90,7.0,,1,,,varDecision,,,,26065.0,True,penaltyNotAwarded,315224.0,Léandre Tawamba,True,,
11453221,,,,,90,4.0,,1,,,substitution,,,,122731994.0,False,regular,,,,False,
11453221,,,,,90,,,1,,,card,Juan Pedroza,Foul,False,121357397.0,True,yellow,972585.0,Juan Pedroza,,,
11453221,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,,6.0
11453221,,,,,89,,,2,,,card,Awdh Faraj,Foul,False,121357396.0,True,yellow,791404.0,Awdh Faraj,,,
11453221,,,,,83,,,8,,,card,Ala'a Al-Hejji,Foul,False,121357390.0,False,yellow,826242.0,Ala'a Al-Hejji,,,
11453221,,,,,74,,,17,,,substitution,,,,122731944.0,False,regular,,,,False,
11453221,,,,,73,,,18,,,card,Abdulaziz Noor,Time wasting,False,121357382.0,False,yellow,1085115.0,Abdulaziz Noor,,,
11453221,,,,,70,,,21,,,substitution,,,,122731938.0,True,regular,,,,False,
11453221,,,,,70,,,21,,,card,Anselmo,Foul,False,121357378.0,False,yellow,256671.0,Anselmo,,,
11453221,,,,,68,,,23,,,card,Hamed Al-Mansour,Foul,False,121357372.0,True,yellow,818578.0,Hamed Al-Mansour,,,
11453221,,,,,64,,,27,,,substitution,,,,122731917.0,False,regular,,,,False,
11453221,,,,,60,,,31,,,card,Abdullah Al-Hafith,Foul,False,121357358.0,False,yellow,160901.0,Abdullah Al-Hafith,,,
11453221,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11453221,,,,,45,,,1,,,card,Saeed Al-Rabiei,Foul,False,121357325.0,True,yellow,954639.0,Saeed Al-Rabiei,,,
11453221,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,,6.0
11453221,,1.0,1.0,,30,,,16,,,goal,,,,182663779.0,True,regular,859767.0,Alex Collado,,,
11453221,,,,,17,,,29,,,substitution,,,,122731804.0,True,injury,,,,True,
11453221,,0.0,1.0,,12,,,34,,,goal,,,,182663270.0,False,regular,29774.0,Odion Ighalo,,,
