match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_duelLost,stat_challengeLost,stat_dispossessed,captain,stat_blockedScoringAttempt,stat_outfielderBlock,stat_fouls,stat_aerialLost,stat_accurateCross,stat_bigChanceCreated,stat_errorLeadToAShot,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_punches,stat_totalOffside
12450979,home,Auxerre,Donovan Léon,,,donovan-leon,D. Léon,G,16,186.0,316,M,159837,EUR,720748800,G,16,16,False,26.0,13.0,23.0,10.0,0.0,8.0,9.0,5.0,17.0,2.0,8.0,2.0,1.0,3.0,2.0,2.0,90.0,37.0,7.3,13.0,0.00634429,0,0.2758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450979,home,Auxerre,Paul Joly,Paul Joly,,paul-joly,P. Joly,D,26,182.0,234,M,1130986,EUR,960336000,D,26,26,False,18.0,8.0,4.0,1.0,0.0,3.0,6.0,5.0,16.0,4.0,4.0,,,,,,69.0,49.0,7.6,19.0,0.027171,2,,4.0,1.0,7.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.192,0.2374,1.0,,,,,,,,,,,,,,,,
12450979,home,Auxerre,Sinaly Diomandé,,,sinaly-diomande,S. Diomandé,D,20,184.0,714,M,996951,EUR,986774400,D,20,20,False,21.0,13.0,5.0,3.0,0.0,6.0,7.0,7.0,14.0,8.0,1.0,,,,,,90.0,33.0,6.7,9.0,0.00302084,0,,,4.0,6.0,,,,,1.0,2.0,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,
12450979,home,Auxerre,Jubal,,,jubal,Jubal,D,5,190.0,384,M,329195,EUR,746582400,D,4,4,False,24.0,20.0,6.0,2.0,0.0,18.0,19.0,2.0,5.0,8.0,7.0,,,,,,90.0,45.0,7.2,5.0,0.00224175,3,,,2.0,7.0,,,2.0,,1.0,3.0,2.0,,2.0,0.0769,,,5.0,,1.0,True,1.0,1.0,4.0,,,,,,,,,
12450979,home,Auxerre,Clement Akpa,Clément Akpa,,akpa-clement,C. Akpa,D,92,183.0,819,M,1387156,EUR,1006560000,D,92,92,False,30.0,24.0,7.0,5.0,0.0,15.0,17.0,9.0,14.0,7.0,6.0,,,,,,90.0,44.0,7.0,7.0,0.0062558,0,,1.0,2.0,4.0,,,,,1.0,2.0,1.0,,,,,,3.0,,,,,,1.0,2.0,,,,,,,,
12450979,home,Auxerre,Gideon Mensah,,,gideon-mensah,G. Mensah,D,14,177.0,2401,M,844942,EUR,900720000,D,14,14,False,60.0,47.0,8.0,5.0,0.0,20.0,21.0,28.0,41.0,,7.0,,,,,,90.0,90.0,7.4,20.0,0.175671,0,,2.0,1.0,11.0,6.0,4.0,,,1.0,5.0,2.0,2.0,1.0,,,2.0,5.0,,1.0,,,,2.0,,1.0,,,,,,,
12450979,home,Auxerre,Gaëtan Perrin,,,gaetan-perrin,G. Perrin,M,28,169.0,447,M,827506,EUR,834105600,M,10,10,False,30.0,23.0,3.0,2.0,0.0,5.0,7.0,19.0,26.0,,4.0,,,,,,83.0,43.0,6.5,17.0,0.0584318,0,,3.0,,,2.0,,,,,,,3.0,,,,2.0,7.0,,3.0,,,,2.0,,1.0,1.0,,,,,,
12450979,home,Auxerre,Elisha Owusu,,,elisha-owusu,E. Owusu,M,42,179.0,1294,M,904424,EUR,878860800,M,42,42,False,30.0,26.0,5.0,3.0,1.0,10.0,12.0,16.0,18.0,2.0,7.0,,,,,,90.0,46.0,7.4,5.0,0.0114638,0,,,,6.0,,,,,4.0,4.0,1.0,1.0,2.0,,,1.0,2.0,,,,,1.0,2.0,,,,,,,,,
12450979,home,Auxerre,Han-Noah Massengo,,,massengo-han-noah,H. Massengo,M,4,175.0,564,M,927340,EUR,994377600,M,80,80,False,37.0,34.0,3.0,2.0,0.0,20.0,21.0,14.0,16.0,,3.0,,,,,,90.0,57.0,6.9,7.0,0.0104757,2,,,,6.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.1573,0.2143,,5.0,,1.0,,,,2.0,,,,1.0,,,,,
12450979,home,Auxerre,Hamed Junior Traorè,,,hamed-junior-traore,H. J. Traorè,M,20,177.0,3127,M,892924,EUR,950659200,M,25,25,False,29.0,24.0,,,0.0,4.0,4.0,20.0,25.0,1.0,2.0,,,,,,87.0,48.0,8.3,9.0,0.170414,1,,,1.0,9.0,3.0,2.0,,1.0,,4.0,3.0,1.0,2.0,0.0351,0.5448,3.0,3.0,,1.0,,,,1.0,,,,,1.0,,,,
