match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_dispossessed,player_firstName,player_lastName,stat_aerialLost,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_keyPass,stat_wasFouled,stat_totalOffside,stat_penaltyConceded,player_sofascoreId,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_punches,stat_bigChanceCreated,stat_penaltyWon,stat_goals,stat_bigChanceMissed
12437677,home,Real Valladolid,Karl Hein,karl-hein,K. Hein,G,13,193.0,4102,M,991591,EUR,1018656000,G,13,13,False,26.0,18.0,13.0,5.0,0.0,14.0,15.0,4.0,11.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,90.0,37.0,6.5,8.0,0.00101048,0,-1.6682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437677,home,Real Valladolid,Luis Pérez,luis-perez,L. Pérez,D,2,173.0,199,M,843180,EUR,791856000,D,2,2,False,26.0,22.0,5.0,2.0,0.0,14.0,17.0,8.0,10.0,1.0,2.0,3.0,2.0,,,,,,90.0,38.0,6.4,6.0,0.00298318,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12437677,home,Real Valladolid,Javi Sánchez,javi-sanchez,J. Sánchez,D,15,189.0,336,M,943713,EUR,858297600,D,5,5,False,30.0,27.0,7.0,4.0,0.0,21.0,21.0,6.0,9.0,,1.0,1.0,1.0,,,,,,90.0,41.0,6.7,4.0,0.00281921,0,,,3.0,1.0,4.0,2.0,1.0,1.0,1.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
12437677,home,Real Valladolid,David Torres,david-torres,D. Torres,D,4,182.0,147,M,1214359,EUR,1046822400,D,3,3,False,43.0,36.0,3.0,1.0,0.0,27.0,30.0,9.0,13.0,,,1.0,1.0,,,,,,90.0,49.0,6.5,7.0,0.00127315,1,,,2.0,,2.0,1.0,,,1.0,,,,,1.0,1.0,0.0859,0.0702,,,,,,,,,,,,,,,,,
12437677,home,Real Valladolid,Lucas Rosa,lucas-rosa,L. Rosa,D,2,177.0,706,M,970860,EUR,954720000,D,22,22,False,36.0,33.0,1.0,1.0,0.0,11.0,11.0,22.0,26.0,,4.0,4.0,2.0,,,,,,90.0,63.0,6.6,9.0,0.0202518,0,,1.0,2.0,,,1.0,3.0,2.0,,,1.0,,,,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
12437677,home,Real Valladolid,Anuar,anuar,Anuar,M,23,172.0,810,M,601962,EUR,790128000,M,23,23,False,18.0,18.0,,,0.0,10.0,10.0,8.0,8.0,,5.0,1.0,3.0,,,,,,90.0,35.0,6.3,4.0,0.012828,0,,,7.0,2.0,,3.0,,,2.0,,2.0,,,,,,,1.0,,1.0,,5.0,1.0,,,,,,,,,,,
12437677,home,Real Valladolid,Mario Martín,martin-mario,M. Martín,M,6,177.0,16546,M,1154549,EUR,1078444800,M,12,12,False,57.0,53.0,,,0.0,32.0,33.0,21.0,24.0,,,,5.0,,,,,,90.0,64.0,5.9,6.0,0.00979471,0,,,7.0,2.0,,1.0,,,3.0,,1.0,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
12437677,home,Real Valladolid,Selim Amallah,amallah-selim,S. Amallah,M,21,187.0,6523,M,801211,EUR,848016000,M,21,21,False,22.0,21.0,2.0,2.0,0.0,11.0,11.0,11.0,14.0,,2.0,1.0,3.0,,,,,,90.0,37.0,6.6,6.0,0.196887,0,,3.0,4.0,,1.0,,1.0,,1.0,,,,,2.0,,,,2.0,1.0,1.0,1.0,,,,selim_amallah,1.0,,,,,,,,
12437677,home,Real Valladolid,Iván Sánchez,ivan-sanchez,I. Sánchez,M,23,168.0,223,M,142018,EUR,717206400,F,10,10,False,10.0,6.0,,,0.0,5.0,6.0,2.0,7.0,1.0,3.0,1.0,,,,,,,62.0,22.0,6.5,10.0,0.0757649,0,,3.0,5.0,2.0,,,1.0,1.0,,,3.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,
12437677,home,Real Valladolid,Marcos André,marcos-andre,M. André,F,10,184.0,480,M,880157,EUR,845769600,F,9,9,False,18.0,14.0,,,0.0,3.0,3.0,11.0,15.0,3.0,12.0,,1.0,,,,,,79.0,38.0,7.3,9.0,0.0143813,3,,,7.0,1.0,,1.0,1.0,1.0,,,1.0,,,5.0,,0.0507,,3.0,3.0,3.0,,5.0,1.0,,,,2.0,1.0,,,,,,
12437677,home,Real Valladolid,Mamadou Sylla,mamadou-sylla,M. Sylla,F,9,184.0,1357,M,793761,EUR,764121600,F,7,7,False,10.0,8.0,,,0.0,1.0,2.0,7.0,11.0,,1.0,,1.0,,,,,,86.0,21.0,6.6,9.0,0.0174761,2,,3.0,5.0,1.0,,,,,2.0,,1.0,,,1.0,1.0,0.0534,0.0468,1.0,1.0,3.0,,,,,,,1.0,,,,,,,
12437677,home,Real Valladolid,Kike Pérez,kike-perez,K. Pérez,M,71,184.0,312,M,857178,EUR,855878400,M,8,8,True,14.0,10.0,2.0,1.0,0.0,5.0,7.0,5.0,7.0,,1.0,1.0,1.0,,,,,,28.0,18.0,6.8,4.0,0.00624526,0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
