match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury
10389721,FT,2.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
10389721,,,,,90,0.0,,1,,,injuryTime,6.0,,,,,,,,,
10389721,,,,,84,,,7,,,card,,Matz Sels,Time wasting,False,120615075.0,True,yellow,78152.0,Matz Sels,
10389721,,,,,80,,,11,,,substitution,,,,,121551633.0,False,regular,,,False
10389721,,,,,80,,,11,,,substitution,,,,,121551632.0,True,regular,,,False
10389721,,,,,75,,,16,,,card,,Habib Diallo,Foul,False,120615042.0,True,yellow,802159.0,Habib Diallo,
10389721,,,,,66,,,25,,,substitution,,,,,121551536.0,False,regular,,,False
10389721,,,,,65,,,26,,,substitution,,,,,121551535.0,True,regular,,,False
10389721,,,,,56,,,35,,,substitution,,,,,121551455.0,False,injury,,,True
10389721,,,,,46,,,45,,,substitution,,,,,121551354.0,True,regular,,,False
10389721,,,,,46,,,45,,,substitution,,,,,121551355.0,False,regular,,,False
10389721,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
10389721,,2.0,0.0,,45,,,1,,,goal,,,,,167988962.0,True,regular,802159.0,Habib Diallo,
10389721,,,,,45,0.0,,1,,,injuryTime,4.0,,,,,,,,,
10389721,,,,,37,,,9,,,card,,Dimitri Liénard,Argument,False,120614759.0,True,yellow,365358.0,Dimitri Liénard,
10389721,,,,,37,,,9,,,card,,Khalil Fayad,Argument,False,120614760.0,False,yellow,1387157.0,Khalil Fayad,
10389721,,,,,33,,,13,,,card,,Jean-Eudes Aholou,Foul,False,120614751.0,True,red,156004.0,Jean-Eudes Aholou,
10389721,,,,,31,,,15,,,substitution,,,,,121551158.0,True,injury,,,True
10389721,,,,,25,,,21,,,substitution,,,,,121551119.0,False,injury,,,True
10389721,,1.0,0.0,,1,,,45,,,goal,,,,,167988270.0,True,regular,802159.0,Habib Diallo,
