match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_ownGoals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_challengeLost,stat_wonContest,stat_outfielderBlock,stat_errorLeadToAShot,stat_wasFouled,stat_errorLeadToAGoal,captain,stat_onTargetScoringAttempt,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_accurateCross,stat_hitWoodwork,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_lastManTackle
10385462,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,1,1,False,41.0,19.0,34.0,12.0,11.0,17.0,8.0,24.0,1.0,1.0,1.0,13.0,1.0,3.0,1.0,2.0,90.0,50.0,5.4,22.0,0.0,0.0,0.00169559,0,-2.6054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385462,home,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185,9380,M,mattycash622,833956,EUR,870912000,D,2,2,False,28.0,20.0,3.0,1.0,15.0,19.0,5.0,11.0,,1.0,2.0,7.0,,,,,90.0,48.0,6.1,14.0,0.0,0.0,0.00286907,0,,1.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10385462,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3197,M,,827679,EUR,877564800,D,4,4,False,27.0,25.0,1.0,,21.0,22.0,4.0,5.0,3.0,4.0,4.0,,,,,,90.0,40.0,6.3,2.0,0.0,0.0,0.0331282,0,,,,1.0,3.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,
10385462,home,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195,1992,M,,303638,EUR,731980800,D,5,5,False,31.0,26.0,3.0,1.0,18.0,21.0,8.0,10.0,2.0,3.0,5.0,1.0,,,,,90.0,41.0,5.6,5.0,0.0,0.0,0.00224095,0,,,,,2.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
10385462,home,Aston Villa,Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1206,M,,294593,EUR,739497600,D,15,15,False,14.0,9.0,1.0,,6.0,10.0,3.0,5.0,1.0,4.0,3.0,2.0,,,,,78.0,40.0,6.4,13.0,0.0,0.0,0.0435269,0,,1.0,1.0,,6.0,2.0,,1.0,3.0,1.0,3.0,1.0,2.0,,,3.0,,,,,,,,,,,,,,,,
10385462,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175,3895,M,,250223,EUR,782438400,M,7,7,False,19.0,15.0,,,5.0,6.0,10.0,14.0,,6.0,2.0,3.0,,,,,90.0,35.0,7.2,7.0,0.0667,0.0517,0.0301649,1,,,1.0,,,,2.0,1.0,4.0,3.0,2.0,,,,,,2.0,,,,,True,1.0,,,,,,,,,
10385462,home,Aston Villa,Douglas Luiz,douglas-luiz,D. Luiz,M,21,175,11801,M,Douglas_Luiz,867887,EUR,894672000,M,6,6,False,28.0,26.0,2.0,1.0,18.0,19.0,8.0,9.0,,3.0,1.0,5.0,,,,,67.0,43.0,7.0,3.0,0.0535,0.0,0.00599107,2,,,,,1.0,,,2.0,3.0,2.0,1.0,,,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,
10385462,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3386,M,,826204,EUR,943315200,M,44,44,False,30.0,28.0,3.0,2.0,17.0,17.0,11.0,13.0,,5.0,4.0,4.0,,,,,90.0,51.0,7.0,5.0,0.0,0.0,0.0103219,0,,,,,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,
10385462,home,Aston Villa,Philippe Coutinho,philippe-coutinho,P. Coutinho,M,10,172,68776,M,Coutinho,119159,EUR,708307200,M,23,23,False,14.0,11.0,1.0,1.0,5.0,6.0,6.0,8.0,,6.0,,2.0,,,,,62.0,29.0,7.1,7.0,0.2027,0.3456,0.00221612,1,,,,1.0,7.0,3.0,,,5.0,4.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,
10385462,home,Aston Villa,Emiliano Buendía,emiliano-buendia,E. Buendía,M,10,170,7699,M,EM10Buendia,783126,EUR,851472000,F,10,10,False,27.0,19.0,3.0,1.0,9.0,12.0,10.0,15.0,1.0,6.0,,6.0,,,,,67.0,39.0,6.7,13.0,0.0,0.0,0.00347217,0,,,,3.0,9.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,
